carboplatin,one,it modifies the cell cycle by interfering with dNO SPECIFIC DATA AVAILABLE structure and function,liver vaccine,liver vaccine,patients with severe bone marrow depression or significant bleeding,"bone marrow suppression, gastrointestiNO SPECIFIC DATA AVAILABLEl effects"
carbonyl iron + folic acid + zinc sulfate + vitamin b complex + vitamin c,this capsule,vitamin b complex is required for the growth and development of unborn babies,carbonyl iron decreases the absorption of tetracycline antibiotics,carbonyl iron decreases the absorption of tetracycline antibiotics,haemolytic aNO SPECIFIC DATA AVAILABLEemia,allergic sensitization
carbonyl iron + folic acid + zinc sulfate,"iron, folic acid and zinc deficiency especially during pregNO SPECIFIC DATA AVAILABLEncy and lactation","carbonyl iron, folic acid and zinc sulphate monohydrate",absorption of tetracycline antibiotics,carbonyl iron decreases the absorption of tetracycline antibiotics,hypersensitivity to any of its component or those with iron overload,rarely there may be allergic reactions
carbonyl iron + folic acid,megaloblastic anemias,producing red blood cells as well as transporting oxygen in the body,alcohol,alcohol,"hypersensitivity, intolerance to the drug",constipation diarrhea stomach cramps upset stomach allergic reactions
carbocisteine,"acute bronchitis, chronic bronchitis, bronchial asthma",mucolytic action happens in several mechanisms,hazardous nor therapeutically useful interactions,therapeutically,active peptic ulceration and in patients with hypersensitivity,"headache, heartburn and skin rash"
carbimazole,thyroidectomy,antithyroid action,iodine or iodine excess,iodine or iodine excess,hypersensitivity,NO SPECIFIC DATA AVAILABLEusea
carbetocin,following delivery of the infant,similar to that of oxytocin,drug interactions,drug,hypersensitivity to oxytocin or carbetocin,"back pain, dizziness, metallic taste, aNO SPECIFIC DATA AVAILABLEemia"
carbamazepine,partial and secondary generalized tonic-clonic seizures,unknown mechanisms,metabolism,metabolism,allergic to one or any of its ingredients,"dizziness, drowsiness, ataxia, dry mouth"
captopril,cardopril is effective alone or in combiNO SPECIFIC DATA AVAILABLEtion,competitively inhibits the conversion of angiotensin i,k supplements,k supplements,pregNO SPECIFIC DATA AVAILABLEncy,"neutropenia, aNO SPECIFIC DATA AVAILABLEemia and thrombocytopenia"
capsaicin,"rheumatoid arthritis, osteoarthritis",not fully understood,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,transient burning on application
caprylic + capric triglyceride,"repairs, restores &amp; protects dry skin &amp",physiological lipids to protect &amp; maintain healthy skin,drug interactions,drug,hypersensitivity,"rash, redness and itchiness"
capecitabine,adjuvant colon cancer,thymidine phosphorylase,food,food,pregNO SPECIFIC DATA AVAILABLEnt or breast-feeding,"fever, infection, chest pain"
candesartan cilexetil + hydrochlorothiazide,hypertension,combines an angiotensin ii receptor blocker,oral contraceptives,oral contraceptives,patients who are hypersensitive to any component of this product,"headache, upper respiratory tract infection, back pain, influenza-like symptoms"
candesartan cilexetil,"hypertension, heart failure with impaired left ventricular systolic function",angiotensin ii receptor (type at1) antagonist,significant drug interactions,oral contraceptives,"pregNO SPECIFIC DATA AVAILABLEncy, breast-feeding, cholestasis",mild
caNO SPECIFIC DATA AVAILABLEgliflozin hemihydrate,adults with type 2 diabetes mellitus,subtype-2 sodium-glucose co-transport protein,ugt inducers,ugt inducers,on dialysis patients,"low blood pressure, increases potassium blood levels"
camphor + menthol + oil clove + oil eucalyptus + oil turpentine,headache,eucalyptus oil acts as a cough suppressant,drug interactions,drug,history of convulsion,"redness, irritation, rash or pruritis"
calcium polystyrene sulfoNO SPECIFIC DATA AVAILABLEte,hyperkalemia due to acute and chronic reNO SPECIFIC DATA AVAILABLEl failure,removing potassium ions which are excreted in the feces,"sorbitol, digitalis drugs, cation doNO SPECIFIC DATA AVAILABLEting agents",sorbitol,neoNO SPECIFIC DATA AVAILABLEtes,acute bronchitis and bronchopneumonia have been reported
calcium pantotheNO SPECIFIC DATA AVAILABLEte,burning feet syndrome,enzymatic reactions,drug interactions,drug,patients with hypercalcaemia,irritation
amino acid + d-sorbitol + electrolytes,intravenous nutrition,"electrolytes, which are necessary as the nitrogen source for parenteral nutrition",interact with other medicaments,amino acid,patients with hyperosmolar nonketotic diabetic coma,hypertonic infusion solutions
diNO SPECIFIC DATA AVAILABLEr,jaundice hepatitis,prebiotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed in proper dosage
devils cotton + ashoka bark + aswagandha,leucorrhoea metritis aNO SPECIFIC DATA AVAILABLEemia,solely on female reproductive system,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,children,no significant side effect has been observed in proper dosage
devil's claw,2400 mg/day,chemicals,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"NO SPECIFIC DATA AVAILABLEusea, vomiting, abdomiNO SPECIFIC DATA AVAILABLEl pain, headaches, ringing in the ears"
datura + rhubarb + ginger,tablet,aNO SPECIFIC DATA AVAILABLElgesic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
date palm + betel nut + acacia,weakness of uterus leucorrhoea,mediciNO SPECIFIC DATA AVAILABLEl plants,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
alpha lipoic acid,tablet,antioxidant,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,people receiving treatment for diabetes,NO SPECIFIC DATA AVAILABLE
alogliptin benzoate,adults with type-2 diabetes mellitus,dpp-4 inhibitor,significant drug-drug interactions,reNO SPECIFIC DATA AVAILABLElly excreted drugs,"aNO SPECIFIC DATA AVAILABLEphylaxis, angioedema","NO SPECIFIC DATA AVAILABLEsopharyngitis, headache and upper respiratory tract infection"
almotriptan,12 to 17 years of age,almotriptan binds to specific serotonin receptors,selective serotonin reuptake inhibitors,selective serotonin reuptake inhibitors,"patients with a history, symptoms or signs of ischaemic heart disease","cardiac reactions, including myocardial infarction"
almitrine bismesylate + raubasine,amp,amp,not to be used concurrently with other almitrine-containing preparations,monoamine oxidase inhibitor,severe hepatic impairment,"weight loss, NO SPECIFIC DATA AVAILABLEusea, sensations of heaviness or burning in the stomach"
allylestrenol,threatened abortion,no oestrogenic or androgenic properties,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,undiagnosed vagiNO SPECIFIC DATA AVAILABLEl bleeding toxaemia of pregNO SPECIFIC DATA AVAILABLEncy,"vomiting, NO SPECIFIC DATA AVAILABLEusea, and sometimes epigastric discomfort"
cefprozil,mild to moderate infections caused by susceptible strains,in vitro against both gram positive and gram negative bacteria,probenecid doubled the auc,probenecid doubled the auc,hypersensitivity,"diarrhea, NO SPECIFIC DATA AVAILABLEusea, vomiting, abdomiNO SPECIFIC DATA AVAILABLEl pain"
cefpodoxime proxetil + clavulanic acid,infections,clavulanic acid is a NO SPECIFIC DATA AVAILABLEtural inhibitor of beta lactamase,h2 blockers,antacids or h2 blockers,patients with known hypersensitivity to cephalosporins,"diarrhea, vomiting and abdomiNO SPECIFIC DATA AVAILABLEl pain"
cefpodoxime proxetil,infections caused by susceptible microorganism,prodrug,h2 blockers reduces peak plasma levels,high doses of antacids,patients with known allergy to cephalosporins,few
cefpirome sulphate,severe infections,inhibiting biosynthesis and arresting cell wall assembly,drug interactions,drug,patients with known allergy to the cephalosporin group of antibiotics,there are no predictable life threatening effects
cefoxitin,patients with pelvic inflammatory disease,binding to 1 or more of the penicillin-binding proteins,nephrotoxic agents,nephrotoxic agents,hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, vomiting, diarrhoea"
cefotaxime,infections,binds to 1 or more of the penicillin binding proteins,increased nephrotoxicity,aminoglycoside antibiotics,patients who have shown hypersensitivity,"candidiasis, rashes, fever"
cefoperazone sodium,infections when caused by susceptible organisms,inhibition of bacterial cell wall synthesis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known allergy to the cephalosporin,hypersensitivity
cefixime trihydrate,uncomplicated uriNO SPECIFIC DATA AVAILABLEry tract infections,it kills bacteria by interfering in the synthesis of bacterial cell wall,prothrombin time,warfarin,hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, abdomiNO SPECIFIC DATA AVAILABLEl pain"
cefepime hydrochloride,febrile neutropenic patients,bactericidal,nephrotoxicity,aminoglycosides,patients who have shown immediate hypersensitivity reactions,contraindicated in patients who have shown immediate hypersensitivity reactions
cefditoren,mild to moderate infections in adults and adolescents,prodrug which is hydrolyzed by esterases during absorption,ethinyl estradiol,intravenous,patients with milk protein hypersensitivity,"diarrhea, NO SPECIFIC DATA AVAILABLEusea, headache, abdomiNO SPECIFIC DATA AVAILABLEl pain"
cefdinir,community acquired pneumonia,binds to 1 or more of the penicillin-binding proteins,probencid,iron supplement,patients with known allergy to the cephalosporin class of antibiotics,"vomiting, headache, rash"
cefazolin sodium,infections,inhibiting transpeptidase enzyme,reNO SPECIFIC DATA AVAILABLEl tubular secretion,probenecid,patients with known allergy to the cephalosporin group of antibiotics,injection site reactions
cefadroxil monohydrate,bacteria,binding to 1 or more of the penicillin-binding proteins,drug interaction with other drugs,drug interaction with other drugs,patients with a history of hypersensitivity,gastrointestiNO SPECIFIC DATA AVAILABLEl disturbances and hypersensitivity phenomeNO SPECIFIC DATA AVAILABLE
cefaclor monohydrate,"otitis media, lower respiratory tract infections",stability against b-lactamase iNO SPECIFIC DATA AVAILABLEctivation,aminoglycoside antibiotics,aminoglycoside antibiotics,patients with known allergy to the cephalosporin group of antibiotics,"allergic reactions such as eruptions, pruritis and urticaria"
casirivimab + imdevimab,treatment of covid-19,unmodified in the fc regions,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity to the active substances,NO SPECIFIC DATA AVAILABLE
carvedilol,in patients uNO SPECIFIC DATA AVAILABLEble to tolerate an ace inhibitor,non-selective antagonism of -adrenergic receptors,adverse effects,warfarin,patients with decompensated heart failure,reported
carmellose sodium,dry eye,NO SPECIFIC DATA AVAILABLE,eye drops,eye drops,hypersensitive,eye irritation
carisoprodol,used as an adjunct in physical therapy in injuries,it has no direct action on muscle itself,cns depressants,alcohol,patients with a history of acute intermittent porphyria,"drowsiness, dizziness and headache"
carboxymethylcellulose sodium + hypromellose,this medication,polymer in NO SPECIFIC DATA AVAILABLEture,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,known sensitivity or allergy,"blurred vision, matting or stickiness of eyelashes"
carboxymethylcellulose sodium + glycerin,sterile eye drops,lubricating and hydrating protective shield,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,minor burning/ stinging/ irritation
bitter melon [korola],NO SPECIFIC DATA AVAILABLEtural source of vitamin c,numerous reddishbrown or white seeds encased in scarlet arils,antidiabetic agent,antidiabetic agent,no absolute contraindication,no significant side effect
biotin,dermatitis,carboxylation of pyruvate and acetyl-coa,excessive consumption of raw egg whites,raw egg whites,patients with known hypersensitivity to any of the ingredients,no biotin toxicity
bilberry fruit [vaccinium myrtillus l],retinopathy,inhibits enzymatic cleavage of collagen,may interact with warfarin or other antiplatelet drugs,antiplatelet drugs,none known,none known
belgiri [bael fruit + connessi bark],diarrhoea amoebiasis,pathogenic microbes,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no known contraindication,no significant side effect has been observed in the therapeutic dosage
barsiNO SPECIFIC DATA AVAILABLE,vitiligo or leucoderma,valuable NO SPECIFIC DATA AVAILABLEtural ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been reported
adhatoda vasica + centella asiatica,this syrup,the soothing action of vasac,data,no data available,patients known to have hypersensitivity,there is no data available
adenosine,intravenous,nonpyrogenic solution for rapid bolus intravenous injection,additive or synergistic depressant effects,verapamil,second- or third-degree a-v block,"prolonged asystole, ventricular tachycardia"
adefovir dipivoxil,adults with evidence of active viral replication,diester prodrug of adefovir,uriNO SPECIFIC DATA AVAILABLEry recovery,uriNO SPECIFIC DATA AVAILABLEry recovery,patients with previously demonstrated hypersensitivity to any of the components,"weakness, headache, stomach pain and NO SPECIFIC DATA AVAILABLEusea"
adapalene + benzoyl peroxide,amp,amp,irritancy effect,"peeling, desquamating, or abrasive agents",hypersensitive,dry skin
adapalene,acne vulgaris,retinoid receptors,"sulfur, resorcinol or salicylic acid",salicylic acid,individuals who are hypersensitive,usually lessen with continued use of the medication
aloe + black pepper + henbane,constipation flatulence anorexia colic obesity,synergistic action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
chloramphenicol + lidocaine hydrochloride,acute bacterial ear infections,bacteriostatic and bactericidal,drugs that depress bone marrow function,drugs that depress bone marrow function,perforated ear drum,ototoxicity
chloramphenicol (oral),both are suggested by in vitro studies to be effective against a specific pathogen,interference or inhibition of protein synthesis in intact cells and cell-free systems,"clindamycin, or erythromycin","clindamycin, or erythromycin","colds, viral influenza, infections of the throat",NO SPECIFIC DATA AVAILABLE
chloramphenicol (ophthalmic),ocular infections involving the conjunctiva and/or cornea,inhibition of bacterial protein synthesis,chymotrypsin,chloramphenicol,individuals with a history of hypersensitivity,"burning, stinging, conjunctival hyperemia"
chlorambucil,macroglobuliNO SPECIFIC DATA AVAILABLEemia.,not yet completely understood,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,pregNO SPECIFIC DATA AVAILABLEncy (1st trimester) &amp; lactation,drug fever
cetuximab,k-ras,it binds specifically to the epidermal growth factor receptor,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"weakness, bone pain"
cetrorelix acetate,assisted reproductive technologies,goNO SPECIFIC DATA AVAILABLEdorelin antagonist,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,pregNO SPECIFIC DATA AVAILABLEncy and lactation,"NO SPECIFIC DATA AVAILABLEusea, headache, ovarian hyperstimulation syndrome"
cetirizine hydrochloride (ophthalmic),ocular itching associated with allergic conjunctivitis,selective inhibition of h1 histamine receptors,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"ocular hyperemia, instillation site pain and visual acuity reduction"
cetirizine hydrochloride,asthma,without any significant anticholinergic and antiserotonic effects,drug interactions,drugs,patients with a history of hypersensitivity,somnolence
cetalkonium chloride + choline salicylate,orthodontic device,inhibition of prostaglandin production,inhibit the action of uricosurics,salicylates may enhance the effect of anticoagulants,if allergic to salicylates,asthma attacks
ceritinib,adult patients with metastatic non-small cell lung cancer,kiNO SPECIFIC DATA AVAILABLEse inhibitor,concurrent use of strong cyp3a inducers,grapefruit and grapefruit juice,patients with known hypersensitivity,gastrointestiNO SPECIFIC DATA AVAILABLEl adverse reactions
cephalexin,infections when caused by susceptible organisms,it kills bacteria by interfering in the synthesis of the bacterial cell wall,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, vomiting, diarrhoea and abdomiNO SPECIFIC DATA AVAILABLEl discomfort"
cephradine,infections caused by sensitive gram-positive and gram-negative bacteria,the cell wall of bacteria,risk of kidney damage,diuretics,patients with known or suspected hypersensitivity to cephalosporins,hypersensitivity phenomeNO SPECIFIC DATA AVAILABLE
celiprolol hydrochloride,it is used to treat high blood pressure,partial beta-2 agonist activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,allergic,"dizziness or light headedness, weakness, or fainting"
celecoxib,for the relief of the signs and symptoms of osteoarthritis,inhibition of prostaglandin synthesis,aluminium and magnesium-containingantacid,aluminium and magnesium-containingantacid,aspirin or other nsaids,allergy aggravated
cefuroxime axetil + clavulanic acid,switch therapy,cefuroxime inhibits bacterial cell wall synthesis,effect of postprandial absorption,probenecid,patients with known allergy to cephalosporin &amp,"NO SPECIFIC DATA AVAILABLEusea, vomiting, diarrhea, abdomiNO SPECIFIC DATA AVAILABLEl discomfort or pain"
cefuroxime axetil,it is indicated for the treatment of infections caused by sensitive bacteria,antibacterial agent,potentially hazardous interactions,hazardous interactions,patients with known allergy to cephalosporins,rashes and gastrointestiNO SPECIFIC DATA AVAILABLEl disturbances
ceftriaxone sodium,lower respiratory tract infections,beta lactamases,drug interactions,drug,hypersensitivity to cephalosporin antibiotics,"diarrhea, NO SPECIFIC DATA AVAILABLEusea and vomiting, stomatitis and glossitis"
ceftibuten dihydrate,mild-to-moderate infections,bactericidal,ranitidine,ranitidine,patients with known allergy to the cephalosporin group of antibiotics,vomiting
ceftazidime pentahydrate,infections caused by susceptible strains of the desigNO SPECIFIC DATA AVAILABLEted organisms,inhibition of enzymes responsible for cell-wall synthesis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients who have shown hypersensitivity,local reactions following iv injection and allergic and gastrointestiNO SPECIFIC DATA AVAILABLEl reactions
ceftazidime + avibactam,antibacterial agents,"non -lactam, -lactamase inhibitor",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"aNO SPECIFIC DATA AVAILABLEphylactic reaction, severe skin reaction",do not take medicines that stop or slow bowel movement
almond + coconut + edible pine + salep,spermatorrhoea oligospermia,enhances retentive power and relieves oligospermia,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in the therapeutic dosage
acacia + dates + asparagus + edible pine,sexual debility,formulation,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in the therapeutic dosage
abhayarista,haemorrhoid bleeding piles,"cooling, tonic, and carmiNO SPECIFIC DATA AVAILABLEtive",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindications,no significant side effect
23 herb formula to increase breast milk,15,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
acarbose,adults with type 2diabetes mellitus,different,loss of blood glucose control,insulin,patients with known hypersensitivity to the drug,tell your doctor or pharmacist promptly
acalabrutinib,at least one prior therapy,small-molecule inhibitor of btk,gastric acid reducing agents: avoid co-administration with proton pump,gastric acid reducing agents,NO SPECIFIC DATA AVAILABLE,"headache, diarrhea, and musculoskeletal pain"
abiraterone acetate,metastatic castration-resistant prostate cancer,covalent binding mechanism,strong cyp3a4 inducers,strong cyp3a4 inducers,hypersensitivity,headache
abemaciclib,in combiNO SPECIFIC DATA AVAILABLEtion with endocrine therapy,inhibitor of cyclin-dependent kiNO SPECIFIC DATA AVAILABLEses 4 and 6,strong and moderate cyp3a inhibitors,strong and moderate cyp3a inhibitors,NO SPECIFIC DATA AVAILABLE,"anemia, leukopenia"
abacavir + lamivudine + zidovudine,combiNO SPECIFIC DATA AVAILABLEtion with other antiretrovirals,phosphorylated,sorbitol-containing medicines,sorbitol,patients,"NO SPECIFIC DATA AVAILABLEusea, headache, malaise and fatigue, and NO SPECIFIC DATA AVAILABLEusea and vomiting"
ciclopirox olamine (NO SPECIFIC DATA AVAILABLEil lacquer),mild to moderate onychomycosis,poorly understood,systemic antifungal agents,topical solution,individuals who have shown hypersensitivity to any of its components,allergic reaction to ciclopirox is rare
ciclopirox olamine (cream),mild to moderate inflammatory fungal infections,broad spectrum of antifungal action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,individuals who have shown hypersensitivity to any of its components,low incidence of adverse reactions
ciclesonide (NO SPECIFIC DATA AVAILABLEsal spray),patients aged 6 years and older,aqueous suspension,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,fewer side effects are seen
ciclesonide (inhalation aerosol),asthma,hydrolyzation by endogenous esterases,the risk of clinical adverse effect,nelfiNO SPECIFIC DATA AVAILABLEvir,hypersensitivity,rash and eczema. systemic effects of inhaled corticosteroids
choriogoNO SPECIFIC DATA AVAILABLEdotropin alpha,only if enrolled in anin vitrofertilization program,binds to the lh/hcg receptor,significant drug interactions,drug,prior hypersensitivity to hcg preparations,injection
cholera saline,in cholera,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"fever, ongoing cough"
chlorthalidone,edema associated with congestive heart failure,thiazide-type diuretic- antihypertensive,glucose tolerance,glucose tolerance,patients with reNO SPECIFIC DATA AVAILABLEl disease or with impaired hepatic function,rise in blood lipids
chlorpromazine hydrochloride,mania and hypomania,slight ganglion-blocking activity,adverse drug reaction,alcohol,circulatory collapse. cns depression,"cardiovascular: postural hypotension, ecg changes."
chlorpheniramine maleate,urticaria sensitivity reactions,blocking h1-receptor competitively,calcium chloride,meglumine adipiodone,newborn or premature infants,well-tolerated
chloroxylenol + triclosan,"insect bites, sunburn, cuts, scratches, abrasions",chloriNO SPECIFIC DATA AVAILABLEted bisphenol antiseptic,drug interactions,drug,hypersensitivity,reversible brown staining of the teeth
chloroxylenol,antiseptic lubricant for vagiNO SPECIFIC DATA AVAILABLEl examiNO SPECIFIC DATA AVAILABLEtions and on forceps,disinfection,drug interactions,drug,hypersensitivity,reversible brown staining of the teeth
chloroquine phosphate,treatment of malaria prophylaxis and suppression of malaria,interferes with the nucleoprotein synthesis of the patient,cimetidine,cimetidine,there is no absolute contraindication,headache and gastrointestiNO SPECIFIC DATA AVAILABLEl disturbances
chlorhexidine hydrochloride + nystatin,it is used to treat skin infections,poorly absorbed from the gastrointestiNO SPECIFIC DATA AVAILABLEl tract,drug interactions,drug,those with a history of possible chlorhexidine-related allergic reactions,allergic skin reactions
chlorhexidine hydrochloride + cetrimide,amp,antimicrobial agent,drug interactions,drug,"eye, ear, mucous membrane or body cavities",skin irritation
chlorhexidine glucoNO SPECIFIC DATA AVAILABLEte + isopropyl alcohol,pre-operative surgical hand disinfection,bacteriostatic and bactericidal,soaps and other anionic agents,hypochlorite bleaches,chlorhexidine,irritative skin reactions
chlorhexidine glucoNO SPECIFIC DATA AVAILABLEte + cetrimide,for cleansing and irrigating the skin and dirty wounds,cationic surfactants,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"brain, meninges, eyes or perforated eardrum",cetrimide may have a prolonging effect on the wound healing process
chlorhexidine glucoNO SPECIFIC DATA AVAILABLEte [7.1%],omphalitis (infection of the umbilical cord) in newborn,both bacteriostatic and bactericidal action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
chlorhexidine glucoNO SPECIFIC DATA AVAILABLEte [4%],surgical hand scrub,both bacteriostatic and bactericidal,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,allergic,NO SPECIFIC DATA AVAILABLE
chlorhexidine glucoNO SPECIFIC DATA AVAILABLEte [1%],antiseptic cream,both bacteriostatic and bactericidal,brown stains,fabrics,patients who are hypersensitive to chlorhexidine,allergic reactions
chlorhexidine glucoNO SPECIFIC DATA AVAILABLEte [0.2%],"following oral surgery, in mentally or physically handicapped patients",bacteriostatic and bactericidal depending on its concentration,sulfates,"soaps, other anionic agents",hypersensitivity,transient taste disturbance; parotid gland swelling
clascoterone,12 years of age and older,potent antagonist at ars,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,local skin reactions
clarithromycin,streptococcal pharyngitis sinusitis,inhibiting microsomal protein synthesis in susceptible organisms,serum theophylline concentrations,terfeNO SPECIFIC DATA AVAILABLEdine,patients receiving terfeNO SPECIFIC DATA AVAILABLEdine,"NO SPECIFIC DATA AVAILABLEusea, vomiting, diarrhoea and abdomiNO SPECIFIC DATA AVAILABLEl pain"
citric acid monohydrate,dry cough,reduce the dry cough and soothes the throat from any related discomfort and pain,drug-drug interaction,drug-drug,hypersensitivity,no known side effects
citicoline sodium,cerebrovascular disease,inhibits the activation of phospholipase a2,meclophenoxate,meclophenoxate,patients with hypertonic of the parasympathetic nervous system.,discrete hypotensive effect
citalopram hydrobromide,obsessive-compulsive disorder and social phobia,antidepressant,metabolism,omeprazole,patients with a hypersensitivity,gastro-intestiNO SPECIFIC DATA AVAILABLEl effects
cisplatin,advanced and metastatic ovarian carcinoma,cells are killed at all stages,myelosuppression,cytotoxic drugs,"myelosuppressed patients, or patients with hearing impairment","kidneys, bone marrows and ears"
ciprofloxacin + hydrocortisone acetate,steroid responsive inflammatory ocular conditions,hydrocortisone is a corticosteroid,increased toxicity,ethanol,newborn babies,steroid
ciprofloxacin + dexamethasone,anti-infective component,interference with the enzyme dNO SPECIFIC DATA AVAILABLE gyrase,specific drug interaction,ophthalmic,newborn babies,adverse reactions
ciprofloxacin (ophthalmic),prophylaxis in otic surgeries such as mastoid surgery,bactericidal action,drug interaction studies,drug,hypersensitivity,hyperemia
ciprofloxacin,"respiratory tract infections,uriNO SPECIFIC DATA AVAILABLEry tract infections, pelvic inflammatory diseases",it inhibits bacterial dNO SPECIFIC DATA AVAILABLE synthesis,magnesium or aluminum containing antacids or sucralfate,calcium,patients who have known hypersensitivity,"headache, dizziness, joint pain and skin rashes"
ciprofibrate,hypertriglyceridemia with or without low hdl cholesterol,it also increases levels of hdl cholesterol,oral anticoagulant therapy,oral anticoagulants,pregNO SPECIFIC DATA AVAILABLEncy and lactation or when pregNO SPECIFIC DATA AVAILABLEncy is suspected concurrent use with another fibrate,"headache, dizziness, somnolence, vertigo, NO SPECIFIC DATA AVAILABLEusea, vomiting"
cinNO SPECIFIC DATA AVAILABLErizine + dimenhydriNO SPECIFIC DATA AVAILABLEte,prophylaxis of motion sickness,calcium antagonists,drugs,alcohol,"patients with angle-closure glaucoma, convulsions","impaired vision, allergic reactions, light sensitivity, and difficulty in uriNO SPECIFIC DATA AVAILABLEting"
cinNO SPECIFIC DATA AVAILABLErizine,labyrinthine arteriosclerosis,"selective calcium antagonist, inhibiting the influx of ca 2+ intracellularly",drug interactions,anticoagulants or hypoglycaemics,hypotensive patients,somnolence and gastrointestiNO SPECIFIC DATA AVAILABLEl disturbances are extremely rare
cinchocaine hydrochloride,surface aNO SPECIFIC DATA AVAILABLEesthesia,decrease of permeability of the nerve cell to sodium ions,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,application to inflamed or infected tissues,cardiac arrest
cinchocaine + hydrocortisone + neomycin + esculin,application,anti-inflammatory and anti-pruritic agent,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitive to any component of the product,side effects which have been reported for individual constituents
cinchocaine + hydrocortisone + framycetin + esculin,application to relieve pain and discomfort,skin protective action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"herpes simplex, vaccinia or varicella",children
ciNO SPECIFIC DATA AVAILABLEcalcet,secondary hyperparathyroidism in patients with chronic kidney disease on dialysis,calcimimetic agent,serum concentrations of tacrolimus,tacrolimus,patients with hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, vomiting, anorexia"
cilostazol,intermittent claudication,specifically inhibit cellular phosphodiesterase iii,major metabolites,diltiazem,patients with known or suspected hypersensitivity to any of its components,"headache, diarrhoea, vomiting, leg cramps, rash"
cilnidipine,patients with chronic kidney disease,dihydropyridine calcium-channel blocker,antipsychotics,antipsychotics,patients with known sensitivity to cilnidipine,dizziness; flushing; headache;
