,generic_name,use_cases,mechanism_of_action,drug_interactions,food_interactions,contraindications,side_effects
284,bosentan monohydrate,functional class ill,dual endothelin receptor antagonist,inhibitors,rifampicin,pregnancy,"anaemia, haemoglobin decrease"
285,bleomycin sulfate,squamous cell carcinoma : head and neck,unknown,may reduce the absorption of phenytoin,may reduce the absorption of phenytoin,acute pulmonary infection or greatly reduced lung function,injection site reactions
286,bivalirudin,patients undergoing ptca/pci or pci with hits/hitts,directly inhibits thrombin,risks of major bleeding events,heparin,active major bleeding &amp; hypersensitivity,"fever,infection, sepsis"
287,bisoprolol hemifumarate,not recommended for the emergency treatment of hypertensive crises,selectively blocks 1 adrenergic receptor,not be combined with other -blocking agents,other -blocking agents,patients with cardiogenic shock,doctor informed
288,bisoprolol fumarate + hydrochlorothiazide,hypertension,antihypertensive effects of these agents are additive,excessive reduction of sympathetic activity,calcium antagonists,"cardiogenic shock, overt cardiac failure",mild and transient
289,bisoprolol fumarate + amlodipine besilate,concurrently at the same dose level as in the combination,dihydropyridine calcium antagonist,combinations,eye drops,hypersensitivity,asthma
290,bismuth subsalicylate,upset stomach indigestion heartburn nausea and diarrhea,antacid action,drugs to thin the blood,oral therapy for diabetes,hypersensitive,black stool and black tongue
291,azilsartan medoxomil,either alone or in combination with other antihypertensive agents,selective at1 subtype angiotensin ii receptor antagonist,drug interactions,amlodipine,patients with diabetes,"nausea, asthenia"
292,azelastine hydrochloride + fluticasone propionate,6 years of age and older,not known,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,"dysgeusia, epistaxis, and headache"
293,azelastine hydrochloride (nasal spray),adults and pediatric patients 5 years and older,histamine h1 receptor antagonist activity,alcohol,alcohol,patients with a known hypersensitivity,"headache, dizziness, sneezing, nosebleed, nausea"
294,nux-vomica + black pepper + long pepper,rheumatoid arthritis,effective natural ingredients,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in the therapeutic dosage
295,nimbadi churna,skin diseases,antibacterial,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,not yet known,no known side effect
296,nigella sativa [black seed oil],"(ldl, tg) (hdl",", , , - , , , , , , , , , ,",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE>,","
297,neem,viral skin infections,"antiseptic, astringent, anthelmintic",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindication,no significant side effect
298,natural medicine for diabetes,tablet,unani formulation,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,there is no known contraindication,no significant side effect has been observed in proper dosage
299,aspirin + dipyridamole,antiplatelet agent,anti-platelet agents,cholinesterase inhibitors,cholinesterase inhibitors,children or teenagers with viral infections,nausea and diarrhea
300,aspirin,prophylaxis against arterial occlusive events,anti-inflammatory and antipyretic properties,salicylates,salicylates,breast-feeding and active peptic ulcer,mild
301,calcipotriol monohydrate,chronic stable plaque type psoriasis vulgaris in adult patients,non-steroidal antipsoriatic agent,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known disorders of calcium metabolism,allergic reactions
302,calamine + zinc oxide + glycerine,plants,mild astringent and antipruritic,drug interactions,drug,history of hypersensitivity to any of the components.,"severe dizziness, trouble breathing"
303,caffeine citrate,apnea of prematurity,not known,concurrent use of these drugs is not recommended,drugs which are reported to decrease caffeine elimination,NO SPECIFIC DATA AVAILABLE,"rash, skin breakdown, kidney failure"
304,cabozantinib,hepatocellular carcinoma,metabolism,st. john's wort,grapefruit or grapefruit juice,patients with known hypersensitivity,proteinuria osteonecrosis of the jaw wound complications
305,cabergoline,either idiopathic or due to pituitary adenomas,reducing the amount of prolactin,d2-antagonists,d2-antagonists,uncontrolled hypertension or known hypersensitivity,"pathological gambling, increased libido, and hypersexuality"
306,cabazitaxel,patients with hormone refractory metastatic prostate cancer,inhibiting disassembly,vaccination with a live attenuated vaccine,vaccination with a live attenuated vaccine,yellow fever vaccine,diarrhea
307,butoconazole nitrate,non-pregnant women,unknown,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a history of hypersensitivity,adverse events
308,butenafine hydrochloride,superficial dermatophytosis,the exact mechanism of action has not been established,drug interactions,cream,individuals who have known or suspected sensitivity to this cream or any of its components,hypersensitivity reactions
309,butamirate citrate,acute cough of any etiology,antitussive action,expectorants,expectorants,hypersensitivity to the active ingredient,"rash,nausea,diarrhoea and vertigo"
310,busulfan,chronic myeloid leukaemia,alkylation,decreased clearance,paracetamol,patient with chronic myelogenous leukemia whose disease was resistant to prior therapy,cns effects including convulsions.
311,bupropion hydrochloride,smoking cessation,noradrenergic and/or dopaminergic mechanisms,alcohol,alcohol,patients who have shown an allergic response to bupropion,"fever, dry mouth, headache or migraine"
312,bupivacaine hydrochloride + dextrose,amp,amp; dextrosehas a rapid onset of action and long duration,toxic effects,drugs,patients with a known hypersensitivity to it,nerve block
313,bupivacaine hydrochloride,procedures,route and dose-dependent): 1-17 min,toxic effects,lidocaine,intravenous regional anaesthesia;,anaphylactoid reactions
314,bumetanide,renal disease including the nephrotic syndrome,inhibits the sodium-potassium atpase pump,blood uric acid,blood uric acid,severe hypokalaemia,"headache, dizziness, fatigue, postural hypotension"
315,budesonide + formoterol fumarate,long-acting bronchodilators,formoterol fumarate dihydrate,cyp3a4 inhibitors,potent cyp3a4 inhibitors,lactose,"tremor, palpitations, and headache"
316,budesonide (tablet),mild to moderate ulcerative colitis,glucocorticoid activity and weak mineralocorticoid activity,cytochrome p450 3a4 inhibitors,grapefruit juice,NO SPECIFIC DATA AVAILABLE,"headache, nausea, upper abdominal pain"
317,budesonide (nebuliser suspension),maintenance treatment and as prophylactic therapy of asthma,topical anti-inflammatory potency,drug interactions,drug,hypersensitivity,"sneezing, headache, sore throat, dry mouth, nausea"
318,budesonide (nasal spray),nasal polyposis. prevention against nasal polyps after polypectomy,anti-inflammatory potency,drug interaction,drug,NO SPECIFIC DATA AVAILABLE,"sneezing, headache, sore throat, dry mouth, nausea"
319,budesonide (inhaler),not indicated for the relief of acute bronchospasm,corticosteroid,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,primary treatment of status asthmaticus or other acute episodes of asthma,"headache, flu-like syndrome"
320,bromocriptine mesylate,prolactin secreting adenomas,dopamine receptor agonist,ergot alkaloids,ergot alkaloids,in patients being treated for hyperprolactinemia,"nausea, headache, dizziness, fatigue, lightheadedness, vomiting"
321,aspartame,diet supplement,metabolized as a protein,drug,drug,"complete biliary obstruction, hypersensitivity",increased bleeding tendency
322,articaine hydrochloride + epinephrine,both simple and complex dental procedures,vasoconstrictor,concurrent use,phenothiazines and butyrophenones,patients who are hypersensitive to products containing sulfites,positive blood aspiration into syringe
323,artesunate,both adults and children,metabolized to the active dha,artemisinin drugs,antimalarial drugs,hypersensitivity to artemisinin and its derivatives or its inactive ingredients,no adverse effects have been reported
324,licorice + yellow silk cotton + mastic tree,hyperacidity gastric ulcer duodenal ulcer,cochiospermum religiosum) and other precious natural ingredients,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
325,licorice + vasaka + basil + peppermint,influenza,medicinal plants of time tested proven efficacy,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
326,lavendar [lavendula stoechas],chronic catarrh headache,it strengthens the brain,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
327,kusta qalyee [calcined stannum],spermatorrhoea oligospermia,"unani medicine, prepared with the valuable natural ingredients",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no known contraindication,no significant side effect has been observed in proper dosage
328,khakshi,in- fever influenza,immunostimulant,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
329,anastrozole,hormone receptor positive post-menopausal women,selective and competitive inhibition of the aromatase enzyme,tamoxifen and/or other therapies containing estrogen,tamoxifen,NO SPECIFIC DATA AVAILABLE,"hair thinning, allergic reactions"
330,ampicillin sodium,infections of thegastrointestinal tract,binding to 1 or more of the penicillin-binding proteins,bacteriostatic antibacterials,chloroquine,hypersensitivity,moderate and transient increase in transaminases
331,amphotericin b,refractory,disruption of membrane integrity and ultimately cell death,azole antifungals,azole antifungals,hypersensitivity,"fever, chills, convulsions, malaise"
332,calcium orotate,"arthritis, psoriasis, lupus, spondylitis",facilitating the intracellular uptake of calcium,osteoporosis,mineral oil,"incomplete or infrequent bowel movements, kidney stone, kidney disease","loss of appetite, upset stomach, constipation, nausea, vomiting"
333,calcium lactate gluconate + coral calcium + vitamin c + vitamin d3,housebound and hospitalized elderly subjects,vitamin d3,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE>
334,calcium lactate gluconate + calcium carbonate + vitamin d3,prevention and treatment of osteoporosis,calcium and vitamin d,consultations,calcium supplements,hypercalcemia and hyperparathyroidism,"nausea, vomiting, decreased appetite dry mouth and drowsiness, skin rash"
335,calcium lactate gluconate + calcium carbonate + vitamin c + vitamin d3,housebound and hospitalized elderly subjects,neutralizing hydrochloric acid in gastric secretions,hypercalcemia,"oxalic acid, phosphate or phytinic acid",severe renal failure and hypersensitivity to any of the tablet ingredients,occasional skin rash has been reported
336,calcium lactate gluconate + calcium carbonate + vitamin c,adjuvant in colds and influenza.,reducing agent,milk-alkali syndrome and hypercalcaemia,milk,"hyperparathyroidism, vitamin-d overdosage",urinary tract
337,calcium lactate,"heartburn, calcium supplement, calcium deficiencies",enzymatic reactions,increased risk of hypercalcaemia,atenolol,hypercalcaemia and hypercalciuria,milk-alkali syndrome
338,calcium gluconate,severe hypermagnesaemia,helps facilitate nerve and muscle performance as well as normal cardiac function,decreases effects of calcium-channel blockers,milk,patients with calcium renal calculi or history of renal calculi,"chalky taste, hot flushes and peripheral vasodilation"
339,calcium folinate [folinic acid],to treat the megaloblastic anemia due to folate deficiency,co-enzyme for nucleic acid synthesis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,known hypersensitivity,fits and fainting
340,calcium dobesilate + lidocaine + dexamethasone,in cases of hemorrhoidectomy,anti-inflammatory and antipruritic actions,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,hypersensitivity,hypersensitivity reactions
341,calcium dobesilate,hemorrhoidal syndrome,capillary fragility,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,pregnancy and lactation,reversible after treatment withdrawal
342,calcium carbonate + vitamin d3 + multimineral,lactation deficiency state,macronutrients for bone,interaction,aluminium or magnesium containing antacids &amp; other calcium supplements,"hypercalcaemia, hyperthyroidism",micronutrient are rare
343,calcium carbonate [elemental source] + vitamin d3,phosphate binder in chronic renal failure,calcium carbonate and vitamin d3,magnesium,aluminium or magnesium containing antacids &amp; other calcium supplements,"hypercalcaemia, hyperthyroidism",constipation
344,calcium carbonate [eggshell source] + vitamin d3,rickets,vitamin d3 helps the body to absorb calcium,consultations,"spinach, milk and milk products",severe renal insufficiencies concomitant digoxin therapy,eggshell calcium is safe for long-term use
345,calcium carbonate [coral source] + vitamin d3,"childhood diet, rickets, pregnancy &amp; lactation, elderly patients",aids in the absorption of calcium from gi tract,spinach,"spinach, cereals, milk",hyperparathyroidism,hypercalcaemia
346,calcium carbonate [algae source] + vitamin d3,deficiency,amp; vitamin d3,increased risk of hypercalcemia,thiazides,metastatic calcification hypersensitivity,vitamin d3
347,calcium carbonate,increasingly often to treat hyperphosphataemia in chronic renal failure,chemical reaction,hypercalcaemia,vitamin d therapy,"patients with sarcoidosis, renal or cardiac disease",irritating to the gi tract. it may also cause constipation
348,calcium acetate,hyperphosphatemia in end stage renal disease (esrd),combines with dietary phosphate to form insoluble calcium phosphate,bioavailability of tetracycline,calcium acetate,patients with hypercalcemia,vascular or soft-tissue calcification
349,calcium + vitamin d3 + vitamin c + vitamin e + multimineral,post-menopausal osteoporosis,antioxidant,calcium salts may reduce the absorption of fluoride,thiazide diuretics,mild to moderate renal failure or mild hypercalciuria,micronutrients are rare
350,calcitriol + calcium citrate,amp; calcium,increasing serum calcium levels,decreased absorption with corticosteroids,milk,pregnancy &amp; lactation,ectopic calcification; hypertension
351,calcitriol,post-menopausal osteoporosis,promotes intestinal absorption of calcium and regulates bone mineralization,hypercalcemia,magnesium containing drugs,patients with known hypersensitivity to any of its ingredients,"dystrophy, fever, polyuria, dehydration"
352,amoxicillin trihydrate,lansoprazole,inhibition of biosynthesis of cell wall,estrogen reabsorption,gut flora,penicillin hypersensitive patients,"diarrhoea, indigestion or occasionally rash"
353,amoxicillin + clavulanic acid,co-amoxiclav,(3-lactamase inhibitor,allergic skin reactions,co-amoxiclav. in common with other broad-spectrum antibiotics,penicillin-associated cholestatic jaundice,uncommon and mainly of a mild and transitory nature
354,herbal cough syrup [glycyrrhiza glabra],indicated in- cough,licorice,<,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
355,herbal cough syrup [adhatoda vasica],all types of cough,relieves cough &amp; bronchial spasm,no report,no report,patients who are hypersensitive,"in high dose diarrhea, vomiting may occur"
356,hazmina,digestive and carminative,tones up the digestive system,no report,no report,contraindication,no significant side effect has been observed in proper dosages
357,habb-e-nishat,erectile dysfunction,aphrodisiac,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
358,guggul + barberry + chebulic myrobalan,haemorrhoid,synergistically acting,<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE,there is no known contra-indication,no significant side effect has been observed in therapeutic dosage
359,aminocaproic acid,orally or intravenously,inhibition of plasminogen activators,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,when there is evidence of an active intravascular clotting process,"nausea, vomiting, stomach pain, diarrhea"
360,amino acid keto analogues,chronic kidney disease,intake of essential amino acids while minimizing the amino-nitrogen intake,disturbed absorption of the active substances,estramustine,hypercalcaemia,reduced
361,amino acid + glucose + electrolytes,adult and pediatric patients needing iv nutrition,total parenteral nutrition,interact with other medicaments,solution,"patients with inborn errors of amino acids metabolism, severe liver damage &amp",hypertonic infusion solution
362,amino acid + dextrose + eloctrolytes,glucose and electrolytes in adult and pediatric patients needing iv nutrition,NO SPECIFIC DATA AVAILABLE,interact with other medicaments,amino acid,patients with hyperosmolar nonketotic diabetic coma,thrombophlebitis may occur when peripheral veins are used
363,carboxymethylcellulose sodium,lubricant,ocular lubricant,not known,not known,patients with known hypersensitivity to any ingredient of the product,"burning, eye irritation or pruritus, visual disturbance, ocular discharge"
364,carboprost tromethamine,contraindicated,myometrial contractions,concomitant use with other oxytocic agents,concomitant use with other oxytocic agents is not recommended,"patients with active cardiac, pulmonary, renal or hepatic disease","vomiting, nausea, diarrhea and pyrexia"
365,carboplatin,one,it modifies the cell cycle by interfering with dna structure and function,liver vaccine,liver vaccine,patients with severe bone marrow depression or significant bleeding,"bone marrow suppression, gastrointestinal effects"
366,carbonyl iron + folic acid + zinc sulfate + vitamin b complex + vitamin c,this capsule,vitamin b complex is required for the growth and development of unborn babies,carbonyl iron decreases the absorption of tetracycline antibiotics,carbonyl iron decreases the absorption of tetracycline antibiotics,haemolytic anaemia,allergic sensitization
367,carbonyl iron + folic acid + zinc sulfate,"iron, folic acid and zinc deficiency especially during pregnancy and lactation","carbonyl iron, folic acid and zinc sulphate monohydrate",absorption of tetracycline antibiotics,carbonyl iron decreases the absorption of tetracycline antibiotics,hypersensitivity to any of its component or those with iron overload,rarely there may be allergic reactions
368,carbonyl iron + folic acid,megaloblastic anemias,producing red blood cells as well as transporting oxygen in the body,alcohol,alcohol,"hypersensitivity, intolerance to the drug",constipation diarrhea stomach cramps upset stomach allergic reactions
369,carbocisteine,"acute bronchitis, chronic bronchitis, bronchial asthma",mucolytic action happens in several mechanisms,hazardous nor therapeutically useful interactions,therapeutically,active peptic ulceration and in patients with hypersensitivity,"headache, heartburn and skin rash"
370,carbimazole,thyroidectomy,antithyroid action,iodine or iodine excess,iodine or iodine excess,hypersensitivity,nausea
371,carbetocin,following delivery of the infant,similar to that of oxytocin,drug interactions,drug,hypersensitivity to oxytocin or carbetocin,"back pain, dizziness, metallic taste, anaemia"
372,carbamazepine,partial and secondary generalized tonic-clonic seizures,unknown mechanisms,metabolism,metabolism,allergic to one or any of its ingredients,"dizziness, drowsiness, ataxia, dry mouth"
373,captopril,cardopril is effective alone or in combination,competitively inhibits the conversion of angiotensin i,k supplements,k supplements,pregnancy,"neutropenia, anaemia and thrombocytopenia"
374,capsaicin,"rheumatoid arthritis, osteoarthritis",not fully understood,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,transient burning on application
375,caprylic + capric triglyceride,"repairs, restores &amp; protects dry skin &amp",physiological lipids to protect &amp; maintain healthy skin,drug interactions,drug,hypersensitivity,"rash, redness and itchiness"
376,capecitabine,adjuvant colon cancer,thymidine phosphorylase,food,food,pregnant or breast-feeding,"fever, infection, chest pain"
377,candesartan cilexetil + hydrochlorothiazide,hypertension,combines an angiotensin ii receptor blocker,oral contraceptives,oral contraceptives,patients who are hypersensitive to any component of this product,"headache, upper respiratory tract infection, back pain, influenza-like symptoms"
378,candesartan cilexetil,"hypertension, heart failure with impaired left ventricular systolic function",angiotensin ii receptor (type at1) antagonist,significant drug interactions,oral contraceptives,"pregnancy, breast-feeding, cholestasis",mild
379,canagliflozin hemihydrate,adults with type 2 diabetes mellitus,subtype-2 sodium-glucose co-transport protein,ugt inducers,ugt inducers,on dialysis patients,"low blood pressure, increases potassium blood levels"
380,camphor + menthol + oil clove + oil eucalyptus + oil turpentine,headache,eucalyptus oil acts as a cough suppressant,drug interactions,drug,history of convulsion,"redness, irritation, rash or pruritis"
381,calcium polystyrene sulfonate,hyperkalemia due to acute and chronic renal failure,removing potassium ions which are excreted in the feces,"sorbitol, digitalis drugs, cation donating agents",sorbitol,neonates,acute bronchitis and bronchopneumonia have been reported
382,calcium pantothenate,burning feet syndrome,enzymatic reactions,drug interactions,drug,patients with hypercalcaemia,irritation
383,amino acid + d-sorbitol + electrolytes,intravenous nutrition,"electrolytes, which are necessary as the nitrogen source for parenteral nutrition",interact with other medicaments,amino acid,patients with hyperosmolar nonketotic diabetic coma,hypertonic infusion solutions
384,dinar,jaundice hepatitis,prebiotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed in proper dosage
385,devils cotton + ashoka bark + aswagandha,leucorrhoea metritis anaemia,solely on female reproductive system,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,children,no significant side effect has been observed in proper dosage
386,devil's claw,2400 mg/day,chemicals,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"nausea, vomiting, abdominal pain, headaches, ringing in the ears"
387,datura + rhubarb + ginger,tablet,analgesic,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
388,date palm + betel nut + acacia,weakness of uterus leucorrhoea,medicinal plants,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
389,alpha lipoic acid,tablet,antioxidant,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,people receiving treatment for diabetes,NO SPECIFIC DATA AVAILABLE
390,alogliptin benzoate,adults with type-2 diabetes mellitus,dpp-4 inhibitor,significant drug-drug interactions,renally excreted drugs,"anaphylaxis, angioedema","nasopharyngitis, headache and upper respiratory tract infection"
391,almotriptan,12 to 17 years of age,almotriptan binds to specific serotonin receptors,selective serotonin reuptake inhibitors,selective serotonin reuptake inhibitors,"patients with a history, symptoms or signs of ischaemic heart disease","cardiac reactions, including myocardial infarction"
392,almitrine bismesylate + raubasine,amp,amp,not to be used concurrently with other almitrine-containing preparations,monoamine oxidase inhibitor,severe hepatic impairment,"weight loss, nausea, sensations of heaviness or burning in the stomach"
393,allylestrenol,threatened abortion,no oestrogenic or androgenic properties,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,undiagnosed vaginal bleeding toxaemia of pregnancy,"vomiting, nausea, and sometimes epigastric discomfort"
394,cefprozil,mild to moderate infections caused by susceptible strains,in vitro against both gram positive and gram negative bacteria,probenecid doubled the auc,probenecid doubled the auc,hypersensitivity,"diarrhea, nausea, vomiting, abdominal pain"
395,cefpodoxime proxetil + clavulanic acid,infections,clavulanic acid is a natural inhibitor of beta lactamase,h2 blockers,antacids or h2 blockers,patients with known hypersensitivity to cephalosporins,"diarrhea, vomiting and abdominal pain"
396,cefpodoxime proxetil,infections caused by susceptible microorganism,prodrug,h2 blockers reduces peak plasma levels,high doses of antacids,patients with known allergy to cephalosporins,few
397,cefpirome sulphate,severe infections,inhibiting biosynthesis and arresting cell wall assembly,drug interactions,drug,patients with known allergy to the cephalosporin group of antibiotics,there are no predictable life threatening effects
398,cefoxitin,patients with pelvic inflammatory disease,binding to 1 or more of the penicillin-binding proteins,nephrotoxic agents,nephrotoxic agents,hypersensitivity,"nausea, vomiting, diarrhoea"
399,cefotaxime,infections,binds to 1 or more of the penicillin binding proteins,increased nephrotoxicity,aminoglycoside antibiotics,patients who have shown hypersensitivity,"candidiasis, rashes, fever"
400,cefoperazone sodium,infections when caused by susceptible organisms,inhibition of bacterial cell wall synthesis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known allergy to the cephalosporin,hypersensitivity
401,cefixime trihydrate,uncomplicated urinary tract infections,it kills bacteria by interfering in the synthesis of bacterial cell wall,prothrombin time,warfarin,hypersensitivity,"nausea, abdominal pain"
402,cefepime hydrochloride,febrile neutropenic patients,bactericidal,nephrotoxicity,aminoglycosides,patients who have shown immediate hypersensitivity reactions,contraindicated in patients who have shown immediate hypersensitivity reactions
403,cefditoren,mild to moderate infections in adults and adolescents,prodrug which is hydrolyzed by esterases during absorption,ethinyl estradiol,intravenous,patients with milk protein hypersensitivity,"diarrhea, nausea, headache, abdominal pain"
404,cefdinir,community acquired pneumonia,binds to 1 or more of the penicillin-binding proteins,probencid,iron supplement,patients with known allergy to the cephalosporin class of antibiotics,"vomiting, headache, rash"
405,cefazolin sodium,infections,inhibiting transpeptidase enzyme,renal tubular secretion,probenecid,patients with known allergy to the cephalosporin group of antibiotics,injection site reactions
406,cefadroxil monohydrate,bacteria,binding to 1 or more of the penicillin-binding proteins,drug interaction with other drugs,drug interaction with other drugs,patients with a history of hypersensitivity,gastrointestinal disturbances and hypersensitivity phenomena
407,cefaclor monohydrate,"otitis media, lower respiratory tract infections",stability against b-lactamase inactivation,aminoglycoside antibiotics,aminoglycoside antibiotics,patients with known allergy to the cephalosporin group of antibiotics,"allergic reactions such as eruptions, pruritis and urticaria"
408,casirivimab + imdevimab,treatment of covid-19,unmodified in the fc regions,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,hypersensitivity to the active substances,NO SPECIFIC DATA AVAILABLE>
409,carvedilol,in patients unable to tolerate an ace inhibitor,non-selective antagonism of -adrenergic receptors,adverse effects,warfarin,patients with decompensated heart failure,reported
410,carmellose sodium,dry eye,NO SPECIFIC DATA AVAILABLE,eye drops,eye drops,hypersensitive,eye irritation
411,carisoprodol,used as an adjunct in physical therapy in injuries,it has no direct action on muscle itself,cns depressants,alcohol,patients with a history of acute intermittent porphyria,"drowsiness, dizziness and headache"
412,carboxymethylcellulose sodium + hypromellose,this medication,polymer in nature,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,known sensitivity or allergy,"blurred vision, matting or stickiness of eyelashes"
413,carboxymethylcellulose sodium + glycerin,sterile eye drops,lubricating and hydrating protective shield,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,minor burning/ stinging/ irritation
414,bitter melon [korola],natural source of vitamin c,numerous reddishbrown or white seeds encased in scarlet arils,antidiabetic agent,antidiabetic agent,no absolute contraindication,no significant side effect
415,biotin,dermatitis,carboxylation of pyruvate and acetyl-coa,excessive consumption of raw egg whites,raw egg whites,patients with known hypersensitivity to any of the ingredients,no biotin toxicity
416,bilberry fruit [vaccinium myrtillus l],retinopathy,inhibits enzymatic cleavage of collagen,may interact with warfarin or other antiplatelet drugs,antiplatelet drugs,none known,none known
417,belgiri [bael fruit + connessi bark],diarrhoea amoebiasis,pathogenic microbes,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no known contraindication,no significant side effect has been observed in the therapeutic dosage
418,barsina,vitiligo or leucoderma,valuable natural ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been reported
419,adhatoda vasica + centella asiatica,this syrup,the soothing action of vasac,data,no data available,patients known to have hypersensitivity,there is no data available
420,adenosine,intravenous,nonpyrogenic solution for rapid bolus intravenous injection,additive or synergistic depressant effects,verapamil,second- or third-degree a-v block,"prolonged asystole, ventricular tachycardia"
421,adefovir dipivoxil,adults with evidence of active viral replication,diester prodrug of adefovir,urinary recovery,urinary recovery,patients with previously demonstrated hypersensitivity to any of the components,"weakness, headache, stomach pain and nausea"
422,adapalene + benzoyl peroxide,amp,amp,irritancy effect,"peeling, desquamating, or abrasive agents",hypersensitive,dry skin
423,adapalene,acne vulgaris,retinoid receptors,"sulfur, resorcinol or salicylic acid",salicylic acid,individuals who are hypersensitive,usually lessen with continued use of the medication
424,aloe + black pepper + henbane,constipation flatulence anorexia colic obesity,synergistic action,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE>,contraindication,no significant side effect has been observed in proper dosage
425,chloramphenicol + lidocaine hydrochloride,acute bacterial ear infections,bacteriostatic and bactericidal,drugs that depress bone marrow function,drugs that depress bone marrow function,perforated ear drum,ototoxicity
426,chloramphenicol (oral),both are suggested by in vitro studies to be effective against a specific pathogen,interference or inhibition of protein synthesis in intact cells and cell-free systems,"clindamycin, or erythromycin","clindamycin, or erythromycin","colds, viral influenza, infections of the throat",NO SPECIFIC DATA AVAILABLE
427,chloramphenicol (ophthalmic),ocular infections involving the conjunctiva and/or cornea,inhibition of bacterial protein synthesis,chymotrypsin,chloramphenicol,individuals with a history of hypersensitivity,"burning, stinging, conjunctival hyperemia"
428,chlorambucil,macroglobulinaemia.,not yet completely understood,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,pregnancy (1st trimester) &amp; lactation,drug fever
429,cetuximab,k-ras,it binds specifically to the epidermal growth factor receptor,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"weakness, bone pain"
430,cetrorelix acetate,assisted reproductive technologies,gonadorelin antagonist,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,pregnancy and lactation,"nausea, headache, ovarian hyperstimulation syndrome"
