calcium acetate,hyperphosphatemia in end stage renal disease (esrd),combines with dietary phosphate to form insoluble calcium phosphate,bioavailability of tetracycline,calcium acetate,patients with hypercalcemia,vascular or soft-tissue calcification
calcium + vitamin d3 + vitamin c + vitamin e + multimineral,post-menopausal osteoporosis,antioxidant,calcium salts may reduce the absorption of fluoride,thiazide diuretics,mild to moderate renal failure or mild hypercalciuria,micronutrients are rare
calcitriol + calcium citrate,amp; calcium,increasing serum calcium levels,decreased absorption with corticosteroids,milk,pregnancy &amp; lactation,ectopic calcification; hypertension
calcitriol,post-menopausal osteoporosis,promotes intestinal absorption of calcium and regulates bone mineralization,hypercalcemia,magnesium containing drugs,patients with known hypersensitivity to any of its ingredients,"dystrophy, fever, polyuria, dehydration"
amoxicillin trihydrate,lansoprazole,inhibition of biosynthesis of cell wall,estrogen reabsorption,gut flora,penicillin hypersensitive patients,"diarrhoea, indigestion or occasionally rash"
amoxicillin + clavulanic acid,co-amoxiclav,(3-lactamase inhibitor,allergic skin reactions,co-amoxiclav. in common with other broad-spectrum antibiotics,penicillin-associated cholestatic jaundice,uncommon and mainly of a mild and transitory nature
herbal cough syrup [glycyrrhiza glabra],no answer,no answer,no answer,no answer,no answer,no answer
herbal cough syrup [adhatoda vasica],all types of cough,relieves cough &amp; bronchial spasm,no report,no report,patients who are hypersensitive,"in high dose diarrhea, vomiting may occur"
hazmina,digestive and carminative,tones up the digestive system,no report,no report,contraindication,no significant side effect has been observed in proper dosages
habb-e-nishat,no answer,no answer,no answer,no answer,no answer,no answer
guggul + barberry + chebulic myrobalan,no answer,no answer,no answer,no answer,no answer,no answer
aminocaproic acid,no answer,no answer,no answer,no answer,no answer,no answer
amino acid keto analogues,chronic kidney disease,intake of essential amino acids while minimizing the amino-nitrogen intake,disturbed absorption of the active substances,estramustine,hypercalcaemia,reduced
amino acid + glucose + electrolytes,adult and pediatric patients needing iv nutrition,total parenteral nutrition,interact with other medicaments,solution,"patients with inborn errors of amino acids metabolism, severe liver damage &amp",hypertonic infusion solution
amino acid + dextrose + eloctrolytes,no answer,no answer,no answer,no answer,no answer,no answer
carboxymethylcellulose sodium,lubricant,ocular lubricant,not known,not known,patients with known hypersensitivity to any ingredient of the product,"burning, eye irritation or pruritus, visual disturbance, ocular discharge"
carboprost tromethamine,contraindicated,myometrial contractions,concomitant use with other oxytocic agents,concomitant use with other oxytocic agents is not recommended,"patients with active cardiac, pulmonary, renal or hepatic disease","vomiting, nausea, diarrhea and pyrexia"
carboplatin,one,it modifies the cell cycle by interfering with dna structure and function,liver vaccine,liver vaccine,patients with severe bone marrow depression or significant bleeding,"bone marrow suppression, gastrointestinal effects"
carbonyl iron + folic acid + zinc sulfate + vitamin b complex + vitamin c,this capsule,vitamin b complex is required for the growth and development of unborn babies,carbonyl iron decreases the absorption of tetracycline antibiotics,carbonyl iron decreases the absorption of tetracycline antibiotics,haemolytic anaemia,allergic sensitization
carbonyl iron + folic acid + zinc sulfate,"iron, folic acid and zinc deficiency especially during pregnancy and lactation","carbonyl iron, folic acid and zinc sulphate monohydrate",absorption of tetracycline antibiotics,carbonyl iron decreases the absorption of tetracycline antibiotics,hypersensitivity to any of its component or those with iron overload,rarely there may be allergic reactions
carbonyl iron + folic acid,megaloblastic anemias,producing red blood cells as well as transporting oxygen in the body,alcohol,alcohol,"hypersensitivity, intolerance to the drug","constipation 
 diarrhea 
 stomach cramps 
 upset stomach 
 allergic reactions"
carbocisteine,"acute bronchitis, chronic bronchitis, bronchial asthma",mucolytic action happens in several mechanisms,hazardous nor therapeutically useful interactions,therapeutically,active peptic ulceration and in patients with hypersensitivity,"headache, heartburn and skin rash"
carbimazole,thyroidectomy,antithyroid action,iodine or iodine excess,iodine or iodine excess,hypersensitivity,nausea
carbetocin,following delivery of the infant,similar to that of oxytocin,drug interactions,drug,hypersensitivity to oxytocin or carbetocin,"back pain, dizziness, metallic taste, anaemia"
carbamazepine,partial and secondary generalized tonic-clonic seizures,unknown mechanisms,metabolism,metabolism,allergic to one or any of its ingredients,"dizziness, drowsiness, ataxia, dry mouth"
captopril,cardopril is effective alone or in combination,competitively inhibits the conversion of angiotensin i,k supplements,k supplements,pregnancy,"neutropenia, anaemia and thrombocytopenia"
capsaicin,no answer,no answer,no answer,no answer,no answer,no answer
caprylic + capric triglyceride,"repairs, restores &amp; protects dry skin &amp",physiological lipids to protect &amp; maintain healthy skin,drug interactions,drug,hypersensitivity,"rash, redness and itchiness"
capecitabine,adjuvant colon cancer,thymidine phosphorylase,food,food,pregnant or breast-feeding,"fever, infection, chest pain"
candesartan cilexetil + hydrochlorothiazide,hypertension,combines an angiotensin ii receptor blocker,oral contraceptives,oral contraceptives,patients who are hypersensitive to any component of this product,"headache, upper respiratory tract infection, back pain, influenza-like symptoms"
candesartan cilexetil,"hypertension, heart failure with impaired left ventricular systolic function",angiotensin ii receptor (type at1) antagonist,significant drug interactions,oral contraceptives,"pregnancy, breast-feeding, cholestasis",mild
canagliflozin hemihydrate,adults with type 2 diabetes mellitus,subtype-2 sodium-glucose co-transport protein,ugt inducers,ugt inducers,on dialysis patients,"low blood pressure, increases potassium blood levels"
camphor + menthol + oil clove + oil eucalyptus + oil turpentine,headache,eucalyptus oil acts as a cough suppressant,drug interactions,drug,history of convulsion,"redness, irritation, rash or pruritis"
calcium polystyrene sulfonate,hyperkalemia due to acute and chronic renal failure,removing potassium ions which are excreted in the feces,"sorbitol, digitalis drugs, cation donating agents",sorbitol,neonates,acute bronchitis and bronchopneumonia have been reported
calcium pantothenate,burning feet syndrome,enzymatic reactions,drug interactions,drug,patients with hypercalcaemia,irritation
amino acid + d-sorbitol + electrolytes,intravenous nutrition,"electrolytes, which are necessary as the nitrogen source for parenteral nutrition",interact with other medicaments,amino acid,patients with hyperosmolar nonketotic diabetic coma,hypertonic infusion solutions
dinar,no answer,no answer,no answer,no answer,no answer,no answer
devils cotton + ashoka bark + aswagandha,no answer,no answer,no answer,no answer,no answer,no answer
devil's claw,no answer,no answer,no answer,no answer,no answer,no answer
datura + rhubarb + ginger,no answer,no answer,no answer,no answer,no answer,no answer
date palm + betel nut + acacia,no answer,no answer,no answer,no answer,no answer,no answer
alpha lipoic acid,no answer,no answer,no answer,no answer,no answer,no answer
alogliptin benzoate,adults with type-2 diabetes mellitus,dpp-4 inhibitor,significant drug-drug interactions,renally excreted drugs,"anaphylaxis, angioedema","nasopharyngitis, headache and upper respiratory tract infection"
almotriptan,12 to 17 years of age,almotriptan binds to specific serotonin receptors,selective serotonin reuptake inhibitors,selective serotonin reuptake inhibitors,"patients with a history, symptoms or signs of ischaemic heart disease","cardiac reactions, including myocardial infarction"
almitrine bismesylate + raubasine,amp,amp,not to be used concurrently with other almitrine-containing preparations,monoamine oxidase inhibitor,severe hepatic impairment,"weight loss, nausea, sensations of heaviness or burning in the stomach"
allylestrenol,no answer,no answer,no answer,no answer,no answer,no answer
cefprozil,mild to moderate infections caused by susceptible strains,in vitro against both gram positive and gram negative bacteria,probenecid doubled the auc,probenecid doubled the auc,hypersensitivity,"diarrhea, nausea, vomiting, abdominal pain"
cefpodoxime proxetil + clavulanic acid,infections,clavulanic acid is a natural inhibitor of beta lactamase,h2 blockers,antacids or h2 blockers,patients with known hypersensitivity to cephalosporins,"diarrhea, vomiting and abdominal pain"
cefpodoxime proxetil,infections caused by susceptible microorganism,prodrug,h2 blockers reduces peak plasma levels,high doses of antacids,patients with known allergy to cephalosporins,few
cefpirome sulphate,severe infections,inhibiting biosynthesis and arresting cell wall assembly,drug interactions,drug,patients with known allergy to the cephalosporin group of antibiotics,there are no predictable life threatening effects
cefoxitin,patients with pelvic inflammatory disease,binding to 1 or more of the penicillin-binding proteins,nephrotoxic agents,nephrotoxic agents,hypersensitivity,"nausea, vomiting, diarrhoea"
cefotaxime,infections,binds to 1 or more of the penicillin binding proteins,increased nephrotoxicity,aminoglycoside antibiotics,patients who have shown hypersensitivity,"candidiasis, rashes, fever"
cefoperazone sodium,no answer,no answer,no answer,no answer,no answer,no answer
cefixime trihydrate,uncomplicated urinary tract infections,it kills bacteria by interfering in the synthesis of bacterial cell wall,prothrombin time,warfarin,hypersensitivity,"nausea, abdominal pain"
cefepime hydrochloride,febrile neutropenic patients,bactericidal,nephrotoxicity,aminoglycosides,patients who have shown immediate hypersensitivity reactions,contraindicated in patients who have shown immediate hypersensitivity reactions
cefditoren,mild to moderate infections in adults and adolescents,prodrug which is hydrolyzed by esterases during absorption,ethinyl estradiol,intravenous,patients with milk protein hypersensitivity,"diarrhea, nausea, headache, abdominal pain"
cefdinir,community acquired pneumonia,binds to 1 or more of the penicillin-binding proteins,probencid,iron supplement,patients with known allergy to the cephalosporin class of antibiotics,"vomiting, headache, rash"
cefazolin sodium,infections,inhibiting transpeptidase enzyme,renal tubular secretion,probenecid,patients with known allergy to the cephalosporin group of antibiotics,injection site reactions
cefadroxil monohydrate,bacteria,binding to 1 or more of the penicillin-binding proteins,drug interaction with other drugs,drug interaction with other drugs,patients with a history of hypersensitivity,gastrointestinal disturbances and hypersensitivity phenomena
cefaclor monohydrate,"otitis media, lower respiratory tract infections",stability against b-lactamase inactivation,aminoglycoside antibiotics,aminoglycoside antibiotics,patients with known allergy to the cephalosporin group of antibiotics,"allergic reactions such as eruptions, pruritis and urticaria"
casirivimab + imdevimab,no answer,no answer,no answer,no answer,no answer,no answer
carvedilol,in patients unable to tolerate an ace inhibitor,non-selective antagonism of -adrenergic receptors,adverse effects,warfarin,patients with decompensated heart failure,reported
carmellose sodium,no answer,no answer,no answer,no answer,no answer,no answer
carisoprodol,used as an adjunct in physical therapy in injuries,it has no direct action on muscle itself,cns depressants,alcohol,patients with a history of acute intermittent porphyria,"drowsiness, dizziness and headache"
carboxymethylcellulose sodium + hypromellose,no answer,no answer,no answer,no answer,no answer,no answer
carboxymethylcellulose sodium + glycerin,no answer,no answer,no answer,no answer,no answer,no answer
bitter melon [korola],natural source of vitamin c,numerous reddishbrown or white seeds encased in scarlet arils,antidiabetic agent,antidiabetic agent,no absolute contraindication,no significant side effect
biotin,dermatitis,carboxylation of pyruvate and acetyl-coa,excessive consumption of raw egg whites,raw egg whites,patients with known hypersensitivity to any of the ingredients,no biotin toxicity
bilberry fruit [vaccinium myrtillus l],retinopathy,inhibits enzymatic cleavage of collagen,may interact with warfarin or other antiplatelet drugs,antiplatelet drugs,none known,none known
belgiri [bael fruit + connessi bark],no answer,no answer,no answer,no answer,no answer,no answer
barsina,no answer,no answer,no answer,no answer,no answer,no answer
adhatoda vasica + centella asiatica,this syrup,the soothing action of vasac,data,no data available,patients known to have hypersensitivity,there is no data available
adenosine,intravenous,nonpyrogenic solution for rapid bolus intravenous injection,additive or synergistic depressant effects,verapamil,second- or third-degree a-v block,"prolonged asystole, ventricular tachycardia"
adefovir dipivoxil,adults with evidence of active viral replication,diester prodrug of adefovir,urinary recovery,urinary recovery,patients with previously demonstrated hypersensitivity to any of the components,"weakness, headache, stomach pain and nausea"
adapalene + benzoyl peroxide,amp,amp,irritancy effect,"peeling, desquamating, or abrasive agents",hypersensitive,dry skin
adapalene,acne vulgaris,retinoid receptors,"sulfur, resorcinol or salicylic acid",salicylic acid,individuals who are hypersensitive,usually lessen with continued use of the medication
aloe + black pepper + henbane,no answer,no answer,no answer,no answer,no answer,no answer
chloramphenicol + lidocaine hydrochloride,acute bacterial ear infections,bacteriostatic and bactericidal,drugs that depress bone marrow function,drugs that depress bone marrow function,perforated ear drum,ototoxicity
chloramphenicol (oral),no answer,no answer,no answer,no answer,no answer,no answer
chloramphenicol (ophthalmic),ocular infections involving the conjunctiva and/or cornea,inhibition of bacterial protein synthesis,chymotrypsin,chloramphenicol,individuals with a history of hypersensitivity,"burning, stinging, conjunctival hyperemia"
chlorambucil,no answer,no answer,no answer,no answer,no answer,no answer
cetuximab,no answer,no answer,no answer,no answer,no answer,no answer
cetrorelix acetate,no answer,no answer,no answer,no answer,no answer,no answer
cetirizine hydrochloride (ophthalmic),no answer,no answer,no answer,no answer,no answer,no answer
cetirizine hydrochloride,asthma,without any significant anticholinergic and antiserotonic effects,drug interactions,drugs,patients with a history of hypersensitivity,somnolence
cetalkonium chloride + choline salicylate,orthodontic device,inhibition of prostaglandin production,inhibit the action of uricosurics,salicylates may enhance the effect of anticoagulants,if allergic to salicylates,asthma attacks
ceritinib,adult patients with metastatic non-small cell lung cancer,kinase inhibitor,concurrent use of strong cyp3a inducers,grapefruit and grapefruit juice,patients with known hypersensitivity,gastrointestinal adverse reactions
cephalexin,no answer,no answer,no answer,no answer,no answer,no answer
cephradine,infections caused by sensitive gram-positive and gram-negative bacteria,the cell wall of bacteria,risk of kidney damage,diuretics,patients with known or suspected hypersensitivity to cephalosporins,hypersensitivity phenomena
celiprolol hydrochloride,no answer,no answer,no answer,no answer,no answer,no answer
celecoxib,for the relief of the signs and symptoms of osteoarthritis,inhibition of prostaglandin synthesis,aluminium and magnesium-containingantacid,aluminium and magnesium-containingantacid,aspirin or other nsaids,allergy aggravated
cefuroxime axetil + clavulanic acid,switch therapy,cefuroxime inhibits bacterial cell wall synthesis,effect of postprandial absorption,probenecid,patients with known allergy to cephalosporin &amp,"nausea, vomiting, diarrhea, abdominal discomfort or pain"
cefuroxime axetil,it is indicated for the treatment of infections caused by sensitive bacteria,antibacterial agent,potentially hazardous interactions,hazardous interactions,patients with known allergy to cephalosporins,rashes and gastrointestinal disturbances
ceftriaxone sodium,lower respiratory tract infections,beta lactamases,drug interactions,drug,hypersensitivity to cephalosporin antibiotics,"diarrhea, nausea and vomiting, stomatitis and glossitis"
ceftibuten dihydrate,mild-to-moderate infections,bactericidal,ranitidine,ranitidine,patients with known allergy to the cephalosporin group of antibiotics,vomiting
ceftazidime pentahydrate,no answer,no answer,no answer,no answer,no answer,no answer
ceftazidime + avibactam,no answer,no answer,no answer,no answer,no answer,no answer
almond + coconut + edible pine + salep,no answer,no answer,no answer,no answer,no answer,no answer
acacia + dates + asparagus + edible pine,no answer,no answer,no answer,no answer,no answer,no answer
abhayarista,no answer,no answer,no answer,no answer,no answer,no answer
23 herb formula to increase breast milk,no answer,no answer,no answer,no answer,no answer,no answer
acarbose,adults with type 2diabetes mellitus,different,loss of blood glucose control,insulin,patients with known hypersensitivity to the drug,tell your doctor or pharmacist promptly
acalabrutinib,no answer,no answer,no answer,no answer,no answer,no answer
abiraterone acetate,metastatic castration-resistant prostate cancer,covalent binding mechanism,strong cyp3a4 inducers,strong cyp3a4 inducers,hypersensitivity,headache
abemaciclib,no answer,no answer,no answer,no answer,no answer,no answer
abacavir + lamivudine + zidovudine,combination with other antiretrovirals,phosphorylated,sorbitol-containing medicines,sorbitol,patients,"nausea, headache, malaise and fatigue, and nausea and vomiting"
ciclopirox olamine (nail lacquer),mild to moderate onychomycosis,poorly understood,systemic antifungal agents,topical solution,individuals who have shown hypersensitivity to any of its components,allergic reaction to ciclopirox is rare
ciclopirox olamine (cream),no answer,no answer,no answer,no answer,no answer,no answer
ciclesonide (nasal spray),no answer,no answer,no answer,no answer,no answer,no answer
ciclesonide (inhalation aerosol),asthma,hydrolyzation by endogenous esterases,the risk of clinical adverse effect,nelfinavir,hypersensitivity,rash and eczema.  systemic effects of inhaled corticosteroids
choriogonadotropin alpha,only if enrolled in anin vitrofertilization program,binds to the lh/hcg receptor,significant drug interactions,drug,prior hypersensitivity to hcg preparations,injection
cholera saline,no answer,no answer,no answer,no answer,no answer,no answer
chlorthalidone,edema associated with congestive heart failure,thiazide-type diuretic- antihypertensive,glucose tolerance,glucose tolerance,patients with renal disease or with impaired hepatic function,rise in blood lipids
chlorpromazine hydrochloride,mania and hypomania,slight ganglion-blocking activity,adverse drug reaction,alcohol,"circulatory collapse. 
 cns depression","cardiovascular: postural hypotension, ecg changes."
chlorpheniramine maleate,"urticaria 
 sensitivity reactions",blocking h1-receptor competitively,calcium chloride,meglumine adipiodone,newborn or premature infants,well-tolerated
chloroxylenol + triclosan,"insect bites, sunburn, cuts, scratches, abrasions",chlorinated bisphenol antiseptic,drug interactions,drug,hypersensitivity,reversible brown staining of the teeth
chloroxylenol,antiseptic lubricant for vaginal examinations and on forceps,disinfection,drug interactions,drug,hypersensitivity,reversible brown staining of the teeth
chloroquine phosphate,"treatment of malaria 
 prophylaxis and suppression of malaria",interferes with the nucleoprotein synthesis of the patient,cimetidine,cimetidine,there is no absolute contraindication,headache and gastrointestinal disturbances
chlorhexidine hydrochloride + nystatin,it is used to treat skin infections,poorly absorbed from the gastrointestinal tract,drug interactions,drug,those with a history of possible chlorhexidine-related allergic reactions,allergic skin reactions
chlorhexidine hydrochloride + cetrimide,amp,antimicrobial agent,drug interactions,drug,"eye, ear, mucous membrane or body cavities",skin irritation
chlorhexidine gluconate + isopropyl alcohol,pre-operative surgical hand disinfection,bacteriostatic and bactericidal,soaps and other anionic agents,hypochlorite bleaches,chlorhexidine,irritative skin reactions
chlorhexidine gluconate + cetrimide,no answer,no answer,no answer,no answer,no answer,no answer
chlorhexidine gluconate [7.1%],no answer,no answer,no answer,no answer,no answer,no answer
chlorhexidine gluconate [4%],no answer,no answer,no answer,no answer,no answer,no answer
chlorhexidine gluconate [1%],antiseptic cream,both bacteriostatic and bactericidal,brown stains,fabrics,patients who are hypersensitive to chlorhexidine,allergic reactions
chlorhexidine gluconate [0.2%],"following oral surgery, in mentally or physically handicapped patients",bacteriostatic and bactericidal depending on its concentration,sulfates,"soaps, other anionic agents",hypersensitivity,transient taste disturbance; parotid gland swelling
clascoterone,no answer,no answer,no answer,no answer,no answer,no answer
clarithromycin,"streptococcal pharyngitis 
 sinusitis",inhibiting microsomal protein synthesis in susceptible organisms,serum theophylline concentrations,terfenadine,patients receiving terfenadine,"nausea, vomiting, diarrhoea and abdominal pain"
citric acid monohydrate,dry cough,reduce the dry cough and soothes the throat from any related discomfort and pain,drug-drug interaction,drug-drug,hypersensitivity,no known side effects
citicoline sodium,cerebrovascular disease,inhibits the activation of phospholipase a2,meclophenoxate,meclophenoxate,patients with hypertonic of the parasympathetic nervous system.,discrete hypotensive effect
citalopram hydrobromide,obsessive-compulsive disorder and social phobia,antidepressant,metabolism,omeprazole,patients with a hypersensitivity,gastro-intestinal effects
cisplatin,advanced and metastatic ovarian carcinoma,cells are killed at all stages,myelosuppression,cytotoxic drugs,"myelosuppressed patients, or patients with hearing impairment","kidneys, bone marrows and ears"
ciprofloxacin + hydrocortisone acetate,steroid responsive inflammatory ocular conditions,hydrocortisone is a corticosteroid,increased toxicity,ethanol,newborn babies,steroid
ciprofloxacin + dexamethasone,anti-infective component,interference with the enzyme dna gyrase,specific drug interaction,ophthalmic,newborn babies,adverse reactions
ciprofloxacin (ophthalmic),prophylaxis in otic surgeries such as mastoid surgery,bactericidal action,drug interaction studies,drug,hypersensitivity,hyperemia
ciprofloxacin,"respiratory tract infections,urinary tract infections, pelvic inflammatory diseases",it inhibits bacterial dna synthesis,magnesium or aluminum containing antacids or sucralfate,calcium,patients who have known hypersensitivity,"headache, dizziness, joint pain and skin rashes"
ciprofibrate,hypertriglyceridemia with or without low hdl cholesterol,it also increases levels of hdl cholesterol,oral anticoagulant therapy,oral anticoagulants,"pregnancy and lactation or when pregnancy is suspected 
 concurrent use with another fibrate","headache, dizziness, somnolence, vertigo, nausea, vomiting"
cinnarizine + dimenhydrinate,prophylaxis of motion sickness,calcium antagonists,drugs,alcohol,"patients with angle-closure glaucoma, convulsions","impaired vision, allergic reactions, light sensitivity, and difficulty in urinating"
cinnarizine,labyrinthine arteriosclerosis,"selective calcium antagonist, inhibiting the influx of ca 2+  intracellularly",drug interactions,anticoagulants or hypoglycaemics,hypotensive patients,somnolence and gastrointestinal disturbances are extremely rare
cinchocaine hydrochloride,no answer,no answer,no answer,no answer,no answer,no answer
cinchocaine + hydrocortisone + neomycin + esculin,no answer,no answer,no answer,no answer,no answer,no answer
cinchocaine + hydrocortisone + framycetin + esculin,no answer,no answer,no answer,no answer,no answer,no answer
cinacalcet,secondary hyperparathyroidism in patients with chronic kidney disease on dialysis,calcimimetic agent,serum concentrations of tacrolimus,tacrolimus,patients with hypersensitivity,"nausea, vomiting, anorexia"
cilostazol,intermittent claudication,specifically inhibit cellular phosphodiesterase iii,major metabolites,diltiazem,patients with known or suspected hypersensitivity to any of its components,"headache, diarrhoea, vomiting, leg cramps, rash"
cilnidipine,patients with chronic kidney disease,dihydropyridine calcium-channel blocker,antipsychotics,antipsychotics,patients with known sensitivity to cilnidipine,dizziness; flushing; headache;
ciclopirox olamine (shampoo),no answer,no answer,no answer,no answer,no answer,no answer
clostridium botulinum toxin type a neurotoxin,indicated,blocks the signals between the nerve &amp; its muscle,drug interactions,drug,prior history of severe reaction to other human immunoglobulin preparations,skin rash
clopidogrel bisulphate,"recent mi, recent stroke, or established peripheral arterial disease",irreversible binding,plasma concentrations of repaglinide,"omeprazole or esomeprazole 
 repaglinide",hypersensitivity to the drug substance or any component of the product,"bleeding, diarrhoea, gastrointestinal discomfort"
clopidogrel + aspirin,"recent mi, recent stroke, or established peripheral arterial disease",aspirin,bleeding,"valproic acid, varicella vaccine",hypersensitivity,generally well tolerated
clonidine hydrochloride,"anxiety, cancer pain, generalized anxiety disorder",clonidine stimulates  2 -adrenoceptors,nsaids,nsaids,2nd- or 3rd-degree av block or sick sinus syndrome,"heart failure, hallucinations"
clonazepam,has not been systematically studied in controlled clinical trials,anxiolytic effects,metabolism of other drugs,metabolism of other drugs,patients with clinical or biochemical evidence of significant liver disease,cns depression
clomipramine hydrochloride,"depression, obsessions and phobias","either by increasing the amount of chemical ""messengers"" in the brain",monoamine oxidase inhibitors,medicines for depression called monoamine oxidase inhibitors,acute and recovery stages of myocardial infarction,increase in appetite and weight gain
clomiphene citrate,ovulatory failure in female patients who wish to become pregnant,unknown but is believed to be related to its antiestrogenic properties,drug interaction,drug,patients with liver diseases,all these effects disappear promptly after the treatment is discontinued
clobetasone butyrate,eczema and dermatitis,can cause cutaneous atrophy if grossly misused,potentially hazardous interactions,potentially hazardous interactions,pregnancy,"amenorrhoea, hyperhidrosis, skin thinning"
clobetasol propionate + salicylic acid,this ointment,high potency corticosteroid,topical medicines on the same area of skin,skin,patients displaying salicylate hyersensitivity,"possible sensitivity reactions, drying and irritation"
clobetasol propionate + ofloxacin + ornidazole + terbinafine,this cream,clobetasol,hazardous interactions,hazardous interactions,hypersensitive,"burning, itching, irritation, dry skin"
clobetasol propionate + neomycin sulphate + nystatin,less active steroids,unclear,hazardous interactions,nystatin,"rosacea, acne vulgaris and perioral dermatitis",hypercortisolism
clobetasol propionate (topical preparation),"adults, elderly and children",multiple mechanisms,inhibit the metabolism of corticosteroids,"ritonavir, itraconazole","rosacea, acne vulgaris, perioral dermatitis",burning and stinging sensation
clobetasol propionate (scalp preparation),no answer,no answer,no answer,no answer,no answer,no answer
clobazam,only in conjunction with adequate concomitant treatment,increases the duration of time for which the chloride ionopore is open,lithium,lithium,patients with hypersensitivity to clobazam,drug tolerance
clioquinol + flumetasone pivalate,external ear inflammation and infections,bacteriostatic action,protein-bound iodine,protein,"punctured eardrum, pre-existing tuberculosis of the skin",treatment should be discontinued if severe irritation
clindamycin + tretinoin,acne vulgaris,retinoid tretinoin,irritating,erythromycin,hypersensitive,common side effects
clindamycin + benzoyl peroxide,acne vulgaris.,both active against propionibacterium acnes,increased coagulation tests,increased coagulation tests,"history of regional enteritis, ulcerative colitis","application site pain, application site exfoliation, application site irritation"
clindamycin (vaginal cream),no answer,no answer,no answer,no answer,no answer,no answer
clindamycin (lotion),no answer,no answer,no answer,no answer,no answer,no answer
clindamycin,no answer,no answer,no answer,no answer,no answer,no answer
conjugated estrogen + bazedoxifene,an estrogen agonist/antagonist,binding to and activating estrogen receptors,risk of endometrial hyperplasia,cyp3a4 inhibitors,"pregnancy, women who may become pregnant, and nursing mothers","muscle spasms, nausea, diarrhea, dyspepsia"
conjugated estrogen (tablet),conjugated estrogens with or without progestins,binding to nuclear receptors in estrogen-responsive tissues,anticonvulsants,anti-infectives,hypersensitivity,blood clots in the blood vessels.
conjugated estrogen (cream),moderate-to-severe vasomotor symptoms associated with estrogen deficiency,estrogen replacement therapy,rifampin,hepatic,hypersensitivity,"vaginal burning, irritation and itching"
colistimethate sodium,not indicated for infections due to proteus or neisseria,it interacts with the bacterial cytoplasmic membrane,sodium cephalothin,sodium cephalothin,patients with a history of sensitivity to the drug or any of its components,"gastrointestinal upset, tingling of extremities and tongue"
colecalciferol [vitamin d3],patients with vitamin d3 deficiency,reabsorption of calcium &amp; phosphorous,antifungal agents,liquid paraffin,patients with known hypersensitivity,"hypercalcaemia, hypercalciuria"
colchicine,in adults and children 4 years or older,inhibits the phagocytosis of uric acid by leukocytes,inhibitors,p-gp and/or cyp3a4 inhibitors,patients with renal or hepatic impairment,diarrhea and pharyngolaryngeal pain
cod liver oil,pregnant women,omega-3 fatty acids,anti-convulsants,barbiturates or anti-convulsants,"hypervitaminosis of vitamin a, d or e",these may disappear on discontinuation of supplementation
coal tar solution,no answer,no answer,no answer,no answer,no answer,no answer
coal tar + precipitated sulphur + salicylic acid,no answer,no answer,no answer,no answer,no answer,no answer
coal tar,no answer,no answer,no answer,no answer,no answer,no answer
coagulation factor viia [eptacog alfa],bleeding episodes in patients with haemophilia,extrinsic pathway of the coagulation cascade,increased risk of thromboembolism,non-activated prothrombin complex concentrate,hypersensitivity,anaphylaxis
clozapine,schizophrenia,antagonist,adrenaline,adrenaline,drug intoxication; coma or severe cns depression,"increased watering of mouth, nausea or vomiting"
cloxacillin sodium,no answer,no answer,no answer,no answer,no answer,no answer
clove oil,no answer,no answer,no answer,no answer,no answer,no answer
clotrimazole + hydrocortisone,no answer,no answer,no answer,no answer,no answer,no answer
clotrimazole (vaginal tablet),"in vaginal itching, burning and discharge",membrane damage unrelated to sterol synthesis,no information is available,no information is available,patients with known hypersensitivity to any of the components of this product,no systemic effect is expected
clotrimazole (vaginal suppository),no answer,no answer,no answer,no answer,no answer,no answer
clotrimazole (topical),yeasts (candida species).,antimycotic activities,no information is available,no information is available,hypersensitivity,well tolerated
clotrimazole (eye ointment),no answer,no answer,no answer,no answer,no answer,no answer
clotrimazole (ear drop),fungal infections,stopping the production of ergosterol,heat reaction,sofradex drops,individuals who have hypersensitivity,"erythema, stinging, edema, pruritus and general irritation"
dacomitinib,no answer,no answer,no answer,no answer,no answer,no answer
daclatasvir + sofosbuvir,no answer,no answer,no answer,no answer,no answer,no answer
daclatasvir,adults,inhibitor of ns5a,adverse reaction,breast cancer resistance protein,in combination with drugs that strongly induce cyp3a,fainting or near-fainting
dacarbazine,in combination with other effective agents,unclear,increased metabolism,enzyme inducers,patients who have demonstrated a hypersensitivity to it in the past,"rarely, dacarbazine for injection has caused diarrhea"
dabigatran etexilate mesylate,patients who have been previously treated,prolongs the coagulation markers,deep venous thrombosis and pulmonary embolism,p-gp inducers,active pathological bleeding,increased risk of thrombotic events
d-chiro-inositol,polycystic ovary syndrome,improves glucose tolerance and reduces circulating insulin,toxicity,digoxin,hypersensitivity,well tolerated
cytarabine,leukaemic meningitis,antiviral and immunosuppressant activity,neurotoxicity,intrathecal,patient with active meningeal infection,"thrombocytopenia, fatigue"
cyproterone acetate + ethinyl estradiol,oral antibiotic,increases levels of sex hormone binding globulin (shbg),pregnancy,vitamin c,previous or existing liver tumors,"bleeding, dizziness, depression, weight gain, headache"
cyclosporine (ophthalmic),no answer,no answer,no answer,no answer,no answer,no answer
cyclosporine,transplantation,not known,drugs that decrease cyclosporine levels,oral,hypersensitivity,allergic rashes
cyclophosphamide,concurrently or sequentially with otherantineoplasticdrugs,any stage of the cell cycle,depolarising muscle relaxants,depolarising muscle relaxants,pregnancy,"alopecia, skin and nails hyperpigmentation, nausea and vomiting"
