generic_name,cases,rating,useful_count
lactase,lactose intolerance,1,0
mirtazapine,insomnia,10,70
dexlansoprazole,barrett's esophagus,10,21
bisacodyl,constipation,1,52
carbamazepine,epilepsy,3,29
methotrexate,psoriasis,10,39
levonorgestrel,birth control,10,4
ciprofloxacin,urinary tract infection,1,6
aripiprazole,depression,9,71
lamotrigine,bipolar disorde,10,19
pregabalin,ibromyalgia,1,36
pregabalin,ibromyalgia,8,12
omalizumab,urticaria,10,8
tioconazole,vaginal yeast infection,8,5
clarithromycin,bronchitis,1,10
levonorgestrel,birth control,9,3
ciprofloxacin,bladder infection,1,41
rivaroxaban,deep vein thrombosis,7,0
levonorgestrel,birth control,10,40
apremilast,plaque psoriasis,10,35
tranexamic acid,menstrual disorders,9,133
nortriptyline,migraine prevention,6,36
levonorgestrel,emergency contraception,1,2
topiramate,migraine prevention,8,25
eluxadoline,irritable bowel syndrome,1,23
bisacodyl,constipation,8,14
spironolactone,alopecia,7,19
propofol,anesthesia,9,9
mycophenolate mofetil,multiple sclerosis,9,0
riboflavin,migraine prevention,9,22
cyclophosphamide,multiple sclerosis,3,1
pimecrolimus,eczema,7,21
nitrofurantoin,urinary tract infection,9,7
carisoprodol,muscle spasm,10,120
rivaroxaban,atrial fibrillation,10,50
orlistat,obesity,10,142
simvastatin,high cholesterol,5,29
eszopiclone,insomnia,1,4
metronidazole,bacterial vaginitis,9,7
eszopiclone,insomnia,1,9
sumatriptan,migraine,9,7
diazepam,muscle spasm,10,37
suvorexant,insomnia,1,17
carisoprodol,muscle spasm,10,14
mirtazapine,depression,6,22
almotriptan,migraine,2,3
levonorgestrel,birth control,9,4
ondansetron,gastroenteritis,5,36
lifitegrast,dry eye disease,1,0
metronidazole,bacterial infection,8,12
clindamycin,bacterial infection,9,32
melatonin,insomnia,2,16
sumatriptan,migraine,1,3
aripiprazole,bipolar disorde,7,110
carisoprodol,muscle spasm,10,31
baclofen,muscle spasm,10,29
alprazolam,anxiety,10,11
terconazole,vaginal yeast infection,2,2
teriparatide,osteoporosis,10,174
nortriptyline,migraine prevention,9,24
levonorgestrel,birth control,10,2
nitrofurantoin,prevention of bladder infection,10,21
lifitegrast,dry eye disease,2,11
pramipexole,restless legs syndrome,7,69
gabapentin,spondylolisthesis,9,11
barium sulfate,computed tomography,7,0
estradiol,hypoestrogenism,10,4
propofol,anesthesia,10,3
levonorgestrel,birth control,8,1
fluconazole,vaginal yeast infection,10,12
liraglutide,"diabetes, type 2",10,34
clonazepam,panic disorde,2,5
levetiracetam,nan,5,13
diazepam,anxiety,10,63
simvastatin,high cholesterol,1,33
sucralfate,duodenal ulce,10,103
levonorgestrel,birth control,10,0
sumatriptan,cluster headaches,10,12
levonorgestrel,birth control,8,37
gabapentin,ibromyalgia,3,38
lamotrigine,migraine prevention,7,12
lorazepam,anxiety,9,16
omeprazole,indigestion,10,21
nortriptyline,depression,8,40
lamotrigine,bipolar disorde,8,24
lisinopril,high blood pressure,5,125
isoniazid,"tuberculosis, prophylaxis",7,40
leflunomide,rheumatoid arthritis,8,42
tioconazole,vaginal yeast infection,8,2
mirtazapine,depression,10,114
baclofen,cervical dystonia,8,12
tioconazole,vaginal yeast infection,1,1
valacyclovir,"herpes simplex, suppression",10,1
levonorgestrel,birth control,5,3
metronidazole,bacterial vaginitis,4,9
nortriptyline,neurosis,2,4
nortriptyline,panic disorde,10,37
pregabalin,restless legs syndrome,8,3
alprazolam,panic disorde,10,42
orlistat,obesity,10,11
diazepam,anxiety,10,145
bisacodyl,constipation,6,3
alprazolam,anxiety,10,45
tadalafil,erectile dysfunction,8,60
levonorgestrel,birth control,1,5
levonorgestrel,emergency contraception,10,22
dulaglutide,"diabetes, type 2",1,0
pregabalin,generalized anxiety disorde,9,53
gabapentin,anxiety,9,93
magnesium hydroxide,constipation,9,66
dexlansoprazole,barrett's esophagus,10,144
desvenlafaxine,anxiety,2,2
desvenlafaxine,anxiety,8,14
dexlansoprazole,gerd,7,55
estradiol,atrophic vaginitis,10,290
gabapentin,neuropathic pain,10,22
tadalafil,erectile dysfunction,8,12
clarithromycin,pharyngitis,8,15
orlistat,obesity,8,20
liraglutide,obesity,5,10
armodafinil,narcolepsy,7,20
spironolactone,acne,9,11
alprazolam,panic disorde,10,27
metronidazole,bacterial vaginitis,10,16
levonorgestrel,emergency contraception,10,9
topiramate,migraine prevention,10,42
desvenlafaxine,anxiety,9,35
mirtazapine,anxiety,9,124
levonorgestrel,birth control,2,4
etodolac,pain,9,59
fluconazole,vaginal yeast infection,10,8
pregabalin,ibromyalgia,3,1
methylprednisolone,inflammatory conditions,9,47
desvenlafaxine,depression,2,69
armodafinil,hypersomnia,10,17
melatonin,insomnia,7,25
levonorgestrel,birth control,8,4
pramipexole,restless legs syndrome,7,24
adalimumab,psoriatic arthritis,10,16
metronidazole,dental abscess,10,46
lamotrigine,bipolar disorde,2,19
levonorgestrel,birth control,5,8
diazepam,anxiety,10,71
sulfasalazine,rheumatoid arthritis,9,110
levonorgestrel,birth control,5,1
aripiprazole,depression,7,34
nortriptyline,neuralgia,5,28
bismuth subsalicylate,"diarrhea, chronic",2,5
gabapentin,migraine,10,24
letrozole,"breast cancer, metastatic",10,136
lamotrigine,bipolar disorde,10,54
levonorgestrel,emergency contraception,8,6
naltrexone,opiate dependence,10,43
glimepiride,"diabetes, type 2",10,40
bisacodyl,constipation,1,8
levonorgestrel,emergency contraception,10,18
nortriptyline,irritable bowel syndrome,5,5
levonorgestrel,emergency contraception,8,10
tioconazole,vaginal yeast infection,5,3
retapamulin,impetig,10,8
lorazepam,anxiety,10,54
levonorgestrel,birth control,10,7
levonorgestrel,abnormal uterine bleeding,8,8
denosumab,osteoporosis,2,139
lorazepam,anxiety,10,55
pregabalin,nan,5,5
diazepam,night terrors,10,4
fluconazole,vaginal yeast infection,9,21
levonorgestrel,birth control,9,3
propofol,nan,10,5
desoximetasone,psoriasis,10,36
tioconazole,vaginal yeast infection,7,3
ciprofloxacin,bladder infection,1,7
baclofen,muscle spasm,7,22
mirtazapine,insomnia,10,145
oseltamivir,influenza,8,13
valacyclovir,herpes zoste,10,24
alprazolam,panic disorde,10,77
tioconazole,vaginal yeast infection,1,7
infliximab,ulcerative colitis,1,8
terconazole,vaginal yeast infection,1,2
propofol,anesthesia,6,11
ropinirole,restless legs syndrome,7,6
magnesium oxide,constipation,10,38
bisacodyl,constipation,1,7
alprazolam,panic disorde,10,3
levonorgestrel,emergency contraception,10,4
metronidazole,bacterial infection,4,6
levonorgestrel,birth control,10,1247
spironolactone,acne,9,47
clonazepam,anxiety,10,19
topiramate,obesity,10,72
pramipexole,parkinson's disease,8,73
levonorgestrel,birth control,7,3
levonorgestrel,birth control,10,8
glimepiride,"diabetes, type 2",8,48
bisacodyl,constipation,10,10
oseltamivir,influenza,10,12
diazepam,muscle spasm,9,82
lansoprazole,gerd,6,6
lubiprostone,"constipation, chronic",8,24
temazepam,insomnia,2,15
levonorgestrel,birth control,7,0
estradiol,atrophic vaginitis,3,4
tioconazole,vaginal yeast infection,10,4
levonorgestrel,birth control,9,2
lamotrigine,post traumatic stress disorde,10,27
aspirin,rheumatoid arthritis,10,12
bisacodyl,constipation,10,0
dulaglutide,"diabetes, type 2",2,13
nortriptyline,smoking cessation,9,9
aripiprazole,major depressive disorde,9,19
dexamethasone,addison's disease,9,9
ciprofloxacin,urinary tract infection,10,82
bisacodyl,constipation,9,2
gabapentin,pain,10,40
metronidazole,trichomoniasis,10,7
gabapentin,anxiety,10,66
benzoyl peroxide,acne,10,4
ezetimibe,high cholesterol,10,11
topiramate,obesity,10,81
dulaglutide,"diabetes, type 2",1,17
meloxicam,osteoarthritis,1,3
levonorgestrel,birth control,9,5
sumatriptan,cluster headaches,9,5
atenolol,high blood pressure,9,42
orlistat,obesity,1,56
nitrofurantoin,urinary tract infection,1,5
nitrofurantoin,bladder infection,6,29
adalimumab,crohn's disease,10,3
armodafinil,narcolepsy,9,9
lorazepam,sedation,5,48
fluorouracil,keratosis,1,62
levonorgestrel,emergency contraception,10,10
imiquimod,human papilloma virus,9,4
hydrochlorothiazide,high blood pressure,8,41
methocarbamol,muscle spasm,10,77
lamotrigine,bipolar disorde,10,48
liraglutide,obesity,10,53
metronidazole,dental abscess,10,17
topiramate,migraine prevention,6,29
carbamazepine,peripheral neuropathy,9,10
golimumab,ankylosing spondylitis,9,5
lansoprazole,gerd,9,38
estradiol,atrophic vaginitis,9,108
lamotrigine,bipolar disorde,9,20
lubiprostone,"constipation, chronic",6,27
eszopiclone,insomnia,6,15
valsartan,high blood pressure,5,10
glycerin,constipation,10,14
infliximab,psoriatic arthritis,10,22
gabapentin,anxiety,10,31
alprazolam,panic disorde,10,5
alprazolam,panic disorde,9,1
diazepam,anxiety,10,30
magnesium hydroxide,constipation,10,70
aripiprazole,depression,2,20
liraglutide,weight loss,5,4
nivolumab,non-small cell lung cance,7,15
carisoprodol,muscle spasm,9,22
gabapentin,bipolar disorde,10,51
prednisolone,inflammatory conditions,5,30
ciprofloxacin,urinary tract infection,2,3
ondansetron,nausea/vomiting,10,24
levonorgestrel,birth control,9,1
omalizumab,urticaria,8,18
metronidazole,bacterial infection,5,5
imiquimod,human papilloma virus,3,4
roflumilast,"copd, maintenance",3,43
armodafinil,chronic fatigue syndrome,5,36
ropinirole,restless legs syndrome,9,27
estradiol,postmenopausal symptoms,2,29
levonorgestrel,abnormal uterine bleeding,1,27
tadalafil,erectile dysfunction,10,28
levonorgestrel,birth control,10,0
zolmitriptan,migraine,10,1
apremilast,plaque psoriasis,1,21
liraglutide,obesity,10,14
oxcarbazepine,bipolar disorde,8,48
orlistat,obesity,8,14
empagliflozin,"diabetes, type 2",9,21
cefdinir,bronchitis,7,7
clarithromycin,strep throat,5,9
ondansetron,nausea/vomiting,4,5
gabapentin,anxiety,3,28
hylan g-f 20,osteoarthritis,10,56
glipizide,"diabetes, type 2",10,161
levonorgestrel,emergency contraception,10,6
dexlansoprazole,gerd,1,58
gabapentin,bipolar disorde,10,112
lorazepam,anxiety,9,43
nitrofurantoin,urinary tract infection,8,19
adalimumab,psoriasis,10,26
valacyclovir,cold sores,10,27
alprazolam,anxiety,9,11
clindamycin,bacterial infection,10,12
clindamycin,acne,10,32
levonorgestrel,birth control,9,0
clonazepam,not listed / othe,7,3
oxcarbazepine,bipolar disorde,10,42
imiquimod,basal cell carcinoma,9,15
metronidazole,bacterial infection,5,29
levonorgestrel,birth control,6,2
lorazepam,insomnia,10,18
tadalafil,erectile dysfunction,10,42
valsartan,high blood pressure,7,24
orlistat,obesity,10,70
tioconazole,vaginal yeast infection,6,6
alprazolam,anxiety,10,84
levonorgestrel,emergency contraception,10,18
levonorgestrel,emergency contraception,10,2
clarithromycin,sinusitis,10,5
lamotrigine,depression,9,18
zolmitriptan,migraine,7,21
ziprasidone,bipolar disorde,1,19
tioconazole,vaginal yeast infection,10,9
lorazepam,anxiety,8,30
nitrofurantoin,urinary tract infection,1,9
lorazepam,status epilepticus,10,5
carvedilol,high blood pressure,1,49
naltrexone,opiate dependence,10,53
lorazepam,anxiety,6,7
topiramate,obesity,10,46
pregabalin,pain,8,57
topiramate,migraine prevention,8,2
furosemide,edema,10,29
oxcarbazepine,bipolar disorde,9,127
alprazolam,anxiety,10,60
carisoprodol,muscle spasm,10,143
bisacodyl,constipation,3,9
gabapentin,restless legs syndrome,7,26
gabapentin,postherpetic neuralgia,10,13
tioconazole,vaginal yeast infection,9,7
lamotrigine,bipolar disorde,9,4
fluconazole,vaginal yeast infection,7,15
colchicine,"gout, acute",7,23
bisacodyl,bowel preparation,5,2
clonazepam,anxiety,8,61
zonisamide,seizures,10,25
levonorgestrel,emergency contraception,10,0
infliximab,ankylosing spondylitis,8,38
mirtazapine,major depressive disorde,10,33
cetuximab,colorectal cance,6,2
metronidazole,bacterial infection,9,5
meloxicam,osteoarthritis,10,20
gabapentin,ibromyalgia,10,65
cefprozil,tonsillitis/pharyngitis,2,2
sulfasalazine,ulcerative colitis,9,47
olanzapine,bipolar disorde,4,2
mupirocin,impetig,10,4
nifedipine,high blood pressure,2,0
mirtazapine,depression,8,111
suvorexant,insomnia,1,12
eszopiclone,insomnia,1,23
liraglutide,"diabetes, type 2",10,28
levonorgestrel,birth control,8,2
tioconazole,vaginal yeast infection,1,1
propofol,anesthesia,9,7
clonazepam,panic disorde,10,10
teriparatide,osteoporosis,1,84
sofosbuvir,hepatitis c,8,6
ciprofloxacin,kidney infections,7,15
orlistat,obesity,10,145
topiramate,migraine prevention,10,20
dulaglutide,"diabetes, type 2",8,22
bisacodyl,constipation,10,4
ondansetron,"nausea/vomiting, chemotherapy induced",10,64
febuxostat,gout,7,42
metronidazole,bacterial infection,7,7
levonorgestrel,birth control,10,1
tioconazole,vaginal yeast infection,5,3
topiramate,migraine prevention,8,66
gabapentin,restless legs syndrome,8,101
topiramate,migraine prevention,5,1
levonorgestrel,birth control,5,1
ziprasidone,schizoaffective disorde,10,18
pregabalin,ibromyalgia,5,23
eszopiclone,insomnia,1,7
desoximetasone,eczema,9,9
baclofen,muscle spasm,10,76
levonorgestrel,birth control,5,15
clonazepam,panic disorde,9,3
tinidazole,bacterial vaginitis,9,16
lisinopril,high blood pressure,4,32
dapsone,acne,1,5
ranolazine,angina,10,21
apremilast,plaque psoriasis,4,9
liraglutide,weight loss,5,24
adalimumab,"crohn's disease, maintenance",9,14
valacyclovir,cold sores,9,1
infliximab,"crohn's disease, acute",4,8
oxcarbazepine,bipolar disorde,8,28
nitrofurantoin,urinary tract infection,10,14
cefdinir,sinusitis,4,11
levonorgestrel,birth control,10,1
suvorexant,insomnia,1,20
levonorgestrel,emergency contraception,10,38
letrozole,breast cance,6,41
topiramate,migraine prevention,8,32
clarithromycin,bronchitis,3,56
diazepam,anxiety,8,9
lacosamide,seizures,6,57
imiquimod,basal cell carcinoma,10,98
lisinopril,high blood pressure,2,55
mirtazapine,anxiety,4,23
methylprednisolone,inflammatory conditions,9,110
ziprasidone,bipolar disorde,1,10
topiramate,diabetic peripheral neuropathy,7,17
liraglutide,obesity,8,19
rivaroxaban,deep vein thrombosis,9,75
etodolac,pain,10,14
nitrofurantoin,urinary tract infection,1,28
etodolac,pain,10,21
liraglutide,obesity,10,8
tioconazole,vaginal yeast infection,6,3
nitrofurantoin,urinary tract infection,2,20
levonorgestrel,birth control,9,4
levonorgestrel,emergency contraception,10,8
levonorgestrel,emergency contraception,10,8
pregabalin,diabetic peripheral neuropathy,8,58
liraglutide,obesity,1,17
levonorgestrel,emergency contraception,8,21
tafluprost,glaucoma/intraocular hypertension,9,10
desvenlafaxine,depression,9,40
echinacea,cold symptoms,9,6
mirtazapine,depression,7,6
mefenamic acid,period pain,10,40
roflumilast,copd,10,66
lamotrigine,bipolar disorde,8,15
topiramate,migraine prevention,1,18
levonorgestrel,birth control,10,3
mercaptopurine,"crohn's disease, maintenance",1,9
topiramate,migraine prevention,8,13
clarithromycin,strep throat,1,0
nitrofurantoin,urinary tract infection,6,11
alprazolam,anxiety,10,21
tranexamic acid,menorrhagia,9,36
baclofen,muscle spasm,8,86
clonazepam,periodic limb movement disorde,7,38
mirtazapine,anxiety,3,13
eluxadoline,irritable bowel syndrome,6,0
tioconazole,vaginal yeast infection,1,6
gabapentin,ibromyalgia,9,68
lamotrigine,bipolar disorde,10,11
barium sulfate,computed tomography,1,33
pregabalin,neuropathic pain,5,38
mirtazapine,depression,1,10
carbamazepine,trigeminal neuralgia,4,18
silver sulfadiazine,"burns, external",10,27
ciprofloxacin,prostatitis,1,20
flurazepam,insomnia,10,15
nortriptyline,not listed / othe,1,2
dexamethasone,addison's disease,10,11
mirtazapine,insomnia,9,98
ciprofloxacin,bacterial infection,9,56
olanzapine,agitation,10,8
lubiprostone,"constipation, chronic",9,56
estradiol,postmenopausal symptoms,10,42
meloxicam,osteoarthritis,8,79
roflumilast,"copd, maintenance",6,15
ondansetron,"nausea/vomiting, postoperative",9,8
tioconazole,vaginal yeast infection,1,1
lisinopril,high blood pressure,9,14
ibuprofen,toothache,10,0
aspirin,back pain,10,19
lubiprostone,"constipation, chronic",10,32
bisacodyl,constipation,10,7
crisaborole,atopic dermatitis,9,24
nortriptyline,migraine prevention,10,54
methylprednisolone,"gout, acute",10,6
gabapentin,restless legs syndrome,7,32
bismuth subsalicylate,indigestion,10,0
oxaprozin,rheumatoid arthritis,7,5
vardenafil,erectile dysfunction,9,65
clonazepam,anxiety,7,38
pramipexole,periodic limb movement disorde,9,15
armodafinil,narcolepsy,1,4
dexlansoprazole,gerd,10,56
desvenlafaxine,depression,7,142
diazepam,anxiety,10,33
ondansetron,nausea/vomiting,10,10
infliximab,ulcerative colitis,10,31
avanafil,erectile dysfunction,3,11
lifitegrast,dry eye disease,5,5
sumatriptan,migraine,7,6
alprazolam,panic disorde,9,58
rifaximin,irritable bowel syndrome,9,170
temazepam,insomnia,7,32
azelaic acid,rosacea,9,0
metronidazole,bacterial vaginitis,2,4
midazolam,light anesthesia,10,18
spironolactone,acne,3,4
melatonin,insomnia,9,80
lorazepam,anxiety,10,37
rivaroxaban,atrial fibrillation,1,23
orlistat,obesity,10,26
alprazolam,anxiety,10,132
ondansetron,nausea/vomiting,10,8
levonorgestrel,emergency contraception,10,21
oxaliplatin,colorectal cance,7,6
rivaroxaban,pulmonary embolism,1,24
haloperidol,not listed / othe,10,6
lamotrigine,seizure prevention,10,14
allopurinol,gout,1,51
telmisartan,nan,4,37
ondansetron,nausea/vomiting,10,11
ibrutinib,chronic lymphocytic leukemia,10,1
clonazepam,anxiety,9,66
acetazolamide,pseudotumor cerebri,2,0
metronidazole,bacterial vaginitis,6,22
rituximab,non-hodgkin's lymphoma,10,0
lacosamide,seizures,10,23
sitagliptin,"diabetes, type 2",2,54
apremilast,plaque psoriasis,5,14
nitrofurantoin,bladder infection,3,26
gabapentin,anxiety,10,34
nortriptyline,migraine prevention,8,29
oxcarbazepine,bipolar disorde,10,47
liraglutide,"diabetes, type 2",4,3
lamotrigine,bipolar disorde,9,35
levonorgestrel,emergency contraception,10,69
estradiol,postmenopausal symptoms,10,2
topiramate,migraine prevention,7,7
fluconazole,candidemia,10,32
levonorgestrel,birth control,6,4
valacyclovir,"herpes simplex, suppression",10,24
terconazole,vaginal yeast infection,10,0
bisacodyl,constipation,9,2
cyclosporine,nan,3,15
levonorgestrel,birth control,9,4
tadalafil,erectile dysfunction,1,11
pregabalin,pain,10,62
apixaban,prevention of thromboembolism in atrial fibrillation,9,54
levonorgestrel,emergency contraception,10,3
levonorgestrel,birth control,9,5
nortriptyline,pain,3,30
gabapentin,anxiety,10,96
denosumab,osteoporosis,2,424
nitrofurantoin,urinary tract infection,10,46
ciprofloxacin,kidney infections,10,46
baclofen,muscle spasm,1,21
desvenlafaxine,depression,9,33
adapalene,acne,10,44
topiramate,migraine prevention,6,16
levonorgestrel,emergency contraception,10,5
clonazepam,benzodiazepine withdrawal,1,20
alprazolam,anxiety,8,7
desvenlafaxine,depression,3,24
oxcarbazepine,bipolar disorde,9,57
propofol,anesthesia,10,6
apremilast,plaque psoriasis,9,26
aripiprazole,bipolar disorde,1,37
tioconazole,vaginal yeast infection,1,5
metronidazole,bacterial vaginitis,5,0
tegaserod,irritable bowel syndrome,8,1
levetiracetam,seizures,7,12
ciprofloxacin,bladder infection,1,10
colchicine,"gout, acute",10,1
propofol,anesthesia,10,22
levonorgestrel,birth control,10,1
ambrisentan,pulmonary hypertension,10,11
clonazepam,bipolar disorde,2,5
clonazepam,panic disorde,8,23
alprazolam,anxiety,9,2
azelaic acid,rosacea,10,0
temazepam,insomnia,2,11
retapamulin,impetig,9,7
valsartan,high blood pressure,7,35
nitrofurantoin,bladder infection,5,9
alprazolam,anxiety,9,19
alprazolam,depression,9,56
desvenlafaxine,depression,8,312
clonazepam,anxiety,8,3
rifaximin,diarrhea,10,18
ondansetron,nausea/vomiting,7,9
desvenlafaxine,depression,4,23
aripiprazole,depression,1,26
gabapentin,diabetic peripheral neuropathy,9,43
clonazepam,anxiety,10,35
carbamazepine,trigeminal neuralgia,4,19
liraglutide,obesity,10,35
diazepam,anxiety,10,128
nortriptyline,migraine prevention,8,29
mirtazapine,insomnia,9,78
bisacodyl,constipation,8,3
adalimumab,rheumatoid arthritis,10,92
dexamethasone,allergic rhinitis,10,15
levonorgestrel,birth control,5,1
levonorgestrel,emergency contraception,10,11
bisacodyl,constipation,5,11
avanafil,erectile dysfunction,1,14
levonorgestrel,emergency contraception,10,14
pregabalin,ibromyalgia,1,56
levonorgestrel,birth control,9,6
crisaborole,atopic dermatitis,9,21
levonorgestrel,abnormal uterine bleeding,1,11
tadalafil,erectile dysfunction,10,159
metronidazole,clostridial infection,3,10
aripiprazole,bipolar disorde,9,81
fenofibrate,hypertriglyceridemia,5,4
meloxicam,osteoarthritis,7,9
olanzapine,bipolar disorde,2,15
topiramate,obesity,10,107
letrozole,breast cance,9,52
methylprednisolone,inflammatory conditions,10,29
fluconazole,vaginal yeast infection,1,21
topiramate,seizure prevention,1,7
tioconazole,vaginal yeast infection,1,6
temazepam,insomnia,10,17
tadalafil,erectile dysfunction,9,163
sumatriptan,migraine,10,28
levonorgestrel,abnormal uterine bleeding,9,12
cephalexin,bacterial infection,10,62
levonorgestrel,emergency contraception,10,21
dexlansoprazole,gerd,1,18
melatonin,insomnia,1,10
clarithromycin,upper respiratory tract infection,1,0
methylprednisolone,"gout, acute",10,4
rosuvastatin,high cholesterol,10,43
tegaserod,"constipation, chronic",10,11
lorazepam,status epilepticus,10,50
aripiprazole,schizoaffective disorde,9,21
gabapentin,migraine,5,38
etodolac,osteoarthritis,10,0
levonorgestrel,birth control,2,1
paliperidone,bipolar disorde,9,4
gabapentin,postherpetic neuralgia,10,8
levonorgestrel,emergency contraception,1,2
sulfasalazine,rheumatoid arthritis,4,100
levonorgestrel,birth control,10,6
ribavirin,hepatitis c,10,12
clonazepam,insomnia,8,22
carisoprodol,muscle spasm,10,45
nivolumab,non-small cell lung cance,1,16
diazepam,muscle spasm,9,54
magnesium oxide,not listed / othe,10,19
clarithromycin,bronchitis,10,7
bisacodyl,constipation,8,40
meloxicam,inflammatory conditions,9,20
desvenlafaxine,depression,6,10
dexlansoprazole,gerd,5,0
omeprazole,gerd,9,31
tinidazole,bacterial vaginitis,3,4
levonorgestrel,birth control,7,1
pregabalin,neuropathic pain,9,28
metronidazole,bacterial vaginitis,10,9
adapalene,acne,9,32
nitrofurantoin,urinary tract infection,8,21
estradiol,oophorectomy,5,15
aripiprazole,obsessive compulsive disorde,9,17
metronidazole,bacterial infection,1,4
nitrofurantoin,urinary tract infection,1,1
liraglutide,weight loss,10,18
imiquimod,human papilloma virus,5,9
ranolazine,angina,10,37
gabapentin,anxiety,9,86
aripiprazole,depression,1,25
sulfasalazine,rheumatoid arthritis,5,100
levonorgestrel,birth control,10,12
dulaglutide,"diabetes, type 2",9,20
liraglutide,weight loss,10,56
estradiol,nan,8,64
levonorgestrel,birth control,9,2
adapalene,acne,9,5
rivaroxaban,"deep vein thrombosis, recurrent event",8,15
levonorgestrel,emergency contraception,10,22
adalimumab,plaque psoriasis,9,6
valsartan,high blood pressure,1,75
liraglutide,weight loss,8,16
nitrofurantoin,urinary tract infection,7,32
tinidazole,bacterial vaginitis,1,8
levonorgestrel,birth control,6,7
oxazepam,anxiety,10,84
ondansetron,gastroenteritis,10,0
nitrofurantoin,urinary tract infection,1,3
eszopiclone,insomnia,4,33
spironolactone,acne,10,12
zaleplon,insomnia,3,13
naltrexone,alcohol dependence,10,50
repaglinide,"diabetes, type 2",10,25
liraglutide,obesity,6,21
meloxicam,osteoarthritis,10,91
hylan g-f 20,osteoarthritis,1,14
temazepam,insomnia,1,15
mirtazapine,insomnia,10,72
liraglutide,obesity,10,20
mirtazapine,depression,2,15
levonorgestrel,abnormal uterine bleeding,1,3
olanzapine,schizophrenia,9,36
clonazepam,panic disorde,9,15
mirtazapine,depression,5,25
armodafinil,shift work sleep disorde,8,48
lorazepam,insomnia,8,130
metronidazole,bacterial vaginitis,8,22
liraglutide,weight loss,8,12
glipizide,"diabetes, type 2",8,91
eluxadoline,irritable bowel syndrome,9,19
lisinopril,high blood pressure,5,22
ondansetron,nausea/vomiting,8,26
levonorgestrel,emergency contraception,1,3
ciprofloxacin,prostatitis,1,5
cephalexin,skin or soft tissue infection,8,8
imiquimod,human papilloma virus,7,2
bisacodyl,constipation,10,6
gabapentin,pain,2,34
minoxidil,alopecia,8,43
diazepam,anxiety,10,79
pregabalin,pain,1,109
aripiprazole,bipolar disorde,1,11
diazepam,anxiety,8,107
spironolactone,acne,9,7
dulaglutide,"diabetes, type 2",9,37
nitrofurantoin,bladder infection,1,15
tioconazole,vaginal yeast infection,7,4
baclofen,muscle spasm,9,55
benzoyl peroxide,acne,9,13
metronidazole,bacterial vaginitis,8,6
topiramate,migraine prevention,8,51
azathioprine,systemic lupus erythematosus,2,32
nitrofurantoin,bladder infection,2,5
alprazolam,anxiety,9,9
valsartan,high blood pressure,3,122
topiramate,migraine prevention,3,4
nitrofurantoin,urinary tract infection,1,10
tioconazole,vaginal yeast infection,1,11
desvenlafaxine,anxiety,9,16
temazepam,insomnia,10,91
armodafinil,narcolepsy,7,15
estradiol,postmenopausal symptoms,9,10
ezetimibe,"high cholesterol, familial heterozygous",9,22
letrozole,breast cance,1,43
levonorgestrel,abnormal uterine bleeding,9,4
metronidazole,bacterial vaginitis,10,7
aspirin,pain,10,5
levonorgestrel,birth control,9,16
lisinopril,high blood pressure,4,34
atenolol,alcohol withdrawal,7,13
lubiprostone,"constipation, chronic",9,40
clonazepam,insomnia,9,76
linezolid,skin and structure infection,5,8
clarithromycin,helicobacter pylori infection,4,0
dapsone,acne,10,2
metronidazole,bacterial vaginitis,9,3
fluorouracil,basal cell carcinoma,8,29
clindamycin,bacterial infection,5,41
propofol,anesthesia,10,4
gabapentin,ibromyalgia,8,81
colchicine,"pseudogout, prophylaxis",10,7
lubiprostone,"constipation, chronic",10,45
metronidazole,bacterial vaginitis,7,19
levonorgestrel,emergency contraception,1,2
nitrofurantoin,urinary tract infection,1,2
levonorgestrel,birth control,4,1
propofol,anesthesia,10,26
olanzapine,paranoid disorde,8,38
lamotrigine,bipolar disorde,9,52
mirtazapine,insomnia,8,12
zaleplon,insomnia,4,67
omeprazole,gerd,10,32
lorazepam,anxiety,10,25
aripiprazole,autism,5,76
nitrofurantoin,urinary tract infection,1,4
levonorgestrel,birth control,9,2
gabapentin,bipolar disorde,1,22
alprazolam,anxiety,10,19
magnesium hydroxide,constipation,10,29
clarithromycin,strep throat,1,4
valacyclovir,cmv prophylaxis,7,2
metronidazole,dental abscess,1,15
alprazolam,panic disorde,10,9
levonorgestrel,birth control,10,8
nitrofurantoin,urinary tract infection,6,10
bisacodyl,constipation,3,7
sumatriptan,migraine,7,0
tadalafil,erectile dysfunction,10,29
gabapentin,pain,4,16
metronidazole,bone infection,1,2
cephalexin,skin or soft tissue infection,6,12
olanzapine,bipolar disorde,3,1
diazepam,muscle spasm,7,22
desoximetasone,psoriasis,10,12
ospemifene,dyspareunia,8,24
levonorgestrel,emergency contraception,10,0
spironolactone,acne,6,3
nortriptyline,depression,5,74
sumatriptan,new daily persistent headache,1,2
somatropin,nan,10,18
ziprasidone,bipolar disorde,9,2
baclofen,muscle spasm,10,50
fenofibrate,"hyperlipoproteinemia type iia, elevated ldl",9,38
levonorgestrel,birth control,8,4
ziprasidone,bipolar disorde,9,36
clarithromycin,sinusitis,6,10
folic acid,lic acid deficiency,8,4
spironolactone,acne,9,23
hydrochlorothiazide,edema,10,34
nitrofurantoin,urinary tract infection,4,1
lubiprostone,nan,9,9
gabapentin,hot flashes,10,45
alprazolam,panic disorde,10,4
