drugName,condition,rating,usefulCount
risperidone,post traumatic stress disorde,6,26
duloxetine,anxiety,9,101
zolpidem,insomnia,7,31
levofloxacin,bronchitis,10,15
citalopram,anxiety and stress,9,12
pantoprazole,gerd,10,1
pregabalin,generalized anxiety disorde,2,11
paroxetine,anxiety,9,5
fluoxetine,trichotillomania,8,18
etanercept,rheumatoid arthritis,8,33
levonorgestrel,birth control,10,17
sodium hyaluronate,osteoarthritis,5,14
tioconazole,vaginal yeast infection,1,14
nitrofurantoin,urinary tract infection,1,1
acyclovir,cold sores,10,11
quetiapine,insomnia,9,88
valsartan,high blood pressure,7,126
tioconazole,vaginal yeast infection,10,3
fentanyl,pain,10,46
copper,birth control,10,6
azithromycin,chlamydia infection,5,9
ranibizumab,macular edema,6,28
tadalafil,benign prostatic hyperplasia,10,39
chlordiazepoxide,anxiety,10,47
tioconazole,vaginal yeast infection,8,2
sertraline,obsessive compulsive disorde,6,35
testosterone,"hypogonadism, male",9,57
venlafaxine,depression,7,0
milnacipran,ibromyalgia,7,33
milnacipran,ibromyalgia,9,30
quetiapine,insomnia,8,13
clindamycin,bacterial vaginitis,9,38
gabapentin,anxiety,10,85
sunitinib,renal cell carcinoma,8,10
canagliflozin,"diabetes, type 2",1,26
clindamycin,acne,1,28
lamotrigine,bipolar disorde,8,12
vardenafil,erectile dysfunction,8,31
escitalopram,borderline personality disorde,9,3
escitalopram,depression,7,6
nitrofurantoin,urinary tract infection,1,3
isotretinoin,acne,10,7
sertraline,depression,10,36
liraglutide,"diabetes, type 2",10,134
lorazepam,light anesthesia,10,12
levonorgestrel,birth control,5,1
citalopram,generalized anxiety disorde,6,50
tofacitinib,rheumatoid arthritis,1,22
levothyroxine,"hypothyroidism, after thyroid removal",10,159
moxifloxacin,bronchitis,9,9
fentanyl,pain,10,72
levonorgestrel,birth control,1,2
bisacodyl,constipation,1,5
levonorgestrel,birth control,8,8
methylprednisolone,inflammatory conditions,10,39
nifedipine,raynaud's syndrome,10,26
medroxyprogesterone,abnormal uterine bleeding,1,6
levonorgestrel,abnormal uterine bleeding,9,9
eluxadoline,irritable bowel syndrome,7,14
anastrozole,breast cance,6,65
azithromycin,upper respiratory tract infection,1,3
vilazodone,anxiety,1,3
ketorolac,pain,4,9
levonorgestrel,birth control,10,8
levonorgestrel,birth control,1,8
mirtazapine,obsessive compulsive disorde,5,5
vilazodone,depression,1,72
metronidazole,bacterial vaginitis,10,7
quetiapine,bipolar disorde,6,2
escitalopram,anxiety,7,9
liraglutide,obesity,6,10
methylphenidate,adhd,10,4
bisacodyl,constipation,2,6
isotretinoin,acne,9,114
methylphenidate,adhd,6,5
clonazepam,anxiety,10,161
clindamycin,acne,10,54
liraglutide,"diabetes, type 2",9,64
varenicline,smoking cessation,10,30
propranolol,anxiety,5,50
varenicline,smoking cessation,1,15
metronidazole,giardiasis,8,0
doxepin,insomnia,3,24
zolpidem,insomnia,5,23
tioconazole,vaginal yeast infection,8,76
tioconazole,vaginal yeast infection,1,0
venlafaxine,anxiety,9,54
levothyroxine,tsh suppression,1,11
dulaglutide,"diabetes, type 2",9,16
diclofenac,pain,10,42
acyclovir,cold sores,10,33
trospium,urinary incontinence,9,35
levonorgestrel,birth control,1,8
pramipexole,restless legs syndrome,5,41
copper,birth control,8,2
levonorgestrel,emergency contraception,1,4
sildenafil,erectile dysfunction,7,19
bupropion,depression,9,120
sertraline,anxiety and stress,1,18
naftifine,tinea pedis,10,8
venlafaxine,depression,2,2
alprazolam,panic disorde,10,76
calcitriol,psoriasis,5,5
escitalopram,depression,9,10
methylphenidate,adhd,8,65
glipizide,"diabetes, type 2",6,76
medroxyprogesterone,abnormal uterine bleeding,1,3
miconazole,vaginal yeast infection,1,7
celecoxib,pain,10,85
duloxetine,anxiety,8,33
levonorgestrel,emergency contraception,10,14
escitalopram,depression,8,265
luvox,obsessive compulsive disorde,10,101
levonorgestrel,emergency contraception,9,5
doxycycline,acne,8,39
clotrimazole,vaginal yeast infection,9,25
doxycycline,acne,5,5
levonorgestrel,birth control,8,6
amitriptyline,migraine prevention,9,84
imatinib,chronic myelogenous leukemia,3,19
ranitidine,gerd,1,15
dulaglutide,"diabetes, type 2",10,43
irbesartan,high blood pressure,4,90
formoterol,moterol),9,2
methotrexate,psoriasis,5,32
fenofibrate,hypertriglyceridemia,9,85
topiramate,migraine prevention,9,4
nitrofurantoin,urinary tract infection,1,9
quetiapine,insomnia,9,56
insulin degludec,"diabetes, type 1",9,20
azithromycin,chlamydia infection,5,3
sertraline,generalized anxiety disorde,9,50
pregabalin,ibromyalgia,10,45
levomilnacipran,major depressive disorde,3,45
paroxetine,depression,8,2
citalopram,anxiety and stress,10,42
sunitinib,renal cell carcinoma,8,121
sertraline,social anxiety disorde,6,17
tadalafil,benign prostatic hyperplasia,10,147
miconazole,vaginal yeast infection,1,4
propofol,anesthesia,5,7
levothyroxine,tsh suppression,10,10
paroxetine,anxiety,10,102
copper,birth control,8,8
canagliflozin,"diabetes, type 2",5,7
linaclotide,"constipation, chronic",7,28
gabapentin,pain,7,16
lisinopril,high blood pressure,10,66
meloxicam,inflammatory conditions,9,25
bupropion,depression,5,18
liraglutide,weight loss,10,46
lamotrigine,bipolar disorde,9,53
nitrofurantoin,bladder infection,8,5
carisoprodol,muscle spasm,9,70
capsaicin,diabetic peripheral neuropathy,1,3
amitriptyline,depression,7,50
citalopram,anxiety and stress,8,122
fentanyl,chronic pain,9,7
levomilnacipran,major depressive disorde,5,10
escitalopram,depression,8,18
baclofen,temporomandibular joint disorde,8,26
triamcinolone,allergic rhinitis,3,1
miconazole,vaginal yeast infection,1,3
nortriptyline,migraine prevention,1,7
escitalopram,depression,9,52
lamotrigine,bipolar disorde,1,4
cyclobenzaprine,muscle spasm,9,11
citalopram,generalized anxiety disorde,9,1
metronidazole,diverticulitis,2,20
chlordiazepoxide,anxiety,7,5
propranolol,mance anxiety,10,77
bupropion,major depressive disorde,10,2
methylphenidate,adhd,9,16
metronidazole,skin or soft tissue infection,9,0
promethazine,nausea/vomiting,10,5
azithromycin,chlamydia infection,8,6
guaifenesin,ibromyalgia,10,69
levonorgestrel,emergency contraception,1,0
milnacipran,ibromyalgia,10,20
primidone,benign essential trem,4,31
loratadine,allergic rhinitis,1,12
desvenlafaxine,depression,10,22
duloxetine,ibromyalgia,6,17
escitalopram,depression,7,14
miconazole,vaginal yeast infection,1,9
levonorgestrel,emergency contraception,10,10
copper,birth control,10,12
escitalopram,depression,9,147
venlafaxine,anxiety,2,24
levonorgestrel,emergency contraception,10,0
oxymetazoline,nasal congestion,10,20
cyclobenzaprine,nan,10,6
acyclovir,cold sores,5,11
mometasone,eczema,10,10
vardenafil,erectile dysfunction,10,96
venlafaxine,bipolar disorde,10,21
amitriptyline,insomnia,8,82
amitriptyline,post traumatic stress disorde,10,19
levocetirizine,urticaria,10,1
levocetirizine,allergies,5,0
nitrofurantoin,urinary tract infection,5,11
tapentadol,pain,8,11
bisacodyl,constipation,1,4
desvenlafaxine,depression,10,28
varenicline,smoking cessation,3,40
levonorgestrel,birth control,9,3
venlafaxine,depression,10,135
menthol,pain,8,1
testosterone,"hypogonadism, male",8,23
losartan,high blood pressure,5,7
escitalopram,anxiety,5,2
olanzapine,bipolar disorde,3,15
linaclotide,irritable bowel syndrome,9,27
propofol,anesthesia,9,11
venlafaxine,cataplexy,10,2
vardenafil,erectile dysfunction,9,34
varenicline,smoking cessation,10,45
copper,birth control,6,6
lubiprostone,irritable bowel syndrome,5,6
metronidazole,diverticulitis,7,78
moxifloxacin,sinusitis,10,10
temazepam,insomnia,9,33
levonorgestrel,birth control,9,15
gabapentin,ibromyalgia,5,42
tramadol,ibromyalgia,9,30
nortriptyline,depression,10,49
varenicline,smoking cessation,9,9
bupropion,depression,8,43
adapalene,acne,1,22
liraglutide,weight loss,10,12
levonorgestrel,birth control,9,12
escitalopram,anxiety,9,5
ziprasidone,bipolar disorde,1,2
levonorgestrel,emergency contraception,9,13
isotretinoin,acne,10,40
fluoxetine,depression,7,44
omeprazole,erosive esophagitis,10,41
pregabalin,neuropathic pain,10,37
doxycycline,acne,8,4
metronidazole,bacterial vaginitis,9,53
copper,birth control,10,6
mirabegron,overactive bladde,1,1
propranolol,migraine prevention,8,81
mirtazapine,depression,10,37
medroxyprogesterone,birth control,8,20
pyridostigmine,myasthenia gravis,10,46
levonorgestrel,birth control,8,3
ziprasidone,bipolar disorde,1,15
linaclotide,irritable bowel syndrome,9,29
tadalafil,erectile dysfunction,10,26
clonazepam,anxiety,10,139
fluoxetine,premenstrual dysphoric disorde,3,23
medroxyprogesterone,abnormal uterine bleeding,1,19
esomeprazole,gerd,10,13
nitrofurantoin,bladder infection,10,8
olanzapine,schizoaffective disorde,5,3
levonorgestrel,emergency contraception,10,15
tramadol,pain,1,21
lysine,herpes simplex,10,9
tadalafil,erectile dysfunction,10,127
varenicline,smoking cessation,9,16
medroxyprogesterone,birth control,5,5
sertraline,panic disorde,10,4
escitalopram,anxiety,10,10
methylprednisolone,rheumatoid arthritis,10,27
methylphenidate,narcolepsy,9,42
copper,birth control,1,3
silodosin,benign prostatic hyperplasia,1,2
chlordiazepoxide,alcohol withdrawal,10,60
ceftriaxone,pneumonia,10,32
sertraline,panic disorde,10,43
pregabalin,neuropathic pain,8,50
doxycycline,acne,2,15
apri,birth control,1,6
olopatadine,seasonal allergic conjunctivitis,10,16
morphine,chronic pain,9,53
clonazepam,insomnia,10,23
triamcinolone,alopecia,10,85
escitalopram,anxiety,9,67
clindamycin,bacterial vaginitis,9,16
solifenacin,overactive bladde,10,70
olanzapine,schizophrenia,8,82
magnesium hydroxide,constipation,8,38
pregabalin,ibromyalgia,7,11
gabapentin,anxiety,10,117
quetiapine,bipolar disorde,8,16
venlafaxine,depression,10,149
doxycycline,acne,5,6
gabapentin,anxiety,8,115
apri,birth control,3,35
desvenlafaxine,depression,1,19
clonazepam,panic disorde,6,32
lorazepam,anxiety,10,67
levonorgestrel,birth control,2,2
oseltamivir,influenza,8,10
levonorgestrel,birth control,10,3
escitalopram,not listed / othe,3,0
nitrofurantoin,bladder infection,8,45
aripiprazole,bipolar disorde,2,10
tapentadol,pain,1,5
sertraline,depression,5,6
ceftriaxone,bacterial infection,10,10
omalizumab,urticaria,9,5
vilazodone,depression,2,83
eluxadoline,irritable bowel syndrome,9,20
bupropion,depression,9,63
aripiprazole,depression,9,38
ciprofloxacin,urinary tract infection,10,95
miconazole,vaginal yeast infection,4,0
bupropion,depression,2,55
ziprasidone,bipolar disorde,1,10
coal tar,seborrheic dermatitis,7,2
miconazole,vaginal yeast infection,1,6
promethazine,sedation,9,1
progesterone,progesterone insufficiency,8,28
milnacipran,ibromyalgia,6,78
levonorgestrel,birth control,5,0
aripiprazole,depression,10,215
terbinafine,"onychomycosis, toenail",8,34
hylan g-f 20,osteoarthritis,1,15
medroxyprogesterone,birth control,4,1
tramadol,pain,1,9
tramadol,back pain,10,161
citalopram,depression,4,11
lamotrigine,bipolar disorde,10,11
escitalopram,generalized anxiety disorde,1,15
gabapentin,bipolar disorde,10,28
omeprazole,stomach ulce,9,17
guaifenesin,cough,10,25
lurasidone,nan,1,8
methylphenidate,adhd,10,3
clozapine,borderline personality disorde,10,12
terazosin,benign prostatic hyperplasia,10,14
soma,muscle spasm,10,38
levetiracetam,seizures,9,27
amitriptyline,ibromyalgia,7,61
bupropion,adhd,10,230
metformin,polycystic ovary syndrome,10,31
mirtazapine,depression,10,32
metformin,"diabetes, type 2",10,18
escitalopram,generalized anxiety disorde,9,4
tamsulosin,overactive bladde,1,27
citalopram,anxiety and stress,10,31
pyridostigmine,dysautonomia,8,9
doxycycline,acne,9,2
guaifenesin,ibromyalgia,8,86
modafinil,depression,9,7
topiramate,migraine prevention,8,16
levonorgestrel,birth control,10,19
temazepam,insomnia,3,7
fluticasone,rhinitis,10,23
sertraline,depression,9,68
varenicline,smoking cessation,10,30
fluvoxamine,depression,7,7
moxifloxacin,pneumonia,7,7
diclofenac,pain,10,21
testosterone,"hypogonadism, male",7,1
solifenacin,overactive bladde,6,86
venlafaxine,depression,9,25
doxycycline,bacterial infection,8,46
levonorgestrel,birth control,5,0
sumatriptan,migraine,8,15
ciprofloxacin,bladder infection,8,64
quetiapine,borderline personality disorde,6,9
medroxyprogesterone,birth control,1,5
medroxyprogesterone,birth control,3,4
levonorgestrel,abnormal uterine bleeding,9,110
tadalafil,erectile dysfunction,9,73
celecoxib,rheumatoid arthritis,9,67
atomoxetine,adhd,8,74
metformin,polycystic ovary syndrome,3,11
losartan,high blood pressure,9,48
levocetirizine,allergies,1,12
diclofenac,osteoarthritis,10,23
sertraline,panic disorde,8,78
miconazole,vaginal yeast infection,1,14
fenofibrate,hyperlipoproteinemia,10,51
levonorgestrel,birth control,9,4
fexofenadine,allergic rhinitis,1,4
apri,birth control,7,2
hydrochlorothiazide,high blood pressure,1,25
sertraline,depression,7,36
ropinirole,restless legs syndrome,8,1
sodium hyaluronate,osteoarthritis,1,4
levonorgestrel,birth control,7,2
valacyclovir,cold sores,10,34
amitriptyline,pain,9,168
apri,birth control,1,1
baclofen,nan,8,16
pregabalin,generalized anxiety disorde,10,67
docusate,constipation,9,18
clonazepam,restless legs syndrome,3,0
indomethacin,"gout, acute",10,21
dextromethorphan,cough,5,6
diclofenac,osteoarthritis,9,22
mirabegron,overactive bladde,10,87
miconazole,vaginal yeast infection,8,11
diphenhydramine,allergic rhinitis,8,4
gabapentin,peripheral neuropathy,7,55
dulaglutide,"diabetes, type 2",5,30
cetirizine,allergic rhinitis,5,15
methotrexate,psoriasis,10,26
levonorgestrel,birth control,10,4
bisacodyl,constipation,1,2
fluconazole,vaginal yeast infection,7,46
levonorgestrel,emergency contraception,3,73
testosterone,"hypogonadism, male",9,39
armodafinil,narcolepsy,2,9
levonorgestrel,birth control,9,2
quetiapine,borderline personality disorde,8,23
tadalafil,erectile dysfunction,8,2
oxymorphone,pain,8,8
guaifenesin,ibromyalgia,9,87
diphenhydramine,insomnia,10,27
gabapentin,pain,1,11
bevacizumab,colorectal cance,10,41
tramadol,not listed / othe,7,6
alfuzosin,benign prostatic hyperplasia,10,43
insulin glulisine,"diabetes, type 2",10,5
bupropion,depression,8,8
zolpidem,insomnia,9,12
citalopram,anxiety and stress,9,80
levofloxacin,bronchitis,2,10
metronidazole,bacterial vaginitis,10,5
olmesartan,high blood pressure,10,75
clonazepam,panic disorde,1,19
fluorouracil,keratosis,9,208
fluoxetine,anxiety and stress,9,51
fluoxetine,depression,6,1
alprazolam,depression,10,71
levonorgestrel,birth control,1,6
methylphenidate,adhd,1,192
sulindac,rheumatoid arthritis,8,20
topiramate,migraine prevention,1,3
sertraline,depression,4,16
nitrofurantoin,bladder infection,1,77
bisacodyl,constipation,10,15
methylphenidate,adhd,1,19
fluoxetine,depression,10,315
promethazine,nausea/vomiting,10,13
liraglutide,"diabetes, type 2",10,75
escitalopram,major depressive disorde,6,15
metronidazole,bacterial vaginitis,5,5
roflumilast,"copd, maintenance",10,23
escitalopram,depression,10,121
terbinafine,"onychomycosis, fingernail",5,16
melatonin,insomnia,7,76
apremilast,plaque psoriasis,7,17
sertraline,social anxiety disorde,1,0
meloxicam,nan,10,16
sulfasalazine,crohn's disease,9,4
venlafaxine,hot flashes,9,30
medroxyprogesterone,birth control,9,12
levonorgestrel,birth control,10,19
ketamine,anesthesia,1,2
duloxetine,anxiety,1,47
estradiol,postmenopausal symptoms,10,135
sertraline,anxiety and stress,9,65
opium,diarrhea,10,47
cephalexin,skin or soft tissue infection,3,13
doxycycline,acne,9,20
sertraline,anxiety and stress,10,97
azelastine,allergic rhinitis,10,16
isotretinoin,acne,9,23
imipramine,panic disorde,10,116
isotretinoin,acne,9,8
miconazole,vaginal yeast infection,1,6
terbinafine,"onychomycosis, toenail",9,1
bisacodyl,constipation,10,2
guaifenesin,cough,3,3
cyclobenzaprine,muscle spasm,8,15
lamotrigine,bipolar disorde,9,43
clonidine,opiate withdrawal,6,69
dabigatran,deep vein thrombosis,8,14
doxepin,anxiety,6,32
finasteride,androgenetic alopecia,1,3
testosterone,"hypogonadism, male",8,2
risperidone,bipolar disorde,1,3
budesonide,crohn's disease,10,9
tioconazole,vaginal yeast infection,10,0
varenicline,smoking cessation,9,18
levonorgestrel,birth control,2,5
clonidine,opiate withdrawal,3,31
topiramate,seizures,10,4
atomoxetine,adhd,1,17
vilazodone,major depressive disorde,3,2
paroxetine,depression,10,55
cefdinir,pneumonia,1,4
amoxicillin,bladder infection,10,179
miconazole,vaginal yeast infection,1,2
tioconazole,vaginal yeast infection,7,17
tramadol,depression,10,121
gabapentin,reflex sympathetic dystrophy syndrome,10,12
azelastine,allergic rhinitis,10,39
escitalopram,depression,6,10
tretinoin,photoaging of the skin,8,12
duloxetine,depression,7,25
levonorgestrel,birth control,10,15
fluoxetine,panic disorde,8,38
cyclobenzaprine,muscle spasm,8,21
morphine,chronic pain,8,15
adenosine,supraventricular tachycardia,10,0
suvorexant,insomnia,1,62
ciprofloxacin,urinary tract infection,10,54
atorvastatin,high cholesterol,7,74
brimonidine,rosacea,1,1
alprazolam,anxiety,10,45
linaclotide,"constipation, chronic",10,54
medroxyprogesterone,birth control,2,10
diclofenac,osteoarthritis,10,26
levonorgestrel,birth control,9,3
clobazam,lennox-gastaut syndrome,10,2
desloratadine,allergic rhinitis,10,6
clindamycin,bacterial infection,5,33
tadalafil,erectile dysfunction,9,112
cyclobenzaprine,muscle spasm,10,0
metformin,"diabetes, type 2",5,55
nitrofurantoin,urinary tract infection,10,11
cholestyramine,irritable bowel syndrome,10,25
fluticasone,atopic dermatitis,9,12
nortriptyline,not listed / othe,9,0
selexipag,pulmonary hypertension,5,6
miconazole,vaginal yeast infection,1,6
liraglutide,obesity,8,7
duloxetine,anxiety,10,34
methylphenidate,depression,10,54
ropinirole,restless legs syndrome,10,37
metoprolol,high blood pressure,10,22
ciprofloxacin,urinary tract infection,9,43
citalopram,depression,7,34
milnacipran,ibromyalgia,1,29
desvenlafaxine,bipolar disorde,9,21
escitalopram,generalized anxiety disorde,8,11
orlistat,obesity,9,72
triamcinolone,allergic rhinitis,8,21
nitrofurantoin,bladder infection,3,11
oxymorphone,pain,9,34
miconazole,vaginal yeast infection,1,6
levonorgestrel,birth control,5,1
melatonin,insomnia,9,44
levetiracetam,epilepsy,2,0
levonorgestrel,birth control,9,6
venlafaxine,hot flashes,10,127
sofosbuvir,hepatitis c,1,4
levonorgestrel,emergency contraception,10,1
tapentadol,pain,6,13
miconazole,vaginal yeast infection,1,19
tramadol,pain,10,15
suvorexant,insomnia,10,31
omeprazole,gerd,8,15
promethazine,nausea/vomiting,10,12
gabapentin,pain,7,13
sertraline,anxiety and stress,9,21
varenicline,smoking cessation,10,20
levofloxacin,bacterial infection,7,17
levonorgestrel,emergency contraception,9,13
zolpidem,insomnia,1,3
riluzole,obsessive compulsive disorde,7,5
metronidazole,clostridial infection,4,11
lorazepam,anxiety,2,5
fluoxetine,depression,10,18
levonorgestrel,emergency contraception,9,31
fluoxetine,depression,7,18
prochlorperazine,nausea/vomiting,10,11
pantoprazole,gerd,10,19
levonorgestrel,birth control,5,39
clonazepam,anxiety,9,73
doxycycline,acne,5,6
clindamycin,bacterial vaginitis,8,28
isotretinoin,acne,5,8
gabapentin,anxiety,6,54
meclizine,vertig,9,77
zolpidem,insomnia,10,15
gatifloxacin,not listed / othe,9,0
propranolol,anxiety,9,88
dextromethorphan,cough,10,7
ticagrelor,acute coronary syndrome,10,20
medroxyprogesterone,abnormal uterine bleeding,10,21
tioconazole,vaginal yeast infection,10,7
beclomethasone,"asthma, maintenance",3,11
norethindrone,birth control,4,11
spironolactone,acne,9,55
duloxetine,generalized anxiety disorde,8,46
armodafinil,narcolepsy,1,14
escitalopram,depression,9,41
fluoxetine,depression,10,16
doxepin,insomnia,1,28
lorazepam,anxiety,10,91
lurasidone,bipolar disorde,7,27
tranexamic acid,menorrhagia,1,26
zolpidem,insomnia,10,16
canagliflozin,"diabetes, type 2",10,60
miconazole,vaginal yeast infection,1,6
azathioprine,ulcerative colitis,9,24
tamsulosin,overactive bladde,6,9
terbinafine,"onychomycosis, toenail",10,25
clonidine,opiate withdrawal,8,18
propranolol,migraine prevention,2,13
desvenlafaxine,depression,10,35
risedronate,osteoporosis,3,12
nitrofurantoin,prevention of bladder infection,1,23
hydroxyzine,anxiety,1,14
duloxetine,ibromyalgia,10,48
bupropion,seasonal affective disorde,8,49
pregabalin,ibromyalgia,6,18
duloxetine,anxiety,1,24
ketorolac,pain,2,16
norethindrone,birth control,9,7
ramipril,diabetic kidney disease,1,7
olanzapine,depression,4,35
sildenafil,erectile dysfunction,10,11
aripiprazole,schizoaffective disorde,10,42
diclofenac,pain,10,4
oxymorphone,pain,4,8
fluoxetine,depression,8,13
imiquimod,human papilloma virus,10,24
duloxetine,anxiety,4,53
citalopram,anxiety and stress,8,14
levothyroxine,hashimoto's disease,10,94
suvorexant,insomnia,2,32
amlodipine,heart failure,7,31
valsartan,high blood pressure,8,23
clonazepam,anxiety,10,70
oxazepam,insomnia,7,24
paroxetine,depression,3,36
fluoxetine,depression,10,90
atomoxetine,adhd,9,2
cefuroxime,sinusitis,8,41
metformin,insulin resistance syndrome,10,51
zolpidem,insomnia,7,37
testosterone,"hypogonadism, male",8,36
fentanyl,breakthrough pain,9,19
doxycycline,bacterial infection,9,36
levetiracetam,seizures,4,61
gabapentin,ibromyalgia,1,38
quetiapine,bipolar disorde,10,25
quetiapine,bipolar disorde,8,5
cipro,urinary tract infection,5,27
milnacipran,ibromyalgia,8,43
levonorgestrel,birth control,10,6
sertraline,premenstrual dysphoric disorde,10,59
finasteride,benign prostatic hyperplasia,4,5
citalopram,depression,8,8
escitalopram,depression,10,10
lubiprostone,nan,10,23
quetiapine,insomnia,9,66
nebivolol,high blood pressure,2,35
zolpidem,insomnia,8,27
fluoxetine,premenstrual dysphoric disorde,10,32
hydroxyzine,anxiety,8,59
cetirizine,allergic rhinitis,2,13
topiramate,borderline personality disorde,10,3
gabapentin,pudendal neuralgia,4,3
lifitegrast,dry eye disease,2,25
clonidine,opiate withdrawal,9,50
sertraline,generalized anxiety disorde,8,12
clonidine,perimenopausal symptoms,7,28
ivermectin,head lice,10,8
levetiracetam,seizures,2,12
tramadol,chronic pain,7,17
nitrofurantoin,urinary tract infection,1,6
nortriptyline,migraine prevention,5,16
ulipristal,emergency contraception,10,21
polyethylene glycol 3350,constipation,10,44
escitalopram,anxiety,7,27
nitrofurantoin,urinary tract infection,1,1
levonorgestrel,birth control,9,3
levonorgestrel,emergency contraception,10,24
tioconazole,vaginal yeast infection,4,2
clonazepam,anxiety,10,64
aripiprazole,bipolar disorde,3,6
clonidine,high blood pressure,1,62
tretinoin,acne,4,5
desoximetasone,psoriasis,8,3
vardenafil,erectile dysfunction,10,48
metronidazole,bacterial vaginitis,8,29
doxepin,insomnia,10,41
copper,birth control,7,6
ropinirole,restless legs syndrome,7,16
venlafaxine,generalized anxiety disorde,10,36
lamotrigine,anxiety,9,20
minocycline,acne,4,4
ropinirole,restless legs syndrome,10,44
celecoxib,osteoarthritis,10,54
alprazolam,panic disorde,10,17
valacyclovir,cold sores,1,0
levetiracetam,epilepsy,10,3
atomoxetine,adhd,9,99
oxymorphone,pain,1,12
febuxostat,gout,10,15
copper,birth control,2,5
carbamazepine,dystonia,1,6
vardenafil,erectile dysfunction,3,25
ketorolac,pain,10,2
imiquimod,nan,10,6
carbamazepine,trigeminal neuralgia,1,9
methylprednisolone,"gout, acute",10,10
apri,birth control,8,2
hydrochlorothiazide,high blood pressure,9,23
metoclopramide,migraine,2,8
sertraline,bipolar disorde,2,3
tramadol,chronic pain,2,29
varenicline,smoking cessation,10,27
tacrolimus,atopic dermatitis,10,36
linezolid,pneumonia,10,38
cyclobenzaprine,sciatica,10,72
topiramate,migraine prevention,10,1
orlistat,obesity,10,130
medroxyprogesterone,abnormal uterine bleeding,1,8
ciprofloxacin,prostatitis,6,5
levonorgestrel,birth control,10,14
levonorgestrel,birth control,10,4
mirtazapine,depression,2,45
quetiapine,bipolar disorde,9,3
levonorgestrel,emergency contraception,10,3
clomipramine,panic disorde,10,108
cipro,sinusitis,10,94
alprazolam,panic disorde,10,59
gabapentin,postherpetic neuralgia,8,81
levonorgestrel,emergency contraception,10,12
venlafaxine,depression,1,26
duloxetine,anxiety,9,163
sertraline,anxiety and stress,9,113
ziprasidone,bipolar disorde,8,35
montelukast,allergic rhinitis,4,46
doxycycline,bacterial infection,10,103
venlafaxine,depression,7,3
rizatriptan,migraine,10,10
propafenone,atrial fibrillation,8,15
doxepin,insomnia,6,47
duloxetine,generalized anxiety disorde,9,74
doxepin,insomnia,10,83
propranolol,anxiety,9,29
dulaglutide,"diabetes, type 2",4,16
quetiapine,depression,5,37
citalopram,anxiety and stress,10,47
citalopram,depression,10,22
levonorgestrel,birth control,10,0
temazepam,insomnia,8,24
miconazole,vaginal yeast infection,5,0
tioconazole,vaginal yeast infection,1,2
varenicline,smoking cessation,10,36
amitriptyline,migraine prevention,10,70
fluoxetine,major depressive disorde,2,7
amoxicillin,bronchitis,6,8
oxcarbazepine,bipolar disorde,10,54
sertraline,post traumatic stress disorde,10,82
amoxicillin,dental abscess,1,14
soma,muscle spasm,10,120
ivermectin,rosacea,3,0
levonorgestrel,birth control,10,2
fluoxetine,depression,1,13
citalopram,generalized anxiety disorde,10,67
roflumilast,"copd, maintenance",1,14
venlafaxine,depression,9,79
escitalopram,anxiety,6,17
lidocaine,pain,1,1
adalimumab,reiter's syndrome,9,3
escitalopram,premenstrual dysphoric disorde,9,46
venlafaxine,generalized anxiety disorde,9,52
suvorexant,insomnia,10,12
nifedipine,raynaud's syndrome,5,27
clonazepam,anxiety,8,14
duloxetine,anxiety,8,116
varenicline,smoking cessation,9,5
pramipexole,restless legs syndrome,2,2
aripiprazole,agitated state,2,20
linaclotide,"constipation, chronic",9,37
pantoprazole,gerd,10,51
escitalopram,anxiety,10,73
levothyroxine,"hypothyroidism, after thyroid removal",9,113
venlafaxine,anxiety and stress,6,11
acyclovir,cold sores,10,7
guaifenesin,cough,1,7
apri,birth control,6,16
azithromycin,chlamydia infection,8,0
candesartan,high blood pressure,1,26
zolpidem,insomnia,8,91
apri,birth control,10,75
liraglutide,"diabetes, type 2",1,46
enoxaparin,deep vein thrombosis,9,19
duloxetine,depression,1,21
lysine,"herpes simplex, suppression",7,14
tioconazole,vaginal yeast infection,1,2
lorazepam,anxiety,10,23
amitriptyline,migraine prevention,1,21
tretinoin,acne,8,36
medroxyprogesterone,abnormal uterine bleeding,10,35
fluoxetine,depression,1,7
naproxen,period pain,10,37
diclofenac,osteoarthritis,10,74
aripiprazole,bipolar disorde,2,27
tretinoin,acne,9,20
medroxyprogesterone,abnormal uterine bleeding,3,29
levonorgestrel,abnormal uterine bleeding,1,11
methylphenidate,adhd,5,65
multivitamin,dietary supplementation,4,6
dulaglutide,"diabetes, type 2",1,7
doxycycline,acne,7,50
tramadol,back pain,10,29
tioconazole,vaginal yeast infection,1,3
venlafaxine,post traumatic stress disorde,10,6
topiramate,migraine prevention,3,19
vilazodone,depression,6,17
risperidone,depression,8,23
phenytoin,anxiety,10,45
liraglutide,"diabetes, type 2",3,13
orlistat,obesity,5,51
losartan,high blood pressure,7,78
metformin,polycystic ovary syndrome,9,16
spironolactone,high blood pressure,8,87
indomethacin,not listed / othe,8,1
naproxen,pain,10,10
levonorgestrel,birth control,5,12
miconazole,vaginal yeast infection,6,2
testosterone,"hypogonadism, male",4,26
ziprasidone,schizophrenia,6,14
paroxetine,obsessive compulsive disorde,4,7
metronidazole,bacterial infection,6,7
desvenlafaxine,major depressive disorde,1,9
oseltamivir,influenza,10,7
