group,indication,score,contraindications_description,generic_name,contraindication_result
contradicted subject,pregnant,0.59636784,"dutasteride is contra-indicated for use in women and children and for patients with known hypersensitivity to dutasteride, and other 5 a-reductase inhibitors. warnings: exposure of women-risk to male fetus: dutasteride is absorbed through the skin. therefore, women who are pregnant or may be pregnant should not handle dutasteride capsules because of the possibility of absorption of dutasteride and the potential risk of a fetal anomaly to a male fetus. if contact is made with leaking capsules, the contact area should be washed immediately with soap and water.",dutasteride,hypersensitivity to dutasteride
family_contradicted patient history,pregnant,0.44716313,"dutasteride is contra-indicated for use in women and children and for patients with known hypersensitivity to dutasteride, and other 5 a-reductase inhibitors. warnings: exposure of women-risk to male fetus: dutasteride is absorbed through the skin. therefore, women who are pregnant or may be pregnant should not handle dutasteride capsules because of the possibility of absorption of dutasteride and the potential risk of a fetal anomaly to a male fetus. if contact is made with leaking capsules, the contact area should be washed immediately with soap and water.",dutasteride,hypersensitivity to dutasteride
contradicted drug,dutasteride,0.984597,"dutasteride is contra-indicated for use in women and children and for patients with known hypersensitivity to dutasteride, and other 5 a-reductase inhibitors. warnings: exposure of women-risk to male fetus: dutasteride is absorbed through the skin. therefore, women who are pregnant or may be pregnant should not handle dutasteride capsules because of the possibility of absorption of dutasteride and the potential risk of a fetal anomaly to a male fetus. if contact is made with leaking capsules, the contact area should be washed immediately with soap and water.",dutasteride,hypersensitivity to dutasteride
contradicted drug,dutasteride,0.98088,"dutasteride is contra-indicated for use in women and children and for patients with known hypersensitivity to dutasteride, and other 5 a-reductase inhibitors. warnings: exposure of women-risk to male fetus: dutasteride is absorbed through the skin. therefore, women who are pregnant or may be pregnant should not handle dutasteride capsules because of the possibility of absorption of dutasteride and the potential risk of a fetal anomaly to a male fetus. if contact is made with leaking capsules, the contact area should be washed immediately with soap and water.",dutasteride,hypersensitivity to dutasteride
contradicted disease,fetal anomaly,0.56148744,"dutasteride is contra-indicated for use in women and children and for patients with known hypersensitivity to dutasteride, and other 5 a-reductase inhibitors. warnings: exposure of women-risk to male fetus: dutasteride is absorbed through the skin. therefore, women who are pregnant or may be pregnant should not handle dutasteride capsules because of the possibility of absorption of dutasteride and the potential risk of a fetal anomaly to a male fetus. if contact is made with leaking capsules, the contact area should be washed immediately with soap and water.",dutasteride,hypersensitivity to dutasteride
contradicted subject,male,0.6623781,"dutasteride is contra-indicated for use in women and children and for patients with known hypersensitivity to dutasteride, and other 5 a-reductase inhibitors. warnings: exposure of women-risk to male fetus: dutasteride is absorbed through the skin. therefore, women who are pregnant or may be pregnant should not handle dutasteride capsules because of the possibility of absorption of dutasteride and the potential risk of a fetal anomaly to a male fetus. if contact is made with leaking capsules, the contact area should be washed immediately with soap and water.",dutasteride,hypersensitivity to dutasteride
contradicted drug,dulox,0.70262486,"duloxetine is contraindicated in patients with a known hypersensitivity to this drug or any of the inactive ingredients. duloxetine is not approved for use in treating bipolar depression. duloxetine should not be prescribed to patients with substantial alcohol use or evidence of chronic liver disease. in clinical trials, duloxetine was associated with an increased risk of mydriasis; therefore, it should be used cautiously in patients with controlled narrow-angle glaucoma.",duloxetine hydrochloride,known hypersensitivity to this drug or any of the inactive ingredients
contradicted drug,dulaglutide,0.9394301,dulaglutide is contraindicated in patients with a personal or family history of medullary thyroid carcinoma or in patients with multiple endocrine neoplasia syndrome type 2. dulaglutide is contraindicated in patients with a prior serious hypersensitivity reaction to dulaglutide or any of the product components.,dulaglutide,patients with a prior serious hypersensitivity reaction
contradicted disease,neoplasia syndrome,0.7921926,dulaglutide is contraindicated in patients with a personal or family history of medullary thyroid carcinoma or in patients with multiple endocrine neoplasia syndrome type 2. dulaglutide is contraindicated in patients with a prior serious hypersensitivity reaction to dulaglutide or any of the product components.,dulaglutide,patients with a prior serious hypersensitivity reaction
contradicted patient history,type 2,0.5842024,dulaglutide is contraindicated in patients with a personal or family history of medullary thyroid carcinoma or in patients with multiple endocrine neoplasia syndrome type 2. dulaglutide is contraindicated in patients with a prior serious hypersensitivity reaction to dulaglutide or any of the product components.,dulaglutide,patients with a prior serious hypersensitivity reaction
contradicted drug,dulaglutide,0.9415887,dulaglutide is contraindicated in patients with a personal or family history of medullary thyroid carcinoma or in patients with multiple endocrine neoplasia syndrome type 2. dulaglutide is contraindicated in patients with a prior serious hypersensitivity reaction to dulaglutide or any of the product components.,dulaglutide,patients with a prior serious hypersensitivity reaction
contradicted drug,dulaglutide,0.9431524,dulaglutide is contraindicated in patients with a personal or family history of medullary thyroid carcinoma or in patients with multiple endocrine neoplasia syndrome type 2. dulaglutide is contraindicated in patients with a prior serious hypersensitivity reaction to dulaglutide or any of the product components.,dulaglutide,patients with a prior serious hypersensitivity reaction
contradicted disease,renal impairment,0.9928075,"renal impairment adrenal insufficiency presence or history of progestin sensitive cancers liver tumors, benign or malignant, or hepatic impairment undiagnosed abnormal uterine bleeding",drospirenone,undiagnosed abnormal uterine bleeding
contradicted disease,adrenal insuf,0.82165205,"renal impairment adrenal insufficiency presence or history of progestin sensitive cancers liver tumors, benign or malignant, or hepatic impairment undiagnosed abnormal uterine bleeding",drospirenone,undiagnosed abnormal uterine bleeding
contradicted patient history,presence,0.5638248,"renal impairment adrenal insufficiency presence or history of progestin sensitive cancers liver tumors, benign or malignant, or hepatic impairment undiagnosed abnormal uterine bleeding",drospirenone,undiagnosed abnormal uterine bleeding
contradicted patient history,hepatic impairment,0.5939194,"renal impairment adrenal insufficiency presence or history of progestin sensitive cancers liver tumors, benign or malignant, or hepatic impairment undiagnosed abnormal uterine bleeding",drospirenone,undiagnosed abnormal uterine bleeding
contradicted patient history,infants,0.7275858,severe liver disease; avoid alcohol; premature infants or full-term neonates.,doxylamine succinate,avoid alcohol
contradicted drug,doxycycline,0.9491717,doxycycline is contraindicated to the patients who have shown hypersensitivity to any of the tetracyclines. doxycycline is contraindicated to the children under 8 years of age. it is also contraindicated to pregnant women and to the lactating mothers.,doxycycline hydrochloride,pregnant women and to the lactating mothers
contradicted drug,doxycycline,0.95006526,doxycycline is contraindicated to the patients who have shown hypersensitivity to any of the tetracyclines. doxycycline is contraindicated to the children under 8 years of age. it is also contraindicated to pregnant women and to the lactating mothers.,doxycycline hydrochloride,pregnant women and to the lactating mothers
contradicted subject,pregnant,0.5221899,doxycycline is contraindicated to the patients who have shown hypersensitivity to any of the tetracyclines. doxycycline is contraindicated to the children under 8 years of age. it is also contraindicated to pregnant women and to the lactating mothers.,doxycycline hydrochloride,pregnant women and to the lactating mothers
contradicted patient history,neon,0.84040546,"cardiac disease, neonates, pregnancy and lactation, prior irradiation to mediastinum. im/sc admin. severe myelosuppression due to previous treatment with antitumour agents or radiotherapy.",doxorubicin hydrochloride,antitumour agents or radiotherapy
contradicted patient history,pregnancy,0.69802904,"cardiac disease, neonates, pregnancy and lactation, prior irradiation to mediastinum. im/sc admin. severe myelosuppression due to previous treatment with antitumour agents or radiotherapy.",doxorubicin hydrochloride,antitumour agents or radiotherapy
contradicted drug,antitumour agents,0.9872643,"cardiac disease, neonates, pregnancy and lactation, prior irradiation to mediastinum. im/sc admin. severe myelosuppression due to previous treatment with antitumour agents or radiotherapy.",doxorubicin hydrochloride,antitumour agents or radiotherapy
contradicted drug,doxophylline,0.87053376,"doxophylline is contraindicated in acute myocardial infarction. it is also contraindicated in patients with hypotension, in lactating women &amp; patients who have shown hypersensitivity to its components.",doxophylline,"patients with hypotension, in lactating women &amp"
contradicted drug,doxep,0.99008626,"hypersensitivity : doxepin is contraindicated in individuals who have shown hypersensitivity to doxepin hcl, any of its inactive ingredients, or other dibenoxepines. co-administration with monoamine oxidase inhibitors (maois) : serious side effects and even death have been reported following the concomitant use of certain drugs with mao inhibitors. do not administer doxepin if patient is currently on maois or has used maois within the past two weeks. the exact length of time may vary depending on the particular maoi dosage and duration of treatment. glaucoma and urinary retention : doxepin is contraindicated in individuals with untreated narrow-angle glaucoma or severe urinary retention.",doxepin (oral),glaucoma and urinary retention
contradicted drug,monoamine oxidase inhibitors,0.9936406,"hypersensitivity : doxepin is contraindicated in individuals who have shown hypersensitivity to doxepin hcl, any of its inactive ingredients, or other dibenoxepines. co-administration with monoamine oxidase inhibitors (maois) : serious side effects and even death have been reported following the concomitant use of certain drugs with mao inhibitors. do not administer doxepin if patient is currently on maois or has used maois within the past two weeks. the exact length of time may vary depending on the particular maoi dosage and duration of treatment. glaucoma and urinary retention : doxepin is contraindicated in individuals with untreated narrow-angle glaucoma or severe urinary retention.",doxepin (oral),glaucoma and urinary retention
contradicted drug,doxep,0.8921717,"hypersensitivity : doxepin is contraindicated in individuals who have shown hypersensitivity to doxepin hcl, any of its inactive ingredients, or other dibenoxepines. co-administration with monoamine oxidase inhibitors (maois) : serious side effects and even death have been reported following the concomitant use of certain drugs with mao inhibitors. do not administer doxepin if patient is currently on maois or has used maois within the past two weeks. the exact length of time may vary depending on the particular maoi dosage and duration of treatment. glaucoma and urinary retention : doxepin is contraindicated in individuals with untreated narrow-angle glaucoma or severe urinary retention.",doxepin (oral),glaucoma and urinary retention
contradicted disease,maois,0.84739584,"hypersensitivity : doxepin is contraindicated in individuals who have shown hypersensitivity to doxepin hcl, any of its inactive ingredients, or other dibenoxepines. co-administration with monoamine oxidase inhibitors (maois) : serious side effects and even death have been reported following the concomitant use of certain drugs with mao inhibitors. do not administer doxepin if patient is currently on maois or has used maois within the past two weeks. the exact length of time may vary depending on the particular maoi dosage and duration of treatment. glaucoma and urinary retention : doxepin is contraindicated in individuals with untreated narrow-angle glaucoma or severe urinary retention.",doxepin (oral),glaucoma and urinary retention
contradicted disease,maois,0.80967116,"hypersensitivity : doxepin is contraindicated in individuals who have shown hypersensitivity to doxepin hcl, any of its inactive ingredients, or other dibenoxepines. co-administration with monoamine oxidase inhibitors (maois) : serious side effects and even death have been reported following the concomitant use of certain drugs with mao inhibitors. do not administer doxepin if patient is currently on maois or has used maois within the past two weeks. the exact length of time may vary depending on the particular maoi dosage and duration of treatment. glaucoma and urinary retention : doxepin is contraindicated in individuals with untreated narrow-angle glaucoma or severe urinary retention.",doxepin (oral),glaucoma and urinary retention
contradicted drug,doxep,0.95455456,"hypersensitivity : doxepin is contraindicated in individuals who have shown hypersensitivity to doxepin hcl, any of its inactive ingredients, or other dibenoxepines. co-administration with monoamine oxidase inhibitors (maois) : serious side effects and even death have been reported following the concomitant use of certain drugs with mao inhibitors. do not administer doxepin if patient is currently on maois or has used maois within the past two weeks. the exact length of time may vary depending on the particular maoi dosage and duration of treatment. glaucoma and urinary retention : doxepin is contraindicated in individuals with untreated narrow-angle glaucoma or severe urinary retention.",doxepin (oral),glaucoma and urinary retention
contradicted disease,glaucoma,0.9836305,"hypersensitivity : doxepin is contraindicated in individuals who have shown hypersensitivity to doxepin hcl, any of its inactive ingredients, or other dibenoxepines. co-administration with monoamine oxidase inhibitors (maois) : serious side effects and even death have been reported following the concomitant use of certain drugs with mao inhibitors. do not administer doxepin if patient is currently on maois or has used maois within the past two weeks. the exact length of time may vary depending on the particular maoi dosage and duration of treatment. glaucoma and urinary retention : doxepin is contraindicated in individuals with untreated narrow-angle glaucoma or severe urinary retention.",doxepin (oral),glaucoma and urinary retention
contradicted drug,carbapenem,0.9776762,"hypersensitivity to doripenem, other carbapenem antibacterial agents; history of anaphylactic reaction to -lactams (e.g. penicillins, cephalosporins).",doripenem,hypersensitivity to doripenem
contradicted drug,dopamine hydrochloride,0.99843854,"dopamine hydrochloride is contraindicated in patients with known hypersensitivity to dopamine or any of its ingredients. it should not be used in patients with phaeochromocytoma, uncorrected tachyarrhythmias, or ventricular fibrillation. dextrose solution without electrolytes should not be administered simultaneously with blood through the same infusion set because of the possibility of pseudoagglutination of red cells.",dopamine hydrochloride,known hypersensitivity to dopamine or any of its ingredients
contradicted drug,dopamine,0.99821156,"dopamine hydrochloride is contraindicated in patients with known hypersensitivity to dopamine or any of its ingredients. it should not be used in patients with phaeochromocytoma, uncorrected tachyarrhythmias, or ventricular fibrillation. dextrose solution without electrolytes should not be administered simultaneously with blood through the same infusion set because of the possibility of pseudoagglutination of red cells.",dopamine hydrochloride,known hypersensitivity to dopamine or any of its ingredients
contradicted drug,dextrose solution,0.9978504,"dopamine hydrochloride is contraindicated in patients with known hypersensitivity to dopamine or any of its ingredients. it should not be used in patients with phaeochromocytoma, uncorrected tachyarrhythmias, or ventricular fibrillation. dextrose solution without electrolytes should not be administered simultaneously with blood through the same infusion set because of the possibility of pseudoagglutination of red cells.",dopamine hydrochloride,known hypersensitivity to dopamine or any of its ingredients
contradicted drug,electrolytes,0.97445273,"dopamine hydrochloride is contraindicated in patients with known hypersensitivity to dopamine or any of its ingredients. it should not be used in patients with phaeochromocytoma, uncorrected tachyarrhythmias, or ventricular fibrillation. dextrose solution without electrolytes should not be administered simultaneously with blood through the same infusion set because of the possibility of pseudoagglutination of red cells.",dopamine hydrochloride,known hypersensitivity to dopamine or any of its ingredients
contradicted disease,thrombosis,0.9177666,"epoetin beta is contraindicated in patients with: known hypersensitivity to the active substance or any of the excipients. poorly controlled hypertension. in the indication ""increasing the yield of autologous blood"", recormon must not be used in patients who, in the month preceding treatment, have suffered a myocardial infarction or stroke, patients with unstable angina pectoris, or patients who are at increased risk of deep venous thrombosis such as those with a history of venous thromboembolic disease.",epoetin beta,poorly controlled hypertension
contradicted disease,renal impairment,0.9174183,"eplerenone is contraindicated in- hyperkalaemia severe renal impairment (creatinine clearance less than 30 ml/min) severe hepatic impairment concomitant use with potent cyp3a4 inhibitors like ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, and nelfinavir or other potassium-sparing diuretics are also contraindicated",eplerenone,severe renal impairment
contradicted drug,cyp3a4 inhibitors,0.99953294,"eplerenone is contraindicated in- hyperkalaemia severe renal impairment (creatinine clearance less than 30 ml/min) severe hepatic impairment concomitant use with potent cyp3a4 inhibitors like ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, and nelfinavir or other potassium-sparing diuretics are also contraindicated",eplerenone,severe renal impairment
contradicted drug,potassium,0.8054181,"eplerenone is contraindicated in- hyperkalaemia severe renal impairment (creatinine clearance less than 30 ml/min) severe hepatic impairment concomitant use with potent cyp3a4 inhibitors like ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, and nelfinavir or other potassium-sparing diuretics are also contraindicated",eplerenone,severe renal impairment
contradicted patient history,hyperthyroid,0.9569722,"the use of ephedrine is contraindicated in the presence of coronary thrombosis. it should be used with caution in patients with organic heart disease, cardiac decompensation, hyperthyroidism, hypertension, and angina pectoris, and in patients receiving digitalis.",ephedrine hydrochloride,coronary thrombosis
contradicted drug,eperison,0.95008606,eperisone is contraindicated in patients with a history of hypersensitivity to eperisone hydrochloride.,eperisone hydrochloride,hypersensitivity to eperisone hydrochloride
contradicted patient history,pregnant,0.60866946,"if you have previously experienced any allergic reactions (itch, rash, etc.) to any medicines. if you are pregnant or breastfeeding. if you are taking any other medicinal products. (some medicines may interact to enhance or diminish medicinal effects. beware of over-the-counter medicines and dietary supplements as well as other prescription medicines.)",epalrestat,if you are pregnant or breastfeeding
contradicted drug,entecavir,0.8443736,entecavir is contraindicated in patients with previously demonstrated hypersensitivity to entecavir or any component of the product.,entecavir,hypersensitivity to entecavir or any component of the product
contradicted drug,entecavir,0.933682,entecavir is contraindicated in patients with previously demonstrated hypersensitivity to entecavir or any component of the product.,entecavir,hypersensitivity to entecavir or any component of the product
family_contradicted patient history,neuroleptic,0.64696014,"phaeochromocytoma, history of neuroleptic malignant syndrome and/or non-traumatic rhabdomyolysis. hepatic impairment. concomitant use w/ non-selective maois.",entacapone,non-selective maois
contradicted patient history,mali,0.6469192,"phaeochromocytoma, history of neuroleptic malignant syndrome and/or non-traumatic rhabdomyolysis. hepatic impairment. concomitant use w/ non-selective maois.",entacapone,non-selective maois
contradicted patient history,traumatic rhabdomyo,0.9729806,"phaeochromocytoma, history of neuroleptic malignant syndrome and/or non-traumatic rhabdomyolysis. hepatic impairment. concomitant use w/ non-selective maois.",entacapone,non-selective maois
contradicted drug,heparin,0.9650453,"patients with known hypersensitivity to enoxaparin sodium, heparin or other low molecular weight heparins. patients with active major bleeding and conditions with a high risk of uncontrolled hemorrhage including recent hemorrhagic stroke.",enoxaparin sodium,patients with active major bleeding
contradicted disease,hemorrhage,0.78599495,"patients with known hypersensitivity to enoxaparin sodium, heparin or other low molecular weight heparins. patients with active major bleeding and conditions with a high risk of uncontrolled hemorrhage including recent hemorrhagic stroke.",enoxaparin sodium,patients with active major bleeding
contradicted drug,vaccine,0.99624556,"hypersensitivity to the active substance or to any of the excipients or to the residues protamine sulphate, formaldehyde, bovine serum albumin, host cell dna, sodium metabisulphite, host cell protein. individuals who show hypersensitivity reactions after receiving the first dose of the vaccine should not be given the second dose. administration must be postponed in persons with acute severe febrile conditions.",encephalitis vaccine,individuals who show hypersensitivity reactions
contradicted disease,aortic stenosis,0.999063,aortic stenosis or outflow tract obstruction. renovascular disease. severe resistant htn. peripheral vascular disease or generalized atherosclerosis.,enalapril maleate,peripheral vascular disease or generalized atherosclerosis
contradicted disease,renovascular,0.9986973,aortic stenosis or outflow tract obstruction. renovascular disease. severe resistant htn. peripheral vascular disease or generalized atherosclerosis.,enalapril maleate,peripheral vascular disease or generalized atherosclerosis
contradicted disease,peripheral vascular disease,0.9989299,aortic stenosis or outflow tract obstruction. renovascular disease. severe resistant htn. peripheral vascular disease or generalized atherosclerosis.,enalapril maleate,peripheral vascular disease or generalized atherosclerosis
contradicted drug,metformin,0.9585366,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted disease,metabolic acidosis,0.9986817,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted disease,lactic acidosis,0.97402024,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted disease,ketoacidosis,0.94258326,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted disease,coma,0.9980691,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted disease,renal failure,0.99983746,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted disease,shock disease,0.8941285,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted disease,heart failure,0.69516915,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted disease,respiratory,0.8535015,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted patient history,failure,0.44633046,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted patient history,recent,0.63017565,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted disease,shock,0.7326715,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted patient history,alcohol intoxi,0.74704576,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted patient history,alcoholism,0.7555804,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",empagliflozin + metformin hydrochloride,hypersensitivity to empagliflozin and metformin
contradicted disease,dysfunction,0.9824854,"known or suspected biliary duct obstruction, sphincter of oddi disease or dysfunction &amp; pancreatitis.",eluxadoline,known or suspected biliary duct obstruction
contradicted drug,elagolix,0.9076253,"elagolix is contraindicated in women: who are pregnant exposure to orilissa early in pregnancy may increase the risk of early pregnancy loss. with known osteoporosis because of the risk of further bone loss with severe hepatic impairment because of the risk of bone loss with concomitant use of strong organic anion transporting polypeptide (oatp) 1b1 inhibitors (e.g., cyclosporine and gemfibrozil)",elagolix,exposure to orilissa early in pregnancy
contradicted subject,pregnant,0.6855038,"elagolix is contraindicated in women: who are pregnant exposure to orilissa early in pregnancy may increase the risk of early pregnancy loss. with known osteoporosis because of the risk of further bone loss with severe hepatic impairment because of the risk of bone loss with concomitant use of strong organic anion transporting polypeptide (oatp) 1b1 inhibitors (e.g., cyclosporine and gemfibrozil)",elagolix,exposure to orilissa early in pregnancy
contradicted disease,bone loss,0.8264525,"elagolix is contraindicated in women: who are pregnant exposure to orilissa early in pregnancy may increase the risk of early pregnancy loss. with known osteoporosis because of the risk of further bone loss with severe hepatic impairment because of the risk of bone loss with concomitant use of strong organic anion transporting polypeptide (oatp) 1b1 inhibitors (e.g., cyclosporine and gemfibrozil)",elagolix,exposure to orilissa early in pregnancy
contradicted disease,bone loss,0.9661391,"elagolix is contraindicated in women: who are pregnant exposure to orilissa early in pregnancy may increase the risk of early pregnancy loss. with known osteoporosis because of the risk of further bone loss with severe hepatic impairment because of the risk of bone loss with concomitant use of strong organic anion transporting polypeptide (oatp) 1b1 inhibitors (e.g., cyclosporine and gemfibrozil)",elagolix,exposure to orilissa early in pregnancy
contradicted drug,organic,0.98599887,"elagolix is contraindicated in women: who are pregnant exposure to orilissa early in pregnancy may increase the risk of early pregnancy loss. with known osteoporosis because of the risk of further bone loss with severe hepatic impairment because of the risk of bone loss with concomitant use of strong organic anion transporting polypeptide (oatp) 1b1 inhibitors (e.g., cyclosporine and gemfibrozil)",elagolix,exposure to orilissa early in pregnancy
contradicted drug,anion transporting polypeptide (,0.98450994,"elagolix is contraindicated in women: who are pregnant exposure to orilissa early in pregnancy may increase the risk of early pregnancy loss. with known osteoporosis because of the risk of further bone loss with severe hepatic impairment because of the risk of bone loss with concomitant use of strong organic anion transporting polypeptide (oatp) 1b1 inhibitors (e.g., cyclosporine and gemfibrozil)",elagolix,exposure to orilissa early in pregnancy
contradicted drug,oatp ) 1b1 inhibitors,0.9956142,"elagolix is contraindicated in women: who are pregnant exposure to orilissa early in pregnancy may increase the risk of early pregnancy loss. with known osteoporosis because of the risk of further bone loss with severe hepatic impairment because of the risk of bone loss with concomitant use of strong organic anion transporting polypeptide (oatp) 1b1 inhibitors (e.g., cyclosporine and gemfibrozil)",elagolix,exposure to orilissa early in pregnancy
