group,indication,Score,drug_class
Diagnostic_procedure,nicotinic acid group,0.9980996,nicotinic acid group
Medication,piperidinyl - benzisoxazole derivative,0.97959864,piperidinyl-benzisoxazole derivative
Therapeutic_procedure,anticho,0.5940832,anticholinergic bronchodilators
Medication,chemotherapy,0.9871837,immunological chemotherapy
Detailed_description,rapid acting,0.99982774,rapid acting insulin
Medication,insulin,0.99549073,rapid acting insulin
Detailed_description,medium acting,0.9996088,medium acting insulin
Medication,insulin,0.99806815,medium acting insulin
Detailed_description,long acting,0.9970914,long acting insulin
Medication,insulin,0.9965904,long acting insulin
Administration,oral,0.9950014,oral retinoids for acne
Diagnostic_procedure,nitrates,0.8410168,nitrates: coronary vasodilators
Biological_structure,coronary,0.8145119,nitrates: coronary vasodilators
Diagnostic_procedure,vasodilators,0.9349185,nitrates: coronary vasodilators
Therapeutic_procedure,dressing,0.88684696,dressing products for wounds/burns/ulcers
Therapeutic_procedure,wounds,0.77315,dressing products for wounds/burns/ulcers
Sign_symptom,burns,0.9107289,dressing products for wounds/burns/ulcers
Medication,cromoglycate & related drugs,0.9677244,cromoglycate & related drugs
Therapeutic_procedure,analgesics,0.927403,non opioid analgesics
Medication,general (,0.95353484,general (intravenous) anesthetics
Administration,intra,0.99727184,general (intravenous) anesthetics
Medication,) anesthetics,0.89906037,general (intravenous) anesthetics
Diagnostic_procedure,digestive enzyme,0.99868447,digestive enzyme
Medication,drugs,0.9129294,drugs for muscular energy metabolism
Diagnostic_procedure,muscular energy metabolism,0.9875633,drugs for muscular energy metabolism
Disease_disorder,migraine,0.9826165,other drugs for migraine
Medication,thyroid,0.79653174,thyroid drugs & hormone
Diagnostic_procedure,drugs & hormone,0.7205525,thyroid drugs & hormone
Detailed_description,emergency,0.9981098,emergency contraceptive pill
Medication,contra,0.9756749,emergency contraceptive pill
Medication,anti -,0.84228384,anti-histamine & decongestant
Medication,histamine,0.86801416,anti-histamine & decongestant
Medication,deco,0.88088536,anti-histamine & decongestant
Sign_symptom,anti,0.99769884,anti-diarrhoeal
Sign_symptom,diarrhoeal,0.8803712,anti-diarrhoeal
Medication,anti -,0.9900601,anti-manic drugs
Disease_disorder,manic,0.6920125,anti-manic drugs
Medication,drugs,0.98265475,anti-manic drugs
Therapeutic_procedure,osmotic diuretics,0.9340529,osmotic diuretics
Diagnostic_procedure,electrolytes preparations,0.98270977,electrolytes preparations
Therapeutic_procedure,laxative preparations,0.9878686,other laxative preparations
Medication,anti - alzheimer drugs,0.9719462,anti-alzheimer drugs
Medication,methoxsalen preparation,0.88435674,methoxsalen preparation
Diagnostic_procedure,aminosalicylates,0.99975646,aminosalicylates
Medication,leishmaniacides,0.89967424,leishmaniacides
Medication,leukotriene receptor antagonist,0.899064,leukotriene receptor antagonists
Detailed_description,multi,0.99918693,multi-vitamin & multi-mineral combined preparations
Detailed_description,vitamin,0.8092595,multi-vitamin & multi-mineral combined preparations
Detailed_description,multi - mineral,0.87136954,multi-vitamin & multi-mineral combined preparations
Diagnostic_procedure,combined preparations,0.76874316,multi-vitamin & multi-mineral combined preparations
Medication,meglitinide analogue,0.8464842,meglitinide analogues
Medication,steroid,0.7299391,ophthalmic non-steroid combined preparations
Diagnostic_procedure,combined preparations,0.67304814,ophthalmic non-steroid combined preparations
Diagnostic_procedure,hormone,0.9999474,hormone in bone formation by stimulation
Biological_structure,bone,0.936129,hormone in bone formation by stimulation
Diagnostic_procedure,formation,0.98514855,hormone in bone formation by stimulation
Detailed_description,stimulation,0.7999119,hormone in bone formation by stimulation
Diagnostic_procedure,potassium - channel activator,0.9190741,potassium-channel activator
Diagnostic_procedure,anti - cholinesterases,0.91124815,anti-cholinesterases
Medication,anti,0.9679872,anti-infective & anesthetic combined preparations
Detailed_description,combined,0.4415794,anti-infective & anesthetic combined preparations
Therapeutic_procedure,preparations,0.5331882,anti-infective & anesthetic combined preparations
Administration,topical,0.5096783,ophthalmic and topical antibacterial products
Diagnostic_procedure,antibacterial products,0.7134811,ophthalmic and topical antibacterial products
Diagnostic_procedure,x receptor agonists,0.87471265,farnesoid x receptor agonists
Lab_value,alpha,0.94112724,alpha and beta-adrenergic agonist
Medication,h2 receptor antagonist,0.91264427,h2 receptor antagonist
Detailed_description,systemic,0.99996865,systemic urinary anti- infective
Detailed_description,anti - infective,0.929858,systemic urinary anti- infective
Sign_symptom,anti,0.8546154,anti-diarrhoeal antiprotozoal
Sign_symptom,diarrhoeal,0.89178836,anti-diarrhoeal antiprotozoal
Administration,oral,0.99928814,oral electrolytes preparations
Diagnostic_procedure,electro,0.93627924,oral electrolytes preparations
Diagnostic_procedure,preparations,0.84132797,oral electrolytes preparations
Medication,anti,0.9892005,antihistamines anti-allergies & hypo-sensitisation
Sign_symptom,anti - allergies,0.9997946,antihistamines anti-allergies & hypo-sensitisation
Medication,growth hormone antagonist,0.9984569,growth hormone antagonist
Diagnostic_procedure,anti neo,0.5368074,anti neoplastic preparations
Medication,ocular perioperative drugs,0.9963996,ocular perioperative drugs
Medication,appetite suppressant drugs,0.9202675,appetite suppressant drugs/anti-obesity drugs
Medication,anti - obesity drugs,0.92140293,appetite suppressant drugs/anti-obesity drugs
Detailed_description,perito,0.8558838,peritoneal dialysis solution
Therapeutic_procedure,dialysis solution,0.99598056,peritoneal dialysis solution
Medication,drug,0.49545962,hematopoietic drug
Diagnostic_procedure,mecillinams,0.72484225,mecillinams
Diagnostic_procedure,group,0.49359217,thiazolidinedione group
Medication,drugs affecting the,0.7872779,drugs affecting the immune response
Diagnostic_procedure,immune response,0.90225905,drugs affecting the immune response
Medication,drugs,0.8157731,drugs affecting exocrine secretions
Sign_symptom,affecting,0.35857248,drugs affecting exocrine secretions
Diagnostic_procedure,exocrine secretions,0.89238584,drugs affecting exocrine secretions
Diagnostic_procedure,vitamin - k preparations,0.9516184,vitamin-k preparations
Diagnostic_procedure,iodine compounds,0.8952396,iodine compounds (anti-septic preparations)
Detailed_description,repeated,0.639057,prevention of repeated kidney stone formation
Biological_structure,kidney,0.5602155,prevention of repeated kidney stone formation
Sign_symptom,stone formation,0.65422153,prevention of repeated kidney stone formation
Medication,drugs,0.97528857,drugs used in myasthenia gravis
Disease_disorder,myasthenia,0.8927575,drugs used in myasthenia gravis
Therapeutic_procedure,deco,0.53199387,decongestant
Medication,drugs for,0.89739245,drugs for age-related macular degeneration (amd)
Disease_disorder,related,0.45532796,drugs for age-related macular degeneration (amd)
Disease_disorder,macular degeneration,0.993065,drugs for age-related macular degeneration (amd)
Administration,oral,0.9994436,oral anti-coagulants
Medication,anti - coagulants,0.99802655,oral anti-coagulants
Disease_disorder,neuromuscular disorder,0.89626044,neurodegenerative disease drugs / neuromuscular disorder drugs
Medication,drugs,0.74405473,neurodegenerative disease drugs / neuromuscular disorder drugs
Medication,anti,0.8195872,combined anti- tubercular preparations
Therapeutic_procedure,tube,0.3719814,combined anti- tubercular preparations
Medication,anti,0.9996244,anti-tubercular antibiotics
Medication,tube,0.99964345,anti-tubercular antibiotics
Diagnostic_procedure,combined preparations,0.4374612,combined preparations
Administration,topical,0.9983625,topical salicylic preparation
Therapeutic_procedure,salicylic preparation,0.8111311,topical salicylic preparation
Detailed_description,serum,0.9982665,drugs for reduction of serum phosphorus in patients with esrd
Diagnostic_procedure,phosphorus,0.99957365,drugs for reduction of serum phosphorus in patients with esrd
Diagnostic_procedure,prostacyclin receptor agonist,0.87347066,non-prostanoid ip prostacyclin receptor agonist
Diagnostic_procedure,hormone,0.9999727,hormone in bone formation by inhibiting bone resorption
Diagnostic_procedure,bone formation,0.97983146,hormone in bone formation by inhibiting bone resorption
Diagnostic_procedure,bone resorption,0.9970822,hormone in bone formation by inhibiting bone resorption
Therapeutic_procedure,mast,0.46575794,mast cell stabiliser
Detailed_description,cell stabilis,0.60222584,mast cell stabiliser
Sign_symptom,anti,0.36064726,anti-dyspeptic/carminatives
Sign_symptom,dyspe,0.46915698,anti-dyspeptic/carminatives
Medication,drugs,0.96469694,drugs for lens opacification
Therapeutic_procedure,lens opacification,0.9762895,drugs for lens opacification
Medication,vasodilator antihypertensive drugs,0.9858931,vasodilator antihypertensive drugs
Detailed_description,antica,0.55137336,anticavity mouthwash
Medication,sulphonamides,0.84143865,sulphonamides & trimethoprim
Medication,trimethoprim,0.6862977,sulphonamides & trimethoprim
Medication,drugs,0.95806473,drugs for irritable bowel syndrome
Disease_disorder,irritable bowel syndrome,0.9901519,drugs for irritable bowel syndrome
Diagnostic_procedure,chelating complex,0.98410565,chelating complex
Disease_disorder,drugs,0.42847332,drugs for growth failure
Disease_disorder,growth failure,0.89019716,drugs for growth failure
Medication,muscle relaxants,0.98014927,depolarizing muscle relaxants
Diagnostic_procedure,male sex hormones (,0.9707075,male sex hormones (androgens)
Coreference,glycopeptide,0.88891447,glycopeptide
Detailed_description,selective,0.9952493,selective vasopressin v2-receptor antagonist
Medication,central depolarizing muscle relaxants,0.81815803,central depolarizing muscle relaxants
Diagnostic_procedure,anti - gallstones,0.9056946,anti-gallstones drugs: bile acids
Diagnostic_procedure,bile acids,0.999671,anti-gallstones drugs: bile acids
Administration,topical,0.9543747,topical urea preparations
Detailed_description,urea,0.40385836,topical urea preparations
Diagnostic_procedure,preparations,0.5053187,topical urea preparations
Medication,vitamin,0.46500874,vitamin-a preparations
Therapeutic_procedure,#NAME?,0.53772885,vitamin-a preparations
Diagnostic_procedure,soluble guanylate cyclase,0.9987062,stimulator of soluble guanylate cyclase
History,substance dependence,0.93587947,drugs used in substance dependence
Diagnostic_procedure,vitamin - c preparations,0.7223358,vitamin-c preparations
Detailed_description,diaper,0.8457431,drugs used in diaper rash
Sign_symptom,rash,0.5923541,drugs used in diaper rash
