generic_name,cases,head
ibuprofen,zen shoulde,zen shoulde
ifosfamide,testicular cancer,lymphoma
iloperidone,bipolar disorder,bipolar disorder
iloperidone,psychosis,psychosis
iloperidone,schizophrenia,schizophrenia
imiquimod,basal cell carcinoma,basal cell carcinoma
imiquimod,condylomata acuminata,condylomata acuminata
imiquimod,human papilloma virus,human papilloma virus
imiquimod,keratosis,skin
indapamide,edema,edema
indapamide,hypertension,hypertension
indapamide,hypertension,hypertension
infliximab,ankylosing spondylitis,arthritis
infliximab,behcet's disease,behcet's disease
infliximab,crohn's disease,crohn's disease
infliximab,"crohn's disease, acute",crohn's disease
infliximab,"crohn's disease, maintenance",crohn's disease
infliximab,juvenile idiopathic arthritis,arthritis
infliximab,psoriasis,skin
infliximab,psoriatic arthritis,arthritis
infliximab,rheumatoid arthritis,arthritis
infliximab,sjogren's syndrome,sjogren's syndrome
infliximab,ulcerative colitis,ulcer
infliximab,uveitis,uveitis
insulin aspart,"diabetes, diabetes insipidus",diabetes
insulin aspart,"diabetes, diabetes mellitus",diabetes
insulin degludec,"diabetes, diabetes insipidus",diabetes
insulin degludec,"diabetes, diabetes mellitus",diabetes
insulin detemir,"diabetes, diabetes insipidus",diabetes
insulin detemir,"diabetes, diabetes mellitus",diabetes
insulin glulisine,"diabetes, diabetes insipidus",diabetes
insulin glulisine,"diabetes, diabetes mellitus",diabetes
insulin lispro,"diabetes, diabetes insipidus",diabetes
insulin lispro,"diabetes, diabetes mellitus",diabetes
iohexol,body imaging,body imaging
irbesartan,diabetic kidney disease,diabetic
irbesartan,hypertension,hypertension
isoniazid,"tuberculosis, active",tuberculosis
isoniazid,"tuberculosis, latent",tuberculosis
isoniazid,"tuberculosis, prophylaxis",tuberculosis
isosorbide mononitrate,angina,heart diseases
isosorbide mononitrate,angina pectoris prophylaxis,heart diseases
isosorbide mononitrate,esophageal spasm,esophageal spasm
isosorbide mononitrate,heart failure,heart diseases
isradipine,hypertension,hypertension
isradipine,raynaud's syndrome,raynaud's syndrome
itraconazole,"aspergillosis, aspergilloma","aspergillosis, aspergilloma"
itraconazole,candidemia,candidiasis
itraconazole,dermatophytosis,dermatophytosis
itraconazole,histoplasmosis,histoplasmosis
itraconazole,"onychomycosis, fingernail","onychomycosis, fingernail"
itraconazole,"onychomycosis, toenail","onychomycosis, toenail"
itraconazole,sporotrichosis,sporotrichosis
itraconazole,ungal infection prophylaxis,infection
itraconazole,vaginal yeast infection,infection
ivabradine,heart failure,heart diseases
ketamine,anesthesia,anesthesia
ketamine,pain,pain
lacosamide,seizure,seizure
lactase,lactose intolerance,lactose intolerance
lactulose,"constipation, acute",constipation
lactulose,"constipation, chronic",constipation
lamotrigine,anxiety,anxiety
lamotrigine,bipolar disorder,bipolar disorder
lamotrigine,borderline personality disorder,mental
lamotrigine,cyclothymic disorder,cyclothymic disorder
lamotrigine,depression,anxiety
lamotrigine,epilepsy,epilepsy
lamotrigine,migraine prevention,migraine
lamotrigine,post traumatic stress disorder,anxiety
lamotrigine,restless legs syndrome,muscular
lamotrigine,schizoaffective disorder,schizoaffective disorder
lamotrigine,seizure prevention,seizure
lansoprazole,aspiration pneumonia,pneumonia
lansoprazole,barrett's esophagus,barrett's esophagus
lansoprazole,erosive esophagitis,gastroenteritis
lansoprazole,gastritis/duodenitis,gastritis/duodenitis
lansoprazole,gastroesophageal reflux disease,gastroenteritis
lansoprazole,gerd,gastroenteritis
lansoprazole,helicobacter pylori infection,infection
lansoprazole,stomach ulcer,ulcer
lanthanum carbonate,hyperphosphatemia of renal failure,kidney disease
latanoprost,"glaucoma, open angle",glaucoma
latanoprost,intraocular hypertension,hypertension
leflunomide,psoriatic arthritis,arthritis
leflunomide,rheumatoid arthritis,arthritis
lenalidomide,multiple myeloma,multiple myeloma
letrozole,breast cancer,lymphoma
letrozole,"breast cancer, adjuvant",lymphoma
letrozole,"breast cancer, metastatic",lymphoma
letrozole,emale infertility,emale infertility
levetiracetam,bipolar disorder,bipolar disorder
levetiracetam,epilepsy,epilepsy
levetiracetam,neuralgia,nervous system
levetiracetam,new daily persistent headache,headache
levetiracetam,seizure,seizure
levonorgestrel,abnormal uterine bleeding,abnormal uterine bleeding
levonorgestrel,birth control,birth control
levonorgestrel,emergency contraception,emergency contraception
lifitegrast,dry eye,eye
linagliptin,"diabetes, diabetes mellitus",diabetes
linezolid,bacterial infection,bacterial
linezolid,methicillin-resistant staphylococcus aureus infection,infection
linezolid,pneumonia,pneumonia
linezolid,skin and structure infection,skin
liraglutide,"diabetes, diabetes insipidus",diabetes
liraglutide,"diabetes, diabetes mellitus",diabetes
liraglutide,obesity,obesity
liraglutide,weight loss,weight loss
lisinopril,coronary artery disease,coronary artery disease
lisinopril,diabetic kidney disease,diabetic
lisinopril,heart failure,heart diseases
lisinopril,heart failure,heart diseases
lisinopril,hypertension,hypertension
lisinopril,hypertension,hypertension
lisinopril,migraine prevention,migraine
loratadine,allergic,allergic
loratadine,allergic rhinitis,allergic
loratadine,urticaria,urticaria
lorazepam,anxiety,anxiety
lorazepam,borderline personality disorder,mental
lorazepam,cervical dystonia,cervical dystonia
lorazepam,dysautonomia,dysautonomia
lorazepam,insomnia,anxiety
lorazepam,light anesthesia,anesthesia
lorazepam,nausea/vomiting,nausea
lorazepam,"nausea/vomiting, chemotherapy induced",nausea
lorazepam,panic disorder,anxiety
lorazepam,sedation,sedation
lorazepam,status epilepticus,crohn's disease
lubiprostone,constipation,constipation
lubiprostone,"constipation, chronic",constipation
lubiprostone,"constipation, drug induced",constipation
lubiprostone,irritable bowel syndrome,bowel function
lubiprostone,opioid-induced constipation,constipation
macitentan,pulmonary hypertension,lung
magaldrate,gastroesophageal reflux disease,gastroenteritis
magnesium hydroxide,acne,acne
magnesium hydroxide,constipation,constipation
magnesium hydroxide,gastroesophageal reflux disease,gastroenteritis
magnesium hydroxide,indigestion,gastroenteritis
magnesium oxide,constipation,constipation
magnesium oxide,gastroesophageal reflux disease,gastroenteritis
magnesium oxide,hypomagnesemia,hypomagnesemia
mebendazole,ascariasis,ascariasis
mefenamic acid,gout,arthritis
mefenamic acid,pain,pain
mefenamic acid,period pain,pain
mefloquine,malaria,malaria
mefloquine,malaria prevention,malaria
melatonin,insomnia,anxiety
meloxicam,gout,arthritis
meloxicam,fibromyalgia,muscular
meloxicam,inflammatory conditions,inflammation
meloxicam,juvenile rheumatoid arthritis,arthritis
meloxicam,osteoarthritis,arthritis
meloxicam,rheumatoid arthritis,arthritis
meloxicam,tendonitis,tendonitis
mercaptopurine,autoimmune hepatitis,hepatitis
mercaptopurine,"crohn's disease, acute",crohn's disease
mercaptopurine,"crohn's disease, maintenance",crohn's disease
mercaptopurine,"ulcerative colitis, maintenance",ulcer
methimazole,hyperthyroidism,thyroidism
methocarbamol,muscle spasm,muscular
methocarbamol,opiate withdrawal,opiate withdrawal
methotrexate,cogan's syndrome,cogan's syndrome
methotrexate,ectopic pregnancy,ectopic pregnancy
methotrexate,eczema,skin
methotrexate,gastric cancer,lymphoma
methotrexate,lymphoma,lymphoma
methotrexate,neoplastic diseases,neoplastic diseases
methotrexate,psoriasis,skin
methotrexate,psoriatic arthritis,arthritis
methotrexate,rheumatoid arthritis,arthritis
methotrexate,scleroderma,scleroderma
methotrexate,systemic sclerosis,sclerosis
methyldopa,hypertension,hypertension
methyldopa,hypertension,hypertension
methyldopa,hypertensive emergency,hypertensive emergency
methylprednisolone,allergic rhinitis,allergic
methylprednisolone,asthma,asthma
methylprednisolone,"asthma, acute",asthma
methylprednisolone,"asthma, maintenance",asthma
methylprednisolone,atopic dermatitis,skin
methylprednisolone,dermatologic lesion,dermatologic lesion
methylprednisolone,"gout, acute",arthritis
methylprednisolone,immunosuppression,immunosuppression
methylprednisolone,inflammatory conditions,inflammation
methylprednisolone,neuralgia,nervous system
methylprednisolone,osteoarthritis,arthritis
methylprednisolone,rheumatoid arthritis,arthritis
methylprednisolone acetate,atopic dermatitis,skin
metolazone,edema,edema
metolazone,hypertension,hypertension
metoprolol tartrate,heart failure,heart diseases
metoprolol tartrate,hypertension,hypertension
metoprolol tartrate,hypertension,hypertension
metronidazole,amebiasis,amebiasis
metronidazole,bacterial infection,bacterial
metronidazole,bacterial vaginitis,bacterial
metronidazole,bone infection,infection
metronidazole,clostridial infection,infection
metronidazole,"crohn's disease, acute",crohn's disease
metronidazole,"crohn's disease, maintenance",crohn's disease
metronidazole,deep neck infection,infection
metronidazole,dental abscess,oral & dental
metronidazole,diverticulitis,bowel function
metronidazole,diverticulitis of gastrointestinal tract,gastroenteritis
metronidazole,giardiasis,giardiasis
metronidazole,helicobacter pylori infection,infection
metronidazole,intraabdominal infection,infection
metronidazole,pelvic inflammatory disease,inflammation
metronidazole,perioral dermatitis,skin
metronidazole,pseudomembranous colitis,pseudomembranous colitis
metronidazole,rosacea,skin
metronidazole,skin or soft tissue infection,skin
metronidazole,std prophylaxis,std prophylaxis
metronidazole,surgical prophylaxis,surgical prophylaxis
metronidazole,trichomoniasis,trichomoniasis
midazolam,icu agitation,agitation
midazolam,light anesthesia,anesthesia
midazolam,light sedation,light sedation
mifepristone,abortion,abortion
minoxidil,alopecia,alopecia
minoxidil,hypertension,hypertension
minoxidil,hypertension,hypertension
minoxidil,women (minoxidil),women (minoxidil)
mirabegron,overactive bladder,bladder
mirabegron,urinary incontinence,specific urinary
mirtazapine,anxiety,anxiety
mirtazapine,depression,anxiety
mirtazapine,fibromyalgia,muscular
mirtazapine,hot flashes,hot flashes
mirtazapine,insomnia,anxiety
mirtazapine,depression,anxiety
mirtazapine,obsessive compulsive disorder,mental
mirtazapine,post traumatic stress disorder,anxiety
misoprostol,abortion,abortion
misoprostol,labor induction,labor induction
mupirocin,furunculosis,furunculosis
mupirocin,impetig,impetig
mupirocin,impetigo,impetigo
mupirocin,nasal carriage of staphylococcus aureus,nasal
mupirocin,secondary cutaneous bacterial infections,bacterial
mupirocin,skin and structure infection,skin
mycophenolate mofetil,autoimmune hepatitis,hepatitis
mycophenolate mofetil,multiple sclerosis,sclerosis
mycophenolate mofetil,myasthenia gravis,muscular
mycophenolate mofetil,nephrotic syndrome,nephrotic syndrome
mycophenolate mofetil,"organ transplant, rejection prophylaxis","organ transplant, rejection prophylaxis"
mycophenolate mofetil,psoriatic arthritis,arthritis
mycophenolate mofetil,rheumatoid arthritis,arthritis
mycophenolate mofetil,systemic lupus erythematosus,lupus
mycophenolate mofetil,uveitis,uveitis
mycophenolic acid,rejection prophylaxis,rejection prophylaxis
mycophenolic acid,tic (mycophenolic acid),tic (mycophenolic acid)
nabumetone,back pain,pain
nabumetone,muscle pain,muscular
nabumetone,osteoarthritis,arthritis
nabumetone,rheumatoid arthritis,arthritis
nabumetone,sciatica,pain
nabumetone,zen shoulde,zen shoulde
nalbuphine,pain,pain
naltrexone,alcohol dependence,alcohol
naltrexone,fibromyalgia,muscular
naltrexone,opiate dependence,opiate dependence
naltrexone,trichotillomania,trichotillomania
naproxen sodium,fever,cold-cough-fever
naproxen sodium,gout,arthritis
nepafenac,postoperative increased intraocular pressure,postoperative increased intraocular pressure
nepafenac,postoperative ocular inflammation,inflammation
nevirapine,hiv infection,infection
nifedipine,hypertension,hypertension
nifedipine,hypertension,hypertension
nifedipine,hypertensive emergency,hypertensive emergency
nifedipine,premature lab,premature lab
nifedipine,raynaud's syndrome,raynaud's syndrome
nilotinib,chronic myelogenous leukemia,leukemia
nimodipine,migraine prevention,migraine
nimodipine,subarachnoid hemorrhage,subarachnoid hemorrhage
niraparib,ovarian cancer,lymphoma
nitrofurantoin,bacterial urinary tract infection,specific urinary
nitrofurantoin,bladder infection,infection
nitrofurantoin,prevention of bladder infection,infection
nitrofurantoin,urinary tract infection,specific urinary
nivolumab,hodgkin's lymphoma,lymphoma
nivolumab,melanoma,melanoma
nivolumab,non-small cell lung cancer,lymphoma
nivolumab,renal cell carcinoma,kidney disease
nizatidine,gastroesophageal reflux disease,gastroenteritis
nizatidine,gerd,gastroenteritis
nizatidine,stomach ulcer,ulcer
nortriptyline,cyclic vomiting syndrome,cyclic vomiting syndrome
nortriptyline,depression,anxiety
nortriptyline,diabetic peripheral neuropathy,neurosis
nortriptyline,irritable bowel syndrome,bowel function
nortriptyline,migraine prevention,migraine
nortriptyline,neuralgia,nervous system
nortriptyline,neurosis,neurosis
nortriptyline,pain,pain
nortriptyline,panic disorder,anxiety
nortriptyline,postherpetic neuralgia,nervous system
nortriptyline,primary nocturnal enuresis,primary nocturnal enuresis
nortriptyline,reflex sympathetic dystrophy syndrome,reflex sympathetic dystrophy syndrome
nortriptyline,smoking cessation,smoking cessation
nortriptyline,vulvodynia,vulvodynia
olanzapine,agitation,agitation
olanzapine,asperger syndrome,asperger syndrome
olanzapine,bipolar disorder,bipolar disorder
olanzapine,borderline personality disorder,mental
olanzapine,depression,anxiety
olanzapine,insomnia,anxiety
olanzapine,depression,anxiety
olanzapine,obsessive compulsive disorder,mental
olanzapine,paranoid disorder,paranoid disorder
olanzapine,schizoaffective disorder,schizoaffective disorder
olanzapine,schizophrenia,schizophrenia
olanzapine,tourette's syndrome,nervous system
omalizumab,"asthma, maintenance",asthma
omalizumab,urticaria,urticaria
omeprazole,barrett's esophagus,barrett's esophagus
omeprazole,duodenal ulcer,ulcer
omeprazole,erosive esophagitis,gastroenteritis
omeprazole,gastritis/duodenitis,gastritis/duodenitis
omeprazole,gastroesophageal reflux disease,gastroenteritis
omeprazole,gerd,gastroenteritis
omeprazole,helicobacter pylori infection,infection
omeprazole,indigestion,gastroenteritis
omeprazole,multiple endocrine adenomas,multiple endocrine adenomas
omeprazole,stomach ulcer,ulcer
omeprazole,zollinger-ellison syndrome,zollinger-ellison syndrome
ondansetron,alcohol dependence,alcohol
ondansetron,gastroenteritis,gastroenteritis
ondansetron,nausea/vomiting,nausea
ondansetron,"nausea/vomiting, chemotherapy induced",nausea
ondansetron,"nausea/vomiting, postoperative",nausea
ondansetron,"nausea/vomiting, radiation induced",nausea
orlistat,nonalcoholic fatty liver disease,alcohol
orlistat,obesity,obesity
oseltamivir,avian influenza,influenza
oseltamivir,influenza,influenza
oseltamivir,influenza prophylaxis,influenza
oseltamivir,swine flu,swine flu
ospemifene,dyspareunia,dyspareunia
oxaliplatin,adenocarcinoma of pancreas,lymphoma
oxaliplatin,colorectal cancer,lymphoma
oxaprozin,gout,arthritis
oxaprozin,osteoarthritis,arthritis
oxaprozin,rheumatoid arthritis,arthritis
oxazepam,alcohol withdrawal,alcohol
oxazepam,anxiety,anxiety
oxazepam,insomnia,anxiety
oxcarbazepine,anxiety,anxiety
oxcarbazepine,bipolar disorder,bipolar disorder
oxcarbazepine,borderline personality disorder,mental
oxcarbazepine,cyclothymic disorder,cyclothymic disorder
oxcarbazepine,neuropathic pain,neurosis
oxcarbazepine,seizure,seizure
oxcarbazepine,trigeminal neuralgia,nervous system
oxytocin,labor induction,labor induction
paclitaxel,"breast cancer, metastatic",lymphoma
paclitaxel,ovarian cancer,lymphoma
palbociclib,"breast cancer, metastatic",lymphoma
paliperidone,autism,autism
paliperidone,bipolar disorder,bipolar disorder
paliperidone,depression,anxiety
paliperidone,infantile autism,autism
paliperidone,schizoaffective disorder,schizoaffective disorder
paliperidone,schizophrenia,schizophrenia
palonosetron,"nausea/vomiting, postoperative",nausea
pancreatin,chronic pancreatitis,chronic pancreatitis
pembrolizumab,colorectal cancer,lymphoma
pembrolizumab,head and neck cancer,lymphoma
pembrolizumab,melanoma,melanoma
pembrolizumab,"melanoma, metastatic","melanoma, metastatic"
pembrolizumab,non-small cell lung cancer,lymphoma
pemetrexed,non-small cell lung cancer,lymphoma
pentosan polysulfate sodium,bladder infection,infection
pentosan polysulfate sodium,interstitial cystitis,interstitial cystitis
pentoxifylline,intermittent claudication,intermittent claudication
perampanel,epilepsy,epilepsy
perampanel,seizure,seizure
permethrin,head lice,worms
permethrin,scabies,scabies
phenobarbital,hyperbilirubinemia,hyperbilirubinemia
phenobarbital,insomnia,anxiety
phenobarbital,sedation,sedation
phenobarbital,seizure,seizure
pimecrolimus,atopic dermatitis,skin
pimecrolimus,eczema,skin
pimecrolimus,perioral dermatitis,skin
pioglitazone,"diabetes, diabetes mellitus",diabetes
pitavastatin calcium,hypercholesterolemia,cholesterol
potassium chloride,hypokalemia,kalemia
potassium chloride,prevention of hypokalemia,kalemia
povidone iodine,topical disinfection,infection
pramipexole,fibromyalgia,muscular
pramipexole,parkinson's disease,parkinsonism
pramipexole,periodic limb movement disorder,sleep
pramipexole,restless legs syndrome,muscular
prednisolone,"asthma, acute",asthma
prednisolone,atopic dermatitis,skin
prednisolone,dermatitis,skin
prednisolone,immunosuppression,immunosuppression
prednisolone,inflammatory conditions,inflammation
prednisolone,nephrotic syndrome,nephrotic syndrome
prednisolone,postoperative ocular inflammation,inflammation
pregabalin,dercum's disease,dercum's disease
pregabalin,diabetic peripheral neuropathy,neurosis
pregabalin,epilepsy,epilepsy
pregabalin,fibromyalgia,muscular
pregabalin,anxiety,anxiety
pregabalin,fibromyalgia,muscular
pregabalin,migraine prevention,migraine
pregabalin,neuralgia,nervous system
pregabalin,neuropathic pain,neurosis
pregabalin,pain,pain
pregabalin,peripheral neuropathy,neurosis
pregabalin,postherpetic neuralgia,nervous system
pregabalin,reflex sympathetic dystrophy syndrome,reflex sympathetic dystrophy syndrome
pregabalin,restless legs syndrome,muscular
propofol,anesthesia,anesthesia
pyrimethamine,malaria prevention,malaria
racepinephrine,"asthma, acute",asthma
ramelteon,insomnia,anxiety
ramipril,cardiovascular risk reduction,cardiovascular risk reduction
ramipril,diabetic kidney disease,diabetic
ramipril,heart failure,heart diseases
ramipril,heart failure,heart diseases
ramipril,hypertension,hypertension
ramipril,hypertension,hypertension
ramipril,prevention of cerebrovascular accident,nervous system
ranibizumab,macular degeneration,macular issue
ranibizumab,macular edema,edema
ranolazine,angina,heart diseases
rasagiline,parkinson's disease,parkinsonism
regorafenib,gastrointestinal stromal tum,gastroenteritis
repaglinide,"diabetes, diabetes mellitus",diabetes
retapamulin,acne,acne
retapamulin,impetig,impetig
retapamulin,impetigo,impetigo
ribavirin,hepatitis c,hepatitis
riboflavin,headache,headache
riboflavin,migraine prevention,migraine
rifaximin,crohn's disease,crohn's disease
rifaximin,diarrhoea,diarrhoea
rifaximin,hepatic encephalopathy,hepatitis
rifaximin,irritable bowel syndrome,bowel function
rifaximin,traveler's diarrhoea,diarrhoea
riluzole,amyotrophic lateral sclerosis,sclerosis
riluzole,obsessive compulsive disorder,mental
rituximab,bullous pemphigoid,bullous pemphigoid
rituximab,cal segmental glomerulosclerosis,sclerosis
rituximab,chronic lymphocytic leukemia,leukemia
rituximab,microscopic polyangiitis,microscopic polyangiitis
rituximab,non-hodgkin's lymphoma,lymphoma
rituximab,pemphigoid,pemphigoid
rituximab,pemphigus,pemphigus
rituximab,rheumatoid arthritis,arthritis
rituximab,wegener's granulomatosis,inflammation
rivaroxaban,atrial fibrillation,heart diseases
rivaroxaban,deep vein thrombosis,thrombosis
rivaroxaban,"deep vein thrombosis, prophylaxis",thrombosis
rivaroxaban,"deep vein thrombosis, recurrent event",thrombosis
rivaroxaban,prevention of thromboembolism in atrial fibrillation,thrombosis
rivaroxaban,pulmonary embolism,lung
rivaroxaban,"pulmonary embolism, recurrent event",lung
roflumilast,copd,copd
roflumilast,"copd, maintenance","copd, maintenance"
ropinirole,parkinson's disease,parkinsonism
ropinirole,periodic limb movement disorder,sleep
ropinirole,restless legs syndrome,muscular
rosuvastatin,atherosclerosis,sclerosis
rosuvastatin,high cholesterol,cholesterol
rosuvastatin,"high cholesterol, familial heterozygous",cholesterol
rosuvastatin,"high cholesterol, familial homozygous",cholesterol
rosuvastatin,hypercholesterolemia,cholesterol
rosuvastatin,prevention of cardiovascular disease,prevention of cardiovascular disease
rosuvastatin,prevention of cerebrovascular accident,nervous system
ruxolitinib,myelofibrosis,myelofibrosis
ruxolitinib,polycythemia vera,polycythemia vera
salicylic acid,acne,acne
salicylic acid,dermatitis,skin
salicylic acid,warts,warts
salsalate,osteoarthritis,arthritis
salsalate,rheumatoid arthritis,arthritis
saxagliptin,"diabetes, diabetes mellitus",diabetes
secukinumab,ankylosing spondylitis,arthritis
secukinumab,plaque psoriasis,skin
secukinumab,psoriatic arthritis,arthritis
selexipag,pulmonary hypertension,lung
silodosin,benign prostatic hyperplasia,lymphoma
silver sulfadiazine,"burns, external","burns, external"
simethicone,flatulence,flatulence
simethicone,gastroenteritis,gastroenteritis
simethicone,unctional gastric disorder,gastroenteritis
simvastatin,cardiovascular risk reduction,cardiovascular risk reduction
simvastatin,high cholesterol,cholesterol
simvastatin,"high cholesterol, familial heterozygous",cholesterol
simvastatin,hypercholesterolemia,cholesterol
simvastatin,"hyperlipoproteinemia type iia, elevated ldl","hyperlipoproteinemia type iia, elevated ldl"
simvastatin,prevention of cerebrovascular accident,nervous system
sitagliptin,"diabetes, diabetes mellitus",diabetes
sodium bicarbonate,asystole,asystole
sodium hypochlorite,topical disinfection,infection
sodium polystyrene sulfonate,hyperkalemia,kalemia
sofosbuvir,hepatitis c,hepatitis
somatropin,adult human growth hormone deficiency,adult human growth hormone deficiency
somatropin,aids related wasting,aids related wasting
somatropin,hypopituitarism,hypopituitarism
somatropin,pediatric growth hormone deficiency,pediatric growth hormone deficiency
somatropin,short stature,short stature
somatropin,turner's syndrome,turner's syndrome
spironolactone,acne,acne
spironolactone,alopecia,alopecia
spironolactone,edema,edema
spironolactone,gender dysphoria,certain hereditary disorders
spironolactone,heart failure,heart diseases
spironolactone,hypertension,hypertension
spironolactone,hirsutism,hirsutism
spironolactone,hypertension,hypertension
spironolactone,hypokalemia,kalemia
spironolactone,primary hyperaldosteronism,aldosteronism
spironolactone,primary hyperaldosteronism diagnosis,aldosteronism
streptokinase,heart failure,heart diseases
streptomycin,bacterial urinary tract infection,specific urinary
sucralfate,duodenal ulcer,ulcer
sucralfate,gastroesophageal reflux disease,gastroenteritis
sucralfate,gerd,gastroenteritis
sucralfate,stomach ulcer,ulcer
sucralfate,stress ulcer prophylaxis,ulcer
sulfacetamide sodium,bacterial conjunctivitis,conjunctivitis
sulfacetamide sodium,conjunctivitis,conjunctivitis
sulfacetamide sodium,seborrheic dermatitis,skin
sulfasalazine,crohn's disease,crohn's disease
sulfasalazine,"crohn's disease, acute",crohn's disease
sulfasalazine,inflammatory bowel disease,inflammation
sulfasalazine,juvenile rheumatoid arthritis,arthritis
sulfasalazine,psoriatic arthritis,arthritis
sulfasalazine,rheumatoid arthritis,arthritis
sulfasalazine,ulcerative colitis,ulcer
sulfinpyrazone,gouty arthritis,arthritis
sulindac,ankylosing spondylitis,arthritis
sulindac,"gout, acute",arthritis
sulindac,juvenile rheumatoid arthritis,arthritis
sulindac,osteoarthritis,arthritis
sulindac,pain,pain
sulindac,rheumatoid arthritis,arthritis
sumatriptan,cluster headaches,headache
sumatriptan,cyclic vomiting syndrome,cyclic vomiting syndrome
sumatriptan,migraine,migraine
sumatriptan,new daily persistent headache,headache
sunitinib,renal cell carcinoma,kidney disease
suvorexant,insomnia,anxiety
tadalafil,benign prostatic hyperplasia,lymphoma
tadalafil,erectile dysfunction,erectile dysfunction
tadalafil,pulmonary hypertension,lung
tafluprost,"glaucoma, open angle",glaucoma
tafluprost,glaucoma/intraocular hypertension,glaucoma
tafluprost,intraocular hypertension,hypertension
tazarotene,acial wrinkles,acial wrinkles
tazarotene,acne,acne
tazarotene,psoriasis,skin
tegaserod,"constipation, chronic",constipation
tegaserod,irritable bowel syndrome,bowel function
telmisartan,hypertension,hypertension
telmisartan,hypertension,hypertension
telmisartan,prevention of cardiovascular disease,prevention of cardiovascular disease
telmisartan,prevention of cerebrovascular accident,nervous system
temazepam,insomnia,anxiety
temozolomide,anaplastic astrocytoma,anaplastic astrocytoma
temozolomide,anaplastic oligodendroglioma,anaplastic oligodendroglioma
temozolomide,glioblastoma multi,glioblastoma multi
temozolomide,me,me
temozolomide,"melanoma, metastatic","melanoma, metastatic"
terconazole,vaginal yeast infection,infection
terconazole,vulvovaginal candidiasis,candidiasis
teriparatide,hypoparathyroidism,thyroidism
teriparatide,osteoporosis,arthritis
theophylline,"asthma, acute",asthma
theophylline,"asthma, maintenance",asthma
thioridazine,schizophrenia,schizophrenia
ticagrelor,acute coronary syndrome,acute coronary syndrome
ticagrelor,prevention of atherothrombotic events,thrombosis
tigecycline,diverticulitis of gastrointestinal tract,gastroenteritis
timolol maleate,hypertension,hypertension
tinidazole,bacterial vaginitis,bacterial
tinidazole,giardiasis,giardiasis
tinidazole,trichomoniasis,trichomoniasis
tioconazole,vaginal yeast infection,infection
tioconazole,vulvovaginal candidiasis,candidiasis
tocilizumab,juvenile idiopathic arthritis,arthritis
tocilizumab,rheumatoid arthritis,arthritis
tofacitinib,rheumatoid arthritis,arthritis
tolnaftate,tinea cruris,tinea cruris
tolnaftate,tinea versicol,tinea versicol
topiramate,bipolar disorder,bipolar disorder
topiramate,borderline personality disorder,mental
topiramate,bulimia,bulimia
topiramate,diabetic peripheral neuropathy,neurosis
topiramate,fibromyalgia,muscular
topiramate,migraine prevention,migraine
topiramate,obesity,obesity
topiramate,seizure prevention,seizure
topiramate,seizure,seizure
topiramate,smoking cessation,smoking cessation
topiramate,tourette's syndrome,nervous system
topiramate,trigeminal neuralgia,nervous system
topiramate,vulvodynia,vulvodynia
torsemide,edema,edema
torsemide,hypertension,hypertension
torsemide,hypertension,hypertension
tranexamic acid,actor ix deficiency,actor ix deficiency
tranexamic acid,bleeding disorder,bleeding disorder
tranexamic acid,melasma,melasma
tranexamic acid,menorrhagia,menorrhagia
tranexamic acid,menstrual disorders,menstrual disorders
trastuzumab,breast cancer,lymphoma
trastuzumab,"breast cancer, adjuvant",lymphoma
trastuzumab,"breast cancer, metastatic",lymphoma
trastuzumab,salivary gland cancer,lymphoma
travoprost,"glaucoma, open angle",glaucoma
trifluoperazine,anxiety,anxiety
trifluoperazine,schizophrenia,schizophrenia
tropicamide,pupillary dilation,pupillary dilation
valacyclovir,chickenpox,chickenpox
valacyclovir,cmv prophylaxis,cmv prophylaxis
valacyclovir,cold sores,cold-cough-fever
valacyclovir,genital herpes simplex,infectious
valacyclovir,"herpes simplex, mucocutaneous/immunocompetent host",infectious
valacyclovir,"herpes simplex, mucocutaneous/immunocompromised host",infectious
valacyclovir,"herpes simplex, suppression",infectious
valacyclovir,herpes zoste,herpes zoste
valacyclovir,herpes zoster,herpes zoster
valacyclovir,multiple sclerosis,sclerosis
valacyclovir,ramsay hunt syndrome,ramsay hunt syndrome
valacyclovir,varicella-zoste,varicella-zoste
valganciclovir,cmv prophylaxis,cmv prophylaxis
valsartan,hypertension,hypertension
valsartan,hypertension,hypertension
valsartan,left ventricular dysfunction,heart diseases
vardenafil,erectile dysfunction,erectile dysfunction
zafirlukast,"asthma, maintenance",asthma
zaleplon,insomnia,anxiety
zinc oxide,dermatologic lesion,dermatologic lesion
zinc oxide,diaper rash,rash
zinc oxide,hemorrhoids,hemorrhoids
ziprasidone,autism,autism
ziprasidone,bipolar disorder,bipolar disorder
ziprasidone,body dysmorphic disorder,body dysmorphic disorder
ziprasidone,obsessive compulsive disorder,mental
ziprasidone,paranoid disorder,paranoid disorder
ziprasidone,schizoaffective disorder,schizoaffective disorder
ziprasidone,schizophrenia,schizophrenia
ziprasidone,tourette's syndrome,nervous system
zolmitriptan,cluster headaches,headache
zolmitriptan,migraine,migraine
zonisamide,benign essential trem,benign essential trem
zonisamide,migraine prevention,migraine
zonisamide,seizure,seizure
aceclofenac,"osteoarthritis, rheumatoid arthritis",arthritis
curcuminoids [curcuma longa],rheumatoid arthritis,arthritis
"fishar [snake root, potassium, magnesium]",hypertension,hypertension
amlodipine besilate,essential hypertension,hypertension
