generic_name,cases,head,singular_case,main_generic_name
gemcitabine,"breast cancer, metastatic",lymphoma,"breast cancer, metastatic",gemcitabine
gemcitabine,pancreatic cancer,lymphoma,pancreatic cancer,gemcitabine
gemfibrozil,high cholesterol,cholesterol,high cholesterol,gemfibrozil
gemifloxacin,bronchitis,bronchitis,bronchitis,gemifloxacin
gemifloxacin,pneumonia,pneumonia,pneumonia,gemifloxacin
gentian violet,oral thrush,oral & dental,oral thrush,gentian violet
glimepiride,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus",glimepiride
glipizide,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus",glipizide
glycerin,constipation,constipation,constipation,glycerin
golimumab,ankylosing spondylitis,arthritis,ankylosing spondylitis,golimumab
golimumab,psoriatic arthritis,arthritis,psoriatic arthritis,golimumab
golimumab,rheumatoid arthritis,arthritis,rheumatoid arthritis,golimumab
golimumab,ulcerative colitis,ulcer,ulcerative colitis,golimumab
granisetron,"nausea/vomiting, chemotherapy induced",nausea,"nausea/vomiting, chemotherapy induced",granisetron
granisetron,"nausea/vomiting, postoperative",nausea,"nausea/vomiting, postoperative",granisetron
halcinonide,dermatitis,skin,dermatitis,halcinonide
halcinonide,eczema,skin,eczema,halcinonide
halobetasol propionate,atopic dermatitis,skin,atopic dermatitis,halobetasol propionate
haloperidol,aggressive behavi,aggressive behavi,aggressive behavi,haloperidol
haloperidol,dementia,dementia,dementia,haloperidol
haloperidol,icu agitation,agitation,icu agitation,haloperidol
haloperidol,mania,mania,mania,haloperidol
haloperidol,nausea/vomiting,nausea,nausea/vomiting,haloperidol
haloperidol,psychosis,psychosis,psychosis,haloperidol
haloperidol,tourette's syndrome,nervous system,tourette's syndrome,haloperidol
hydrochlorothiazide,edema,edema,edema,hydrochlorothiazide
hydrochlorothiazide,hypertension,hypertension,hypertension,hydrochlorothiazide
hydrochlorothiazide,hypertension,hypertension,hypertension,hydrochlorothiazide
hydrochlorothiazide,nephrocalcinosis,nephrocalcinosis,nephrocalcinosis,hydrochlorothiazide
hydrocortisone,addison's disease,addison's disease,addison's disease,hydrocortisone
hydrocortisone,adrenocortical insufficiency,adrenocortical insufficiency,adrenocortical insufficiency,hydrocortisone
hydrocortisone,atopic dermatitis,skin,atopic dermatitis,hydrocortisone
hydrocortisone,dermatitis,skin,dermatitis,hydrocortisone
hydrocortisone,eczema,skin,eczema,hydrocortisone
hydrocortisone,hemorrhoids,hemorrhoids,hemorrhoids,hydrocortisone
hydrocortisone,inflammatory conditions,inflammation,inflammatory conditions,hydrocortisone
hydrocortisone,pruritus,skin,pruritus,hydrocortisone
hydrocortisone,psoriasis,skin,psoriasis,hydrocortisone
hydrocortisone,skin rash,skin,skin rash,hydrocortisone
hydrocortisone,ulcerative proctitis,ulcer,ulcerative proctitis,hydrocortisone
hydrocortisone acetate,atopic dermatitis,skin,atopic dermatitis,hydrocortisone acetate
hydrocortisone acetate,hemorrhoids,hemorrhoids,hemorrhoids,hydrocortisone acetate
hydrocortisone butyrate,atopic dermatitis,skin,atopic dermatitis,hydrocortisone butyrate
hydroquinone,dermatitis,skin,dermatitis,hydroquinone
hydroxocobalamin,vitamin b12 deficiency,vitamin,vitamin b12 deficiency,hydroxocobalamin
hydroxyurea,"anemia, sickle cell",anemia,"anemia, sickle cell",hydroxyurea
hydroxyurea,polycythemia vera,polycythemia vera,polycythemia vera,hydroxyurea
hydroxyurea,thrombocythemia,thrombosis,thrombocythemia,hydroxyurea
hylan g-f 20,osteoarthritis,arthritis,osteoarthritis,hylan g-f 20
ibrutinib,chronic lymphocytic leukemia,leukemia,chronic lymphocytic leukemia,ibrutinib
ibuprofen,back pain,pain,back pain,ibuprofen
ibuprofen,cystic fibrosis,cystic fibrosis,cystic fibrosis,ibuprofen
ibuprofen,fever,cold-cough-fever,fever,ibuprofen
ibuprofen,fever,cold-cough-fever,fever,ibuprofen
ibuprofen,gout,arthritis,gout,ibuprofen
ibuprofen,"gout, acute",arthritis,"gout, acute",ibuprofen
ibuprofen,headache,headache,headache,ibuprofen
ibuprofen,muscle pain,muscular,muscle pain,ibuprofen
ibuprofen,neck pain,pain,neck pain,ibuprofen
ibuprofen,osteoarthritis,arthritis,osteoarthritis,ibuprofen
ibuprofen,pain,pain,pain,ibuprofen
ibuprofen,patent ductus arteriosus,patent ductus arteriosus,patent ductus arteriosus,ibuprofen
ibuprofen,period pain,pain,period pain,ibuprofen
ibuprofen,rheumatoid arthritis,arthritis,rheumatoid arthritis,ibuprofen
ibuprofen,sciatica,pain,sciatica,ibuprofen
ibuprofen,spondylolisthesis,spondylolisthesis,spondylolisthesis,ibuprofen
ibuprofen,temporomandibular joint disorder,joint disorders,temporomandibular joint disorder,ibuprofen
ibuprofen,toothache,oral & dental,toothache,ibuprofen
ibuprofen,zen shoulde,zen shoulde,zen shoulde,ibuprofen
ifosfamide,testicular cancer,lymphoma,testicular cancer,ifosfamide
iloperidone,bipolar disorder,bipolar disorder,bipolar disorder,iloperidone
iloperidone,psychosis,psychosis,psychosis,iloperidone
iloperidone,schizophrenia,schizophrenia,schizophrenia,iloperidone
imiquimod,basal cell carcinoma,basal cell carcinoma,basal cell carcinoma,imiquimod
imiquimod,condylomata acuminata,condylomata acuminata,condylomata acuminata,imiquimod
imiquimod,human papilloma virus,human papilloma virus,human papilloma virus,imiquimod
imiquimod,keratosis,skin,keratosis,imiquimod
indapamide,edema,edema,edema,indapamide
indapamide,hypertension,hypertension,hypertension,indapamide
indapamide,hypertension,hypertension,hypertension,indapamide
infliximab,ankylosing spondylitis,arthritis,ankylosing spondylitis,infliximab
infliximab,behcet's disease,behcet's disease,behcet's disease,infliximab
infliximab,crohn's disease,crohn's disease,crohn's disease,infliximab
infliximab,"crohn's disease, acute",crohn's disease,"crohn's disease, acute",infliximab
infliximab,"crohn's disease, maintenance",crohn's disease,"crohn's disease, maintenance",infliximab
infliximab,juvenile idiopathic arthritis,arthritis,juvenile idiopathic arthritis,infliximab
infliximab,psoriasis,skin,psoriasis,infliximab
infliximab,psoriatic arthritis,arthritis,psoriatic arthritis,infliximab
infliximab,rheumatoid arthritis,arthritis,rheumatoid arthritis,infliximab
infliximab,sjogren's syndrome,sjogren's syndrome,sjogren's syndrome,infliximab
infliximab,ulcerative colitis,ulcer,ulcerative colitis,infliximab
infliximab,uveitis,uveitis,uveitis,infliximab
insulin aspart,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus",insulin aspart
insulin aspart,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus",insulin aspart
insulin degludec,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus",insulin degludec
insulin degludec,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus",insulin degludec
insulin detemir,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus",insulin detemir
insulin detemir,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus",insulin detemir
insulin glulisine,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus",insulin glulisine
insulin glulisine,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus",insulin glulisine
insulin lispro,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus",insulin lispro
insulin lispro,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus",insulin lispro
iohexol,body imaging,body imaging,body imaging,iohexol
irbesartan,diabetic kidney disease,diabetic,diabetic kidney disease,irbesartan
irbesartan,hypertension,hypertension,hypertension,irbesartan
isoniazid,"tuberculosis, active",tuberculosis,"tuberculosis, active",isoniazid
isoniazid,"tuberculosis, latent",tuberculosis,"tuberculosis, latent",isoniazid
isoniazid,"tuberculosis, prophylaxis",tuberculosis,"tuberculosis, prophylaxis",isoniazid
isosorbide mononitrate,angina,heart diseases,angina,isosorbide mononitrate
isosorbide mononitrate,angina pectoris prophylaxis,heart diseases,angina pectoris prophylaxis,isosorbide mononitrate
isosorbide mononitrate,esophageal spasm,esophageal spasm,esophageal spasm,isosorbide mononitrate
isosorbide mononitrate,heart failure,heart diseases,heart failure,isosorbide mononitrate
isradipine,hypertension,hypertension,hypertension,isradipine
isradipine,raynaud's syndrome,raynaud's syndrome,raynaud's syndrome,isradipine
itraconazole,"aspergillosis, aspergilloma","aspergillosis, aspergilloma","aspergillosis, aspergilloma",itraconazole
itraconazole,candidemia,candidiasis,candidemia,itraconazole
itraconazole,dermatophytosis,dermatophytosis,dermatophytosis,itraconazole
itraconazole,histoplasmosis,histoplasmosis,histoplasmosis,itraconazole
itraconazole,"onychomycosis, fingernail","onychomycosis, fingernail","onychomycosis, fingernail",itraconazole
itraconazole,"onychomycosis, toenail","onychomycosis, toenail","onychomycosis, toenail",itraconazole
itraconazole,sporotrichosis,sporotrichosis,sporotrichosis,itraconazole
itraconazole,ungal infection prophylaxis,infection,ungal infection prophylaxis,itraconazole
itraconazole,vaginal yeast infection,infection,vaginal yeast infection,itraconazole
ivabradine,heart failure,heart diseases,heart failure,ivabradine
ketamine,anesthesia,anesthesia,anesthesia,ketamine
ketamine,pain,pain,pain,ketamine
lacosamide,seizure,seizure,seizure,lacosamide
lactase,lactose intolerance,lactose intolerance,lactose intolerance,lactase
lactulose,"constipation, acute",constipation,"constipation, acute",lactulose
lactulose,"constipation, chronic",constipation,"constipation, chronic",lactulose
lamotrigine,anxiety,anxiety,anxiety,lamotrigine
lamotrigine,bipolar disorder,bipolar disorder,bipolar disorder,lamotrigine
lamotrigine,borderline personality disorder,mental,borderline personality disorder,lamotrigine
lamotrigine,cyclothymic disorder,cyclothymic disorder,cyclothymic disorder,lamotrigine
lamotrigine,depression,anxiety,depression,lamotrigine
lamotrigine,epilepsy,epilepsy,epilepsy,lamotrigine
lamotrigine,migraine prevention,migraine,migraine prevention,lamotrigine
lamotrigine,post traumatic stress disorder,anxiety,post traumatic stress disorder,lamotrigine
lamotrigine,restless legs syndrome,muscular,restless legs syndrome,lamotrigine
lamotrigine,schizoaffective disorder,schizoaffective disorder,schizoaffective disorder,lamotrigine
lamotrigine,seizure prevention,seizure,seizure prevention,lamotrigine
lansoprazole,aspiration pneumonia,pneumonia,aspiration pneumonia,lansoprazole
lansoprazole,barrett's esophagus,barrett's esophagus,barrett's esophagus,lansoprazole
lansoprazole,erosive esophagitis,gastroenteritis,erosive esophagitis,lansoprazole
lansoprazole,gastritis/duodenitis,gastritis/duodenitis,gastritis/duodenitis,lansoprazole
lansoprazole,gastroesophageal reflux disease,gastroenteritis,gastroesophageal reflux disease,lansoprazole
lansoprazole,gerd,gastroenteritis,gerd,lansoprazole
lansoprazole,helicobacter pylori infection,infection,helicobacter pylori infection,lansoprazole
lansoprazole,stomach ulcer,ulcer,stomach ulcer,lansoprazole
lanthanum carbonate,hyperphosphatemia of renal failure,kidney disease,hyperphosphatemia of renal failure,lanthanum carbonate
latanoprost,"glaucoma, open angle",glaucoma,"glaucoma, open angle",latanoprost
latanoprost,intraocular hypertension,hypertension,intraocular hypertension,latanoprost
leflunomide,psoriatic arthritis,arthritis,psoriatic arthritis,leflunomide
leflunomide,rheumatoid arthritis,arthritis,rheumatoid arthritis,leflunomide
lenalidomide,multiple myeloma,multiple myeloma,multiple myeloma,lenalidomide
letrozole,breast cancer,lymphoma,breast cancer,letrozole
letrozole,"breast cancer, adjuvant",lymphoma,"breast cancer, adjuvant",letrozole
letrozole,"breast cancer, metastatic",lymphoma,"breast cancer, metastatic",letrozole
letrozole,emale infertility,emale infertility,emale infertility,letrozole
levetiracetam,bipolar disorder,bipolar disorder,bipolar disorder,levetiracetam
levetiracetam,epilepsy,epilepsy,epilepsy,levetiracetam
levetiracetam,neuralgia,nervous system,neuralgia,levetiracetam
levetiracetam,new daily persistent headache,headache,new daily persistent headache,levetiracetam
levetiracetam,seizure,seizure,seizure,levetiracetam
levonorgestrel,abnormal uterine bleeding,abnormal uterine bleeding,abnormal uterine bleeding,levonorgestrel
levonorgestrel,birth control,birth control,birth control,levonorgestrel
levonorgestrel,emergency contraception,emergency contraception,emergency contraception,levonorgestrel
lifitegrast,dry eye,eye,dry eye,lifitegrast
linagliptin,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus",linagliptin
linezolid,bacterial infection,bacterial,bacterial infection,linezolid
linezolid,methicillin-resistant staphylococcus aureus infection,infection,methicillin-resistant staphylococcus aureus infection,linezolid
linezolid,pneumonia,pneumonia,pneumonia,linezolid
linezolid,skin and structure infection,skin,skin and structure infection,linezolid
liraglutide,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus",liraglutide
liraglutide,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus",liraglutide
liraglutide,obesity,obesity,obesity,liraglutide
liraglutide,weight loss,weight loss,weight loss,liraglutide
lisinopril,coronary artery disease,coronary artery disease,coronary artery disease,lisinopril
lisinopril,diabetic kidney disease,diabetic,diabetic kidney disease,lisinopril
lisinopril,heart failure,heart diseases,heart failure,lisinopril
lisinopril,heart failure,heart diseases,heart failure,lisinopril
lisinopril,hypertension,hypertension,hypertension,lisinopril
lisinopril,hypertension,hypertension,hypertension,lisinopril
lisinopril,migraine prevention,migraine,migraine prevention,lisinopril
loratadine,allergic,allergic,allergic,loratadine
loratadine,allergic rhinitis,allergic,allergic rhinitis,loratadine
loratadine,urticaria,urticaria,urticaria,loratadine
lorazepam,anxiety,anxiety,anxiety,lorazepam
lorazepam,borderline personality disorder,mental,borderline personality disorder,lorazepam
lorazepam,cervical dystonia,cervical dystonia,cervical dystonia,lorazepam
lorazepam,dysautonomia,dysautonomia,dysautonomia,lorazepam
lorazepam,insomnia,anxiety,insomnia,lorazepam
lorazepam,light anesthesia,anesthesia,light anesthesia,lorazepam
lorazepam,nausea/vomiting,nausea,nausea/vomiting,lorazepam
lorazepam,"nausea/vomiting, chemotherapy induced",nausea,"nausea/vomiting, chemotherapy induced",lorazepam
lorazepam,panic disorder,anxiety,panic disorder,lorazepam
lorazepam,sedation,sedation,sedation,lorazepam
lorazepam,status epilepticus,crohn's disease,status epilepticus,lorazepam
lubiprostone,constipation,constipation,constipation,lubiprostone
lubiprostone,"constipation, chronic",constipation,"constipation, chronic",lubiprostone
lubiprostone,"constipation, drug induced",constipation,"constipation, drug induced",lubiprostone
lubiprostone,irritable bowel syndrome,bowel function,irritable bowel syndrome,lubiprostone
lubiprostone,opioid-induced constipation,constipation,opioid-induced constipation,lubiprostone
macitentan,pulmonary hypertension,lung,pulmonary hypertension,macitentan
magaldrate,gastroesophageal reflux disease,gastroenteritis,gastroesophageal reflux disease,magaldrate
magnesium hydroxide,acne,acne,acne,magnesium hydroxide
magnesium hydroxide,constipation,constipation,constipation,magnesium hydroxide
magnesium hydroxide,gastroesophageal reflux disease,gastroenteritis,gastroesophageal reflux disease,magnesium hydroxide
magnesium hydroxide,indigestion,gastroenteritis,indigestion,magnesium hydroxide
magnesium oxide,constipation,constipation,constipation,magnesium oxide
magnesium oxide,gastroesophageal reflux disease,gastroenteritis,gastroesophageal reflux disease,magnesium oxide
magnesium oxide,hypomagnesemia,hypomagnesemia,hypomagnesemia,magnesium oxide
mebendazole,ascariasis,ascariasis,ascariasis,mebendazole
mefenamic acid,gout,arthritis,gout,mefenamic acid
mefenamic acid,pain,pain,pain,mefenamic acid
mefenamic acid,period pain,pain,period pain,mefenamic acid
mefloquine,malaria,malaria,malaria,mefloquine
mefloquine,malaria prevention,malaria,malaria prevention,mefloquine
melatonin,insomnia,anxiety,insomnia,melatonin
meloxicam,gout,arthritis,gout,meloxicam
meloxicam,fibromyalgia,muscular,fibromyalgia,meloxicam
meloxicam,inflammatory conditions,inflammation,inflammatory conditions,meloxicam
meloxicam,juvenile rheumatoid arthritis,arthritis,juvenile rheumatoid arthritis,meloxicam
meloxicam,osteoarthritis,arthritis,osteoarthritis,meloxicam
meloxicam,rheumatoid arthritis,arthritis,rheumatoid arthritis,meloxicam
meloxicam,tendonitis,tendonitis,tendonitis,meloxicam
mercaptopurine,autoimmune hepatitis,hepatitis,autoimmune hepatitis,mercaptopurine
mercaptopurine,"crohn's disease, acute",crohn's disease,"crohn's disease, acute",mercaptopurine
mercaptopurine,"crohn's disease, maintenance",crohn's disease,"crohn's disease, maintenance",mercaptopurine
mercaptopurine,"ulcerative colitis, maintenance",ulcer,"ulcerative colitis, maintenance",mercaptopurine
methimazole,hyperthyroidism,thyroidism,hyperthyroidism,methimazole
methocarbamol,muscle spasm,muscular,muscle spasm,methocarbamol
methocarbamol,opiate withdrawal,opiate withdrawal,opiate withdrawal,methocarbamol
methotrexate,cogan's syndrome,cogan's syndrome,cogan's syndrome,methotrexate
methotrexate,ectopic pregnancy,ectopic pregnancy,ectopic pregnancy,methotrexate
methotrexate,eczema,skin,eczema,methotrexate
methotrexate,gastric cancer,lymphoma,gastric cancer,methotrexate
methotrexate,lymphoma,lymphoma,lymphoma,methotrexate
methotrexate,neoplastic diseases,neoplastic diseases,neoplastic diseases,methotrexate
methotrexate,psoriasis,skin,psoriasis,methotrexate
methotrexate,psoriatic arthritis,arthritis,psoriatic arthritis,methotrexate
methotrexate,rheumatoid arthritis,arthritis,rheumatoid arthritis,methotrexate
methotrexate,scleroderma,scleroderma,scleroderma,methotrexate
methotrexate,systemic sclerosis,sclerosis,systemic sclerosis,methotrexate
methyldopa,hypertension,hypertension,hypertension,methyldopa
methyldopa,hypertension,hypertension,hypertension,methyldopa
methyldopa,hypertensive emergency,hypertensive emergency,hypertensive emergency,methyldopa
methylprednisolone,allergic rhinitis,allergic,allergic rhinitis,methylprednisolone
methylprednisolone,asthma,asthma,asthma,methylprednisolone
methylprednisolone,"asthma, acute",asthma,"asthma, acute",methylprednisolone
methylprednisolone,"asthma, maintenance",asthma,"asthma, maintenance",methylprednisolone
methylprednisolone,atopic dermatitis,skin,atopic dermatitis,methylprednisolone
methylprednisolone,dermatologic lesion,dermatologic lesion,dermatologic lesion,methylprednisolone
methylprednisolone,"gout, acute",arthritis,"gout, acute",methylprednisolone
methylprednisolone,immunosuppression,immunosuppression,immunosuppression,methylprednisolone
methylprednisolone,inflammatory conditions,inflammation,inflammatory conditions,methylprednisolone
methylprednisolone,neuralgia,nervous system,neuralgia,methylprednisolone
methylprednisolone,osteoarthritis,arthritis,osteoarthritis,methylprednisolone
methylprednisolone,rheumatoid arthritis,arthritis,rheumatoid arthritis,methylprednisolone
methylprednisolone acetate,atopic dermatitis,skin,atopic dermatitis,methylprednisolone acetate
metolazone,edema,edema,edema,metolazone
metolazone,hypertension,hypertension,hypertension,metolazone
metoprolol tartrate,heart failure,heart diseases,heart failure,metoprolol tartrate
metoprolol tartrate,hypertension,hypertension,hypertension,metoprolol tartrate
metoprolol tartrate,hypertension,hypertension,hypertension,metoprolol tartrate
metronidazole,amebiasis,amebiasis,amebiasis,metronidazole
metronidazole,bacterial infection,bacterial,bacterial infection,metronidazole
metronidazole,bacterial vaginitis,bacterial,bacterial vaginitis,metronidazole
metronidazole,bone infection,infection,bone infection,metronidazole
metronidazole,clostridial infection,infection,clostridial infection,metronidazole
metronidazole,"crohn's disease, acute",crohn's disease,"crohn's disease, acute",metronidazole
metronidazole,"crohn's disease, maintenance",crohn's disease,"crohn's disease, maintenance",metronidazole
metronidazole,deep neck infection,infection,deep neck infection,metronidazole
metronidazole,dental abscess,oral & dental,dental abscess,metronidazole
metronidazole,diverticulitis,bowel function,diverticulitis,metronidazole
metronidazole,diverticulitis of gastrointestinal tract,gastroenteritis,diverticulitis of gastrointestinal tract,metronidazole
metronidazole,giardiasis,giardiasis,giardiasis,metronidazole
metronidazole,helicobacter pylori infection,infection,helicobacter pylori infection,metronidazole
metronidazole,intraabdominal infection,infection,intraabdominal infection,metronidazole
metronidazole,pelvic inflammatory disease,inflammation,pelvic inflammatory disease,metronidazole
metronidazole,perioral dermatitis,skin,perioral dermatitis,metronidazole
metronidazole,pseudomembranous colitis,pseudomembranous colitis,pseudomembranous colitis,metronidazole
metronidazole,rosacea,skin,rosacea,metronidazole
metronidazole,skin or soft tissue infection,skin,skin or soft tissue infection,metronidazole
metronidazole,std prophylaxis,std prophylaxis,std prophylaxis,metronidazole
metronidazole,surgical prophylaxis,surgical prophylaxis,surgical prophylaxis,metronidazole
metronidazole,trichomoniasis,trichomoniasis,trichomoniasis,metronidazole
midazolam,icu agitation,agitation,icu agitation,midazolam
midazolam,light anesthesia,anesthesia,light anesthesia,midazolam
midazolam,light sedation,light sedation,light sedation,midazolam
mifepristone,abortion,abortion,abortion,mifepristone
minoxidil,alopecia,alopecia,alopecia,minoxidil
minoxidil,hypertension,hypertension,hypertension,minoxidil
minoxidil,hypertension,hypertension,hypertension,minoxidil
minoxidil,women (minoxidil),women (minoxidil),women (minoxidil),minoxidil
mirabegron,overactive bladder,bladder,overactive bladder,mirabegron
mirabegron,urinary incontinence,specific urinary,urinary incontinence,mirabegron
mirtazapine,anxiety,anxiety,anxiety,mirtazapine
mirtazapine,depression,anxiety,depression,mirtazapine
mirtazapine,fibromyalgia,muscular,fibromyalgia,mirtazapine
mirtazapine,hot flashes,hot flashes,hot flashes,mirtazapine
mirtazapine,insomnia,anxiety,insomnia,mirtazapine
mirtazapine,depression,anxiety,depression,mirtazapine
mirtazapine,obsessive compulsive disorder,mental,obsessive compulsive disorder,mirtazapine
mirtazapine,post traumatic stress disorder,anxiety,post traumatic stress disorder,mirtazapine
misoprostol,abortion,abortion,abortion,misoprostol
misoprostol,labor induction,labor induction,labor induction,misoprostol
mupirocin,furunculosis,furunculosis,furunculosis,mupirocin
mupirocin,impetig,impetig,impetig,mupirocin
mupirocin,impetigo,impetigo,impetigo,mupirocin
mupirocin,nasal carriage of staphylococcus aureus,nasal,nasal carriage of staphylococcus aureus,mupirocin
mupirocin,secondary cutaneous bacterial infections,bacterial,secondary cutaneous bacterial infections,mupirocin
mupirocin,skin and structure infection,skin,skin and structure infection,mupirocin
mycophenolate mofetil,autoimmune hepatitis,hepatitis,autoimmune hepatitis,mycophenolate mofetil
mycophenolate mofetil,multiple sclerosis,sclerosis,multiple sclerosis,mycophenolate mofetil
mycophenolate mofetil,myasthenia gravis,muscular,myasthenia gravis,mycophenolate mofetil
mycophenolate mofetil,nephrotic syndrome,nephrotic syndrome,nephrotic syndrome,mycophenolate mofetil
mycophenolate mofetil,"organ transplant, rejection prophylaxis","organ transplant, rejection prophylaxis","organ transplant, rejection prophylaxis",mycophenolate mofetil
mycophenolate mofetil,psoriatic arthritis,arthritis,psoriatic arthritis,mycophenolate mofetil
mycophenolate mofetil,rheumatoid arthritis,arthritis,rheumatoid arthritis,mycophenolate mofetil
mycophenolate mofetil,systemic lupus erythematosus,lupus,systemic lupus erythematosus,mycophenolate mofetil
mycophenolate mofetil,uveitis,uveitis,uveitis,mycophenolate mofetil
mycophenolic acid,rejection prophylaxis,rejection prophylaxis,rejection prophylaxis,mycophenolic acid
mycophenolic acid,tic (mycophenolic acid),tic (mycophenolic acid),tic (mycophenolic acid),mycophenolic acid
nabumetone,back pain,pain,back pain,nabumetone
nabumetone,muscle pain,muscular,muscle pain,nabumetone
nabumetone,osteoarthritis,arthritis,osteoarthritis,nabumetone
nabumetone,rheumatoid arthritis,arthritis,rheumatoid arthritis,nabumetone
nabumetone,sciatica,pain,sciatica,nabumetone
nabumetone,zen shoulde,zen shoulde,zen shoulde,nabumetone
nalbuphine,pain,pain,pain,nalbuphine
naltrexone,alcohol dependence,alcohol,alcohol dependence,naltrexone
naltrexone,fibromyalgia,muscular,fibromyalgia,naltrexone
naltrexone,opiate dependence,opiate dependence,opiate dependence,naltrexone
naltrexone,trichotillomania,trichotillomania,trichotillomania,naltrexone
naproxen sodium,fever,cold-cough-fever,fever,naproxen sodium
naproxen sodium,gout,arthritis,gout,naproxen sodium
nepafenac,postoperative increased intraocular pressure,postoperative increased intraocular pressure,postoperative increased intraocular pressure,nepafenac
nepafenac,postoperative ocular inflammation,inflammation,postoperative ocular inflammation,nepafenac
nevirapine,hiv infection,infection,hiv infection,nevirapine
nifedipine,hypertension,hypertension,hypertension,nifedipine
nifedipine,hypertension,hypertension,hypertension,nifedipine
nifedipine,hypertensive emergency,hypertensive emergency,hypertensive emergency,nifedipine
nifedipine,premature lab,premature lab,premature lab,nifedipine
nifedipine,raynaud's syndrome,raynaud's syndrome,raynaud's syndrome,nifedipine
nilotinib,chronic myelogenous leukemia,leukemia,chronic myelogenous leukemia,nilotinib
nimodipine,migraine prevention,migraine,migraine prevention,nimodipine
nimodipine,subarachnoid hemorrhage,subarachnoid hemorrhage,subarachnoid hemorrhage,nimodipine
niraparib,ovarian cancer,lymphoma,ovarian cancer,niraparib
nitrofurantoin,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection,nitrofurantoin
nitrofurantoin,bladder infection,infection,bladder infection,nitrofurantoin
nitrofurantoin,prevention of bladder infection,infection,prevention of bladder infection,nitrofurantoin
nitrofurantoin,urinary tract infection,specific urinary,urinary tract infection,nitrofurantoin
nivolumab,hodgkin's lymphoma,lymphoma,hodgkin's lymphoma,nivolumab
nivolumab,melanoma,melanoma,melanoma,nivolumab
nivolumab,non-small cell lung cancer,lymphoma,non-small cell lung cancer,nivolumab
nivolumab,renal cell carcinoma,kidney disease,renal cell carcinoma,nivolumab
nizatidine,gastroesophageal reflux disease,gastroenteritis,gastroesophageal reflux disease,nizatidine
nizatidine,gerd,gastroenteritis,gerd,nizatidine
nizatidine,stomach ulcer,ulcer,stomach ulcer,nizatidine
nortriptyline,cyclic vomiting syndrome,cyclic vomiting syndrome,cyclic vomiting syndrome,nortriptyline
nortriptyline,depression,anxiety,depression,nortriptyline
nortriptyline,diabetic peripheral neuropathy,neurosis,diabetic peripheral neuropathy,nortriptyline
nortriptyline,irritable bowel syndrome,bowel function,irritable bowel syndrome,nortriptyline
nortriptyline,migraine prevention,migraine,migraine prevention,nortriptyline
nortriptyline,neuralgia,nervous system,neuralgia,nortriptyline
nortriptyline,neurosis,neurosis,neurosis,nortriptyline
nortriptyline,pain,pain,pain,nortriptyline
nortriptyline,panic disorder,anxiety,panic disorder,nortriptyline
nortriptyline,postherpetic neuralgia,nervous system,postherpetic neuralgia,nortriptyline
nortriptyline,primary nocturnal enuresis,primary nocturnal enuresis,primary nocturnal enuresis,nortriptyline
nortriptyline,reflex sympathetic dystrophy syndrome,reflex sympathetic dystrophy syndrome,reflex sympathetic dystrophy syndrome,nortriptyline
nortriptyline,smoking cessation,smoking cessation,smoking cessation,nortriptyline
nortriptyline,vulvodynia,vulvodynia,vulvodynia,nortriptyline
olanzapine,agitation,agitation,agitation,olanzapine
olanzapine,asperger syndrome,asperger syndrome,asperger syndrome,olanzapine
olanzapine,bipolar disorder,bipolar disorder,bipolar disorder,olanzapine
olanzapine,borderline personality disorder,mental,borderline personality disorder,olanzapine
olanzapine,depression,anxiety,depression,olanzapine
olanzapine,insomnia,anxiety,insomnia,olanzapine
olanzapine,depression,anxiety,depression,olanzapine
olanzapine,obsessive compulsive disorder,mental,obsessive compulsive disorder,olanzapine
olanzapine,paranoid disorder,paranoid disorder,paranoid disorder,olanzapine
olanzapine,schizoaffective disorder,schizoaffective disorder,schizoaffective disorder,olanzapine
olanzapine,schizophrenia,schizophrenia,schizophrenia,olanzapine
olanzapine,tourette's syndrome,nervous system,tourette's syndrome,olanzapine
omalizumab,"asthma, maintenance",asthma,"asthma, maintenance",omalizumab
omalizumab,urticaria,urticaria,urticaria,omalizumab
omeprazole,barrett's esophagus,barrett's esophagus,barrett's esophagus,omeprazole
omeprazole,duodenal ulcer,ulcer,duodenal ulcer,omeprazole
omeprazole,erosive esophagitis,gastroenteritis,erosive esophagitis,omeprazole
omeprazole,gastritis/duodenitis,gastritis/duodenitis,gastritis/duodenitis,omeprazole
