name,dosage_form,generic_name,strength,manufacturer,price
adiz,tablet,azithromycin dihydrate,500 mg,euro pharma ltd.,35.0
adiponil,capsule,orlistat,120 mg,incepta pharmaceuticals ltd.,40.0
ads-10,iv infusion,sodium chloride + dextrose,0.225%+10%,libra infusions ltd.,0.0
adryl,syrup,diphenhydramine hydrochloride,10 mg/5 ml,square pharmaceuticals ltd.,0.0
adrox,powder for suspension,cefuroxime axetil,125 mg/5 ml,ad-din pharmaceuticals ltd.,0.0
aduvit,capsule,vitamin b complex,0,pacific pharmaceuticals ltd.,0.52
adrinor,injection,adrenaline,1 mg/ml,incepta pharmaceuticals ltd.,25.0
adtrizin,tablet,cetirizine hydrochloride,10 mg,team pharmaceuticals ltd.,3.0
adrenaline,injection,adrenaline,1 mg/ml,techno drugs ltd.,25.0
adlina,tablet,linagliptin,5 mg,unimed unihealth pharmaceuticals ltd.,22.0
adribin,iv infusion,doxorubicin hydrochloride,2 mg/ml,healthcare pharmaceuticals ltd.,0.0
afinitor,tablet,everolimus,5 mg,novartis (bangladesh) ltd.,1.67
afinitor,tablet,everolimus,10 mg,novartis (bangladesh) ltd.,10.0
afexa,oral suspension,fexofenadine hydrochloride,30 mg/5 ml,unimed unihealth pharmaceuticals ltd.,0.0
afexa,tablet,fexofenadine hydrochloride,180 mg,unimed unihealth pharmaceuticals ltd.,10.0
adrin,injection,adrenaline,1 mg/ml,gaco pharmaceuticals ltd.,0.0
afix,capsule,cefixime trihydrate,400 mg,aristopharma ltd.,60.0
aexidal,tablet,mebhydrolin napadisylate,50 mg,albion laboratories limited,2.0
aerovil,syrup,pheniramine maleate,15 mg/5 ml,beximco pharmaceuticals ltd.,0.0
aerophin,respirator solution,racepinephrine,11.25 mg/0.5 ml,incepta pharmaceuticals ltd.,25.0
afexa,tablet,fexofenadine hydrochloride,120 mg,unimed unihealth pharmaceuticals ltd.,9.0
agorest,tablet,agomelatine,25 mg,everest pharmaceuticals ltd.,35.0
aglip,tablet,alogliptin benzoate,25 mg,eskayef pharmaceuticals ltd.,22.0
aglip,tablet,alogliptin benzoate,12.5 mg,eskayef pharmaceuticals ltd.,12.0
aggreno,capsule (extended release),aspirin + dipyridamole,25 mg+200 mg,ziska pharmaceuticals ltd.,12.0
afatin,tablet,afatinib dimaleate,40 mg,beacon pharmaceuticals ltd.,26.67
adlina-em,tablet,empagliflozin + linagliptin,10 mg+5 mg,unimed unihealth pharmaceuticals ltd.,30.0
aggra,tablet,sildenafil citrate,50 mg,eskayef pharmaceuticals ltd.,30.0
age plus,tablet,super antioxidant [vitamins & minerals],0,mystic pharmaceuticals ltd.,3.75
age m,tablet,betacarotene + vitamin c + vitamin e,6 mg+200 mg+50 mg,mystic pharmaceuticals ltd.,2.53
afuvin,tablet,griseofulvin [microsize],500 mg,ambee pharmaceuticals ltd.,5.32
afun vt,vaginal tablet,clotrimazole,200 mg,square pharmaceuticals ltd.,20.06
afun,cream,clotrimazole,1%,square pharmaceuticals ltd.,0.0
aggra,tablet,sildenafil citrate,100 mg,eskayef pharmaceuticals ltd.,50.0
afix,capsule,cefixime trihydrate,200 mg,aristopharma ltd.,45.0
akicin,im/iv injection,amikacin,100 mg/2 ml,square pharmaceuticals ltd.,16.05
akarvia,tablet,favipiravir,200 mg,incepta pharmaceuticals ltd.,0.0
afrin,cream,oxymetazoline hydrochloride,1%,aristopharma ltd.,0.0
ajuben,tablet,deutetrabenazine,12 mg,incepta pharmaceuticals ltd.,30.0
ajwa,tablet,atorvastatin calcium,10 mg,desh pharmaceuticals ltd.,10.0
ajardy,tablet,empagliflozin,25 mg,ziska pharmaceuticals ltd.,40.0
akicin,im/iv injection,amikacin,500 mg/2 ml,square pharmaceuticals ltd.,48.14
ajardy m,tablet,empagliflozin + metformin hydrochloride,5 mg+500 mg,ziska pharmaceuticals ltd.,15.0
ajardy,tablet,empagliflozin,10 mg,ziska pharmaceuticals ltd.,25.0
airway,tablet,montelukast sodium,4 mg,one pharma ltd.,6.0
adegra,tablet,sildenafil citrate,50 mg,aci limited,30.09
alarid,syrup,ketotifen fumarate,1 mg/5 ml,square pharmaceuticals ltd.,0.0
agedefy,tablet,betacarotene + vitamin c + vitamin e,6 mg+200 mg+50 mg,medimet pharmaceuticals ltd.,2.5
airway,tablet,montelukast sodium,10 mg,one pharma ltd.,15.0
alargol,tablet,cetirizine hydrochloride,10 mg,ethical drugs limited,2.5
airup,chewable tablet,montelukast sodium,4 mg,pharmasia limited,7.0
alanil,tablet,fexofenadine hydrochloride,120 mg,acme laboratories ltd.,8.0
actose,tablet,pioglitazone,30 mg,unimed unihealth pharmaceuticals ltd.,15.0
airway,tablet,montelukast sodium,5 mg,one pharma ltd.,8.0
alagra,oral suspension,fexofenadine hydrochloride,30 mg/5 ml,alco pharma ltd.,0.0
alagra,tablet,fexofenadine hydrochloride,30 mg,alco pharma ltd.,3.01
aladin,tablet,rupatadine fumarate,10 mg,ad-din pharmaceuticals ltd.,11.0
alagra,tablet,fexofenadine hydrochloride,180 mg,alco pharma ltd.,10.0
alafree,tablet,fexofenadine hydrochloride,120 mg,apex pharmaceuticals ltd.,6.5
aladay ds,ophthalmic solution,olopatadine hydrochloride,0.2%,eskayef pharmaceuticals ltd.,0.0
alanil,tablet,fexofenadine hydrochloride,180 mg,acme laboratories ltd.,10.0
aladay,ophthalmic solution,olopatadine hydrochloride,0.1%,eskayef pharmaceuticals ltd.,0.0
alacot max,ophthalmic solution,olopatadine hydrochloride,0.7%,square pharmaceuticals ltd.,0.0
ala,capsule,alpha lipoic acid,500 mg,total herbal & nutraceuticals,30.0
al-ds,chewable tablet,albendazole,400 mg,globe pharmaceuticals ltd.,5.0
al-d3,capsule,cholecalciferol [vitamin d3],40000 iu,albion laboratories limited,0.0
alacot ds,ophthalmic solution,olopatadine hydrochloride,0.2%,square pharmaceuticals ltd.,0.0
al-d3,capsule,cholecalciferol [vitamin d3],20000 iu,albion laboratories limited,0.0
aktivex,tablet,naproxen sodium,250 mg,opso saline limited,5.0
aktivex,tablet,naproxen sodium,500 mg,opso saline limited,9.0
airup,chewable tablet,montelukast sodium,5 mg,pharmasia limited,8.0
alaclov,tablet,valacyclovir,500 mg,aci limited,40.27
airup,tablet,montelukast sodium,10 mg,pharmasia limited,16.0
aknill,topical gel,isotretinoin,0.05%,incepta pharmaceuticals ltd.,0.0
airpro,syrup,levosalbutamol,1 mg/5 ml,everest pharmaceuticals ltd.,0.0
airmont,tablet,montelukast sodium,10 mg,goodman pharmaceuticals ltd.,13.0
airflow,tablet,montelukast sodium,10 mg,ad-din pharmaceuticals ltd.,15.0
aire,tablet,levosalbutamol,2 mg,delta pharma ltd.,1.7
aid,tablet,diclofenac sodium,50 mg,premier pharmaceuticals ltd.,0.8
aid sr,tablet (sustained release),diclofenac sodium,100 mg,premier pharmaceuticals ltd.,3.0
ah,oral suspension,albendazole,200 mg/5 ml,drug international ltd.,0.0
aladay max,ophthalmic solution,olopatadine hydrochloride,0.7%,eskayef pharmaceuticals ltd.,0.0
airjoy,respirator solution,glycopyrronium bromide,25 mcg/ml,acme laboratories ltd.,0.0
agoxin,tablet,digoxin,0.25 mg,aristopharma ltd.,1.09
afrin,nasal drop,oxymetazoline hydrochloride,0.05%,aristopharma ltd.,0.0
afrin,nasal drop,oxymetazoline hydrochloride,0.025%,aristopharma ltd.,0.0
aire,tablet,levosalbutamol,1 mg,delta pharma ltd.,0.9
afluzole,capsule,fluconazole,50 mg,ambee pharmaceuticals ltd.,8.03
afluzole,capsule,fluconazole,150 mg,ambee pharmaceuticals ltd.,22.08
afixime,capsule,cefixime trihydrate,200 mg,asiatic laboratories ltd.,30.0
afm-t,ophthalmic solution,fluorometholone + tetrahydrozoline,0.1%+0.025%,aristopharma ltd.,0.0
afix,powder for suspension,cefixime trihydrate,100 mg/5 ml,aristopharma ltd.,0.0
afm-plus,ophthalmic ointment,fluorometholone + gentamicin,0.1%+0.3%,aristopharma ltd.,0.0
aeron ft,dispersible tablet,montelukast sodium,5 mg,healthcare pharmaceuticals ltd.,8.0
afixime,capsule,cefixime trihydrate,400 mg,asiatic laboratories ltd.,50.0
agrippal s1,im injection,inactivated influenza vaccine,0.5 ml/pre-filled syringe,novartis (bangladesh) ltd.,0.0
aerofen,tablet,ketotifen fumarate,1 mg,silva pharmaceuticals ltd.,1.51
aeron,oral powder,montelukast sodium,4 mg/3.5 gm,healthcare pharmaceuticals ltd.,8.0
afix,tablet,cefixime trihydrate,200 mg,aristopharma ltd.,35.0
aenixit,tablet,flupentixol + melitracen,0.5 mg+10 mg,albion laboratories limited,0.0
aerodyl,tablet,bambuterol hydrochloride,20 mg,silva pharmaceuticals ltd.,3.0
advel,oral suspension,ibuprofen,100 mg/5 ml,opsonin pharma ltd.,0.0
advel,tablet,ibuprofen,200 mg,opsonin pharma ltd.,0.88
afluzole,powder for suspension,fluconazole,50 mg/5 ml,ambee pharmaceuticals ltd.,0.0
aduvit,syrup,vitamin b complex,0,pacific pharmaceuticals ltd.,0.0
aeron,tablet,montelukast sodium,10 mg,healthcare pharmaceuticals ltd.,16.0
adrebloc,iv injection,esmolol hydrochloride,100 mg/10 ml,zas corporation,0.0
aerodyl,tablet,bambuterol hydrochloride,10 mg,silva pharmaceuticals ltd.,1.51
aerofen,syrup,ketotifen fumarate,1 mg/5 ml,silva pharmaceuticals ltd.,0.0
adorex,oral suspension,domperidone maleate,5 mg/5 ml,ambee pharmaceuticals ltd.,0.0
adora,pediatric drops,cefadroxil monohydrate,125 mg/1.25 ml,incepta pharmaceuticals ltd.,0.0
adora,tablet,cefadroxil monohydrate,1000 mg,incepta pharmaceuticals ltd.,32.0
advast,tablet,amlodipine besilate + atorvastatin,5 mg+10 mg,alco pharma ltd.,10.03
adorex,pediatric drops,domperidone maleate,5 mg/ml,ambee pharmaceuticals ltd.,0.0
adora,capsule,cefadroxil monohydrate,500 mg,incepta pharmaceuticals ltd.,18.0
adonid ds,powder for suspension,nitazoxanide,100 mg/5 ml,rephco pharmaceuticals ltd.,0.0
adnor,tablet,doxepin,3 mg,apex pharmaceuticals ltd.,5.0
adocil,capsule,cefadroxil monohydrate,500 mg,kemiko pharmaceuticals ltd.,12.04
adnix,tablet,nitazoxanide,500 mg,alco pharma ltd.,10.03
adnix,powder for suspension,nitazoxanide,100 mg/5 ml,alco pharma ltd.,0.0
adocil,powder for suspension,cefadroxil monohydrate,125 mg/5 ml,kemiko pharmaceuticals ltd.,0.0
admox ds,capsule,amoxicillin trihydrate,500 mg,team pharmaceuticals ltd.,7.5
adonid,tablet,nitazoxanide,500 mg,rephco pharmaceuticals ltd.,10.0
admira mr,tablet (modified release),gliclazide,30 mg,unimed unihealth pharmaceuticals ltd.,7.0
adlorin,tablet,desloratadine,5 mg,ad-din pharmaceuticals ltd.,2.5
admira,tablet,gliclazide,80 mg,unimed unihealth pharmaceuticals ltd.,7.0
adlock,tablet,propranolol hydrochloride,40 mg,sonear laboratories ltd.,1.7
adora,powder for suspension,cefadroxil monohydrate,125 mg/5 ml,incepta pharmaceuticals ltd.,0.0
adinir,powder for suspension,cefdinir,125 mg/5 ml,acme laboratories ltd.,0.0
adipal plus,gel,adapalene + benzoyl peroxide,0.1%+2.5%,guardian healthcare ltd.,0.0
adinir,capsule,cefdinir,300 mg,acme laboratories ltd.,45.16
adgar,gel,adapalene,0.3%,aci limited,0.0
adifex,tablet,fexofenadine hydrochloride,120 mg,united pharmaceuticals ltd.,6.5
admox,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,team pharmaceuticals ltd.,0.0
adorex,tablet,domperidone maleate,10 mg,ambee pharmaceuticals ltd.,2.0
adglim,tablet,glimepiride,2 mg,unimed unihealth pharmaceuticals ltd.,5.0
advel,tablet,ibuprofen,400 mg,opsonin pharma ltd.,1.43
adglim,tablet,glimepiride,1 mg,unimed unihealth pharmaceuticals ltd.,3.0
adfovir,tablet,adefovir dipivoxil,10 mg,sun pharmaceutical (bangladesh) ltd.,25.0
adexim,capsule,cefixime trihydrate,200 mg,supreme pharmaceutical ltd.,30.0
adetil,tablet,cefuroxime axetil,500 mg,supreme pharmaceutical ltd.,45.0
adflox,capsule,flucloxacillin sodium,500 mg,team pharmaceuticals ltd.,10.5
adexim,powder for suspension,cefixime trihydrate,100 mg/5 ml,supreme pharmaceutical ltd.,0.0
adempa,tablet,empagliflozin,10 mg,unimed unihealth pharmaceuticals ltd.,25.0
adegut,oral suspension,domperidone maleate,5 mg/5 ml,supreme pharmaceutical ltd.,0.0
adetil,tablet,cefuroxime axetil,250 mg,supreme pharmaceutical ltd.,25.0
adelax,tablet,flupentixol + melitracen,0.5 mg+10 mg,aci limited,5.02
adafil,tablet,tadalafil,10 mg,beximco pharmaceuticals ltd.,35.0
ad-all,capsule,iron + folic acid + vitamin b complex + vitamine c + zinc sulfate,0,ad-din pharmaceuticals ltd.,3.0
acyvir,iv infusion,acyclovir,500 mg/vial,aristopharma ltd.,0.0
adempa,tablet,empagliflozin,25 mg,unimed unihealth pharmaceuticals ltd.,50.0
acusan,tablet,losartan potassium,50 mg,concord pharmaceuticals ltd.,8.02
acuren,tablet,hydrochlorothiazide,25 mg,incepta pharmaceuticals ltd.,0.7
adegut,tablet,domperidone maleate,10 mg,supreme pharmaceutical ltd.,2.0
advixa,sc injection,adalimumab,40 mg/0.8 ml,incepta pharmaceuticals ltd.,0.0
adze,chewable tablet,albendazole,400 mg,kemiko pharmaceuticals ltd.,4.01
aeronid,inhaler,budesonide,200 mcg/puff,beximco pharmaceuticals ltd.,0.0
acuren,tablet,hydrochlorothiazide,50 mg,incepta pharmaceuticals ltd.,1.0
acusan plus,tablet,losartan potassium + hydrochlorothiazide,50 mg+12.5 mg,concord pharmaceuticals ltd.,8.02
afixime,powder for suspension,cefixime trihydrate,100 mg/5 ml,asiatic laboratories ltd.,0.0
acyvir,iv infusion,acyclovir,250 mg/vial,aristopharma ltd.,0.0
agotin,tablet,agomelatine,25 mg,beacon pharmaceuticals ltd.,50.15
alafree,oral suspension,fexofenadine hydrochloride,30 mg/5 ml,apex pharmaceuticals ltd.,0.0
aid tr,capsule (timed release),diclofenac sodium,100 mg,premier pharmaceuticals ltd.,3.0
akno,capsule,isotretinoin,10 mg,drug international ltd.,40.0
acyvir,ophthalmic ointment,acyclovir,3%,aristopharma ltd.,0.0
adaben duo,gel,adapalene + benzoyl peroxide,0.1%+2.5%,incepta pharmaceuticals ltd.,0.0
alacot,ophthalmic solution,olopatadine hydrochloride,0.1%,square pharmaceuticals ltd.,0.0
alagra,tablet,fexofenadine hydrochloride,60 mg,alco pharma ltd.,4.5
afix ds,powder for suspension,cefixime trihydrate,200 mg/5 ml,aristopharma ltd.,0.0
alanil,oral suspension,fexofenadine hydrochloride,30 mg/5 ml,acme laboratories ltd.,0.0
airnaaf,syrup,ketotifen fumarate,1 mg/5 ml,naafco pharma ltd.,0.0
adgar,gel,adapalene,0.1%,aci limited,0.0
alargol,syrup,cetirizine hydrochloride,5 mg/5 ml,ethical drugs limited,0.0
alarid,tablet,ketotifen fumarate,1 mg,square pharmaceuticals ltd.,3.0
ajuben,tablet,deutetrabenazine,6 mg,incepta pharmaceuticals ltd.,70.0
afix,tablet,cefixime trihydrate,400 mg,aristopharma ltd.,50.0
aeropac,pediatric drops,simethicone,67 mg/ml,amico laboratories ltd.,0.0
aerodyl,oral solution,bambuterol hydrochloride,5 mg/5 ml,silva pharmaceuticals ltd.,0.0
albet-n,ointment,betamethasone + neomycin sulphate,0.1%+0.5%,albion laboratories limited,0.0
alagra,tablet,fexofenadine hydrochloride,120 mg,alco pharma ltd.,6.02
afixime,pediatric drops,cefixime trihydrate,25 mg/ml,asiatic laboratories ltd.,0.0
albet-n,cream,betamethasone + neomycin sulphate,0.1%+0.5%,albion laboratories limited,0.0
albentas,chewable tablet,albendazole,400 mg,veritas pharmaceuticals ltd.,5.0
albet-cl,ointment,betamethasone + clotrimazole,0.1%+1%,albion laboratories limited,0.0
albendol,oral suspension,albendazole,200 mg/5 ml,globex pharmaceuticals ltd.,0.0
albatab,tablet,vitamin b complex,0,aexim pharmaceuticals ltd.,0.44
ah,chewable tablet,albendazole,400 mg,drug international ltd.,5.05
albasine,tablet,almitrine bismesylate + raubasine,30 mg+10 mg,drug international ltd.,42.17
albamax ds,chewable tablet,albendazole,400 mg,ziska pharmaceuticals ltd.,5.0
alaxen,tablet,alprazolam,0.5 mg,united pharmaceuticals ltd.,3.0
albaplex,syrup,vitamin b complex,0,aexim pharmaceuticals ltd.,0.0
alatrol,syrup,cetirizine hydrochloride,5 mg/5 ml,square pharmaceuticals ltd.,0.0
albazol ds,chewable tablet,albendazole,400 mg,central pharmaceuticals ltd.,4.0
alatrol,tablet,cetirizine hydrochloride,10 mg,square pharmaceuticals ltd.,3.01
alartn,syrup,cetirizine hydrochloride,5 mg/5 ml,alkad laboratories,0.0
alat,tablet,cetirizine hydrochloride,10 mg,premier pharmaceuticals ltd.,2.5
alaron,tablet,loratadine,10 mg,aci limited,2.5
alarid,ophthalmic solution,ketotifen fumarate,0.025%,square pharmaceuticals ltd.,0.0
alaron,oral suspension,loratadine,5 mg/5 ml,aci limited,0.0
alater,tablet,cetirizine hydrochloride,10 mg,bengal drugs ltd.,2.5
alben ds,chewable tablet,albendazole,400 mg,eskayef pharmaceuticals ltd.,5.0
albafen,tablet,baclofen,10 mg,allied pharmaceuticals ltd.,8.0
albendol,chewable tablet,albendazole,400 mg,globex pharmaceuticals ltd.,3.5
albendox,chewable tablet,albendazole,400 mg,indo bangla pharmaceutical,4.0
alba,chewable tablet,albendazole,400 mg,navana pharmaceuticals ltd.,4.5
alatrol,pediatric drops,cetirizine hydrochloride,2.5 mg/ml,square pharmaceuticals ltd.,0.0
alclor,pediatric drops,cefaclor monohydrate,125 mg/1.25 ml,acme laboratories ltd.,0.0
alcofen,tablet,diclofenac sodium,50 mg,aexim pharmaceuticals ltd.,0.7
alben,oral suspension,albendazole,200 mg/5 ml,eskayef pharmaceuticals ltd.,0.0
alclor,capsule,cefaclor monohydrate,500 mg,acme laboratories ltd.,40.12
alchek ds,ophthalmic solution,olopatadine hydrochloride,0.2%,apex pharmaceuticals ltd.,0.0
alcefen,tablet,aceclofenac,100 mg,allied pharmaceuticals ltd.,0.0
alcet,oral solution,levocetirizine dihydrochloride,2.5 mg/5 ml,healthcare pharmaceuticals ltd.,0.0
alcaft,ophthalmic solution,alcaftadine,0.25%,healthcare pharmaceuticals ltd.,0.0
alcadin,ophthalmic solution,alcaftadine,0.25%,popular pharmaceuticals ltd.,0.0
albutein,iv infusion,albumin,25%,alpha therapeutic corporation,0.0
albrex,chewable tablet,albendazole,400 mg,medimet pharmaceuticals ltd.,3.5
albutein,iv infusion,albumin,5%,alpha therapeutic corporation,0.0
albol-ds,chewable tablet,albendazole,400 mg,ethical drugs limited,3.5
alarup,tablet,rupatadine fumarate,10 mg,popular pharmaceuticals ltd.,10.0
albizox,tablet,nitazoxanide,500 mg,albion laboratories limited,0.0
albicon ds,chewable tablet,albendazole,400 mg,the white horse pharmaceuticals ltd.,4.0
albezole,chewable tablet,albendazole,400 mg,apollo pharmaceutical ltd.,3.8
albion oralsaline,oral powder,oral rehydration salt [glucose based],10.25 gm,albion laboratories limited,5.0
albezen,chewable tablet,albendazole,400 mg,zenith pharmaceuticals ltd.,3.0
albion hand rub,hand rub,isopropyl alcohol + hydrogen peroxide + glycerol,75%+0.125%+1.45%,albion laboratories limited,0.0
albutrim,tablet,sulphamethoxazole + trimethoprim,800 mg+160 mg,albion laboratories limited,2.0
alcafta,ophthalmic solution,alcaftadine,0.25%,incepta pharmaceuticals ltd.,0.0
albizox,powder for suspension,nitazoxanide,100 mg/5 ml,albion laboratories limited,0.0
alclor,powder for suspension,cefaclor monohydrate,125 mg/5 ml,acme laboratories ltd.,0.0
alchek,ophthalmic solution,olopatadine hydrochloride,0.1%,apex pharmaceuticals ltd.,0.0
alcavir,tablet,entecavir,0.5 mg,albion laboratories limited,45.0
alcet,tablet,levocetirizine dihydrochloride,5 mg,healthcare pharmaceuticals ltd.,4.5
alburx,iv infusion,albumin,25%,"csl behring, germany",0.0
alercon,nasal spray,olopatadine hydrochloride,600 mcg/spray,acme laboratories ltd.,0.0
alercon,ophthalmic solution,olopatadine hydrochloride,0.1%,acme laboratories ltd.,0.0
alenvir,tablet,tenofovir alafenamide,25 mg,square pharmaceuticals ltd.,90.0
alendon,tablet,alendronic acid,70 mg,beximco pharmaceuticals ltd.,25.0
alendon,tablet,alendronic acid,10 mg,beximco pharmaceuticals ltd.,5.0
alecnib,capsule,alectinib,150 mg,everest pharmaceuticals ltd.,0.0
alecensa,capsule,alectinib,150 mg,roche bangladesh ltd.,15.71
ale ds,chewable tablet,albendazole,400 mg,aztec pharmaceuticals ltd.,0.0
aldorin,tablet,epalrestat,50 mg,eskayef pharmaceuticals ltd.,11.0
alecta,capsule,alectinib,150 mg,jenphar bangladesh ltd.,0.0
alenil,iv injection,cetirizine hydrochloride,10 mg/ml,eskayef pharmaceuticals ltd.,0.0
aldopa,tablet,levodopa + carbidopa,250 mg+25 mg,albion laboratories limited,11.8
alfex,tablet,fexofenadine hydrochloride,120 mg,medicon pharmaceuticals ltd.,6.44
aldopa,tablet,levodopa + carbidopa,100 mg+10 mg,albion laboratories limited,8.26
alfex,oral suspension,fexofenadine hydrochloride,30 mg/5 ml,medicon pharmaceuticals ltd.,0.0
alfavir,tablet,tenofovir alafenamide,25 mg,incepta pharmaceuticals ltd.,90.0
aleze,oral suspension,loratadine,5 mg/5 ml,unimed unihealth pharmaceuticals ltd.,0.0
alfasin xr,tablet (extended release),alfuzosin hydrochloride,10 mg,incepta pharmaceuticals ltd.,10.0
alexid,tablet,pivmecillinam,200 mg,aristopharma ltd.,15.0
aleze,tablet,loratadine,10 mg,unimed unihealth pharmaceuticals ltd.,3.5
aletrin,tablet,cetirizine hydrochloride,10 mg,reman drug laboratories ltd.,2.5
albiquin,tablet,quinine sulfate,300 mg,albion laboratories limited,6.4
alexa,sc injection,enoxaparin sodium,6000 anti-xa iu/0.6 ml,healthcare pharmaceuticals ltd.,0.0
algin,im/iv injection,tiemonium methylsulphate,5 mg/2 ml,renata limited,35.0
alfacort,im/ia injection,triamcinolone acetonide,40 mg/ml,ziska pharmaceuticals ltd.,60.0
albion hand sanitizer,hand rub,ethanol + isopropyl alcohol,66%+3.5%,albion laboratories limited,0.0
alestin,syrup,ebastine,5 mg/5 ml,novelta bestway pharma ltd.,0.0
alexa,sc injection,enoxaparin sodium,8000 anti-xa iu/0.8 ml,healthcare pharmaceuticals ltd.,0.0
algicon,oral suspension,sodium alginate + potassium bicarbonate,(500 mg+100 mg)/5 ml,leon pharmaceuticals ltd.,0.0
algicon,chewable tablet,sodium alginate + potassium bicarbonate,500 mg+100 mg,leon pharmaceuticals ltd.,3.01
algin,tablet,tiemonium methylsulphate,50 mg,renata limited,8.5
algin,syrup,tiemonium methylsulphate,10 mg/5 ml,renata limited,0.0
algicid,chewable tablet,sodium alginate + potassium bicarbonate,500 mg+100 mg,incepta pharmaceuticals ltd.,4.5
algex,oral suspension,aluminium hydroxide + magnesium hydroxide,(175 mg+225 mg)/5 ml,doctor’s chemical works ltd.,0.0
algicar plus,oral suspension,sodium alginate + sodium bicarbonate + calcium carbonate,(500 mg+267 mg+160 mg)/10 ml,techno drugs ltd.,0.0
algerd,oral suspension,sodium alginate + potassium bicarbonate,(500 mg+100 mg)/5 ml,monicopharma ltd.,0.0
algicid,oral suspension,sodium alginate + potassium bicarbonate,(500 mg+100 mg)/5 ml,incepta pharmaceuticals ltd.,0.0
algeum-d,tablet,calcium carbonate [algae source] + vitamin d3,500 mg+200 iu,radiant pharmaceuticals ltd.,10.0
algeum-dx,tablet,calcium carbonate [algae source] + vitamin d3,600 mg+400 iu,radiant pharmaceuticals ltd.,15.0
alkaparol,oral suspension,paracetamol,120 mg/5 ml,alkad laboratories,0.0
alkanon dt,dispersible tablet,nabumetone,1000 mg,renata limited,30.0
alkanon,tablet,nabumetone,750 mg,renata limited,22.0
alkamax,oral solution,potassium citrate + citric acid,(1500 mg+250 mg)/5 ml,drug international ltd.,0.0
alkamin,syrup,chlorpheniramine maleate,2 mg/5 ml,alkad laboratories,0.0
alivio,cream,methyl salicylate + menthol,15%+10%,al-madina pharmaceuticals ltd.,0.0
alistin dt,dispersible tablet,acetylcysteine,600 mg,opsonin pharma ltd.,15.0
alistin ef,effervescent tablet,acetylcysteine,600 mg,opsonin pharma ltd.,20.0
alinix,tablet,nitazoxanide,500 mg,healthcare pharmaceuticals ltd.,10.0
alkatrim,oral suspension,sulphamethoxazole + trimethoprim,(200 mg+40 mg)/5 ml,alkad laboratories,0.0
alin,tablet,ranitidine hydrochloride,150 mg,rephco pharmaceuticals ltd.,2.5
alice,tablet,ivermectin,12 mg,square pharmaceuticals ltd.,20.0
alice,lotion,ivermectin,0.5%,square pharmaceuticals ltd.,0.0
alkalina,tablet,sodium bicarbonate,600 mg,radiant pharmaceuticals ltd.,6.0
alice,tablet,ivermectin,6 mg,square pharmaceuticals ltd.,10.0
alivio extra,cream,methyl salicylate + menthol + camphor,30%+10%+4%,al-madina pharmaceuticals ltd.,0.0
algrofin,capsule,crizotinib,250 mg,genvio pharma ltd.,0.0
algisum,oral suspension,sodium alginate + potassium bicarbonate,(500 mg+100 mg)/5 ml,opsonin pharma ltd.,0.0
algita d,tablet,calcium carbonate [algae source] + vitamin d3,500 mg+200 iu,labaid pharma ltd.,11.0
algirex,tablet,etoricoxib,60 mg,ibn sina pharmaceuticals ltd.,7.0
algirex,tablet,etoricoxib,120 mg,ibn sina pharmaceuticals ltd.,14.25
algisum,chewable tablet,sodium alginate + potassium bicarbonate,500 mg+100 mg,opsonin pharma ltd.,3.5
alia,tablet,allylestrenol,5 mg,acme laboratories ltd.,9.0
algecal c,effervescent tablet,calcium lactate gluconate + calcium carbonate + vitamin c,1000 mg+327 mg+500 mg,opsonin pharma ltd.,12.0
algaba,capsule,pregabalin,75 mg,al-madina pharmaceuticals ltd.,16.0
algisum max,oral suspension,sodium alginate + sodium bicarbonate + calcium carbonate,(500 mg+267 mg+160 mg)/10 ml,opsonin pharma ltd.,0.0
algaba,capsule,pregabalin,50 mg,al-madina pharmaceuticals ltd.,12.0
algaba,capsule,pregabalin,150 mg,al-madina pharmaceuticals ltd.,32.0
alfradin,capsule,cephradine,500 mg,allied pharmaceuticals ltd.,0.0
alfradin ds,powder for suspension,cephradine,250 mg/5 ml,allied pharmaceuticals ltd.,0.0
algecal c plus,effervescent tablet,calcium lactate gluconate + calcium carbonate + vitamin c + vitamin d3,1000 mg+327 mg (algae calcium)+500 mg+400 iu,opsonin pharma ltd.,13.0
algecal dx,tablet,calcium carbonate [algae source] + vitamin d3,600 mg+400 iu,opsonin pharma ltd.,16.0
alfixim,capsule,cefixime trihydrate,200 mg,allied pharmaceuticals ltd.,0.0
alfil,capsule,iron + folic acid + vitamin b complex + vitamin c,0,marker pharma ltd.,3.0
alfixim,capsule,cefixime trihydrate,400 mg,allied pharmaceuticals ltd.,0.0
alfixim,powder for suspension,cefixime trihydrate,100 mg/5 ml,allied pharmaceuticals ltd.,0.0
alert,tablet,loratadine,10 mg,apollo pharmaceutical ltd.,2.73
alermet,tablet,cetirizine hydrochloride,10 mg,orbit pharmaceuticals ltd.,2.5
alermet,syrup,cetirizine hydrochloride,5 mg/5 ml,orbit pharmaceuticals ltd.,0.0
alergix mr,tablet (modified release),mizolastine,10 mg,incepta pharmaceuticals ltd.,6.5
alerfex,oral suspension,fexofenadine hydrochloride,30 mg/5 ml,kumudini pharma ltd.,0.0
alerfex,tablet,fexofenadine hydrochloride,180 mg,kumudini pharma ltd.,8.0
