generic_name,cases,head,singular_case
diazepam,seizure prevention,seizure,seizure prevention
diazepam,seizure,seizure,seizure
diazepam,status epilepticus,crohn's disease,status epilepticus
diazepam,temporomandibular joint disorde,temporomandibular joint disorde,temporomandibular joint disorde
diazepam,tetanus,tetanus,tetanus
diazoxide,hypoglycemia,hypoglycemia,hypoglycemia
diclofenac potassium,gout,arthritis,gout
diclofenac sodium,gout,arthritis,gout
difluprednate,postoperative ocular inflammation,postoperative ocular inflammation,postoperative ocular inflammation
difluprednate,uveitis,uveitis,uveitis
digoxin,atrial fibrillation,atrial fibrillation,atrial fibrillation
digoxin,heart failure,heart failure,heart failure
dulaglutide,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
dutasteride,benign prostatic hyperplasia,benign prostatic hyperplasia,benign prostatic hyperplasia
echinacea,cold symptoms,cold symptoms,cold symptoms
echinacea,condylomata acuminata,condylomata acuminata,condylomata acuminata
efavirenz,hiv infection,infection,hiv infection
efavirenz,nonoccupational exposure,nonoccupational exposure,nonoccupational exposure
eluxadoline,irritable bowel syndrome,irritable bowel syndrome,irritable bowel syndrome
empagliflozin,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
enalapril maleate,hypertension,hypertension,hypertension
entacapone,parkinson's disease,parkinson's disease,parkinson's disease
eplerenone,high blood pressure,high blood pressure,high blood pressure
eplerenone,hypertension,hypertension,hypertension
erlotinib,non-small cell lung cancer,cancer,non-small cell lung cancer
erlotinib,pancreatic cancer,cancer,pancreatic cancer
esomeprazole,barrett's esophagus,barrett's esophagus,barrett's esophagus
esomeprazole,duodenal ulcer prophylaxis,ulcer,duodenal ulcer prophylaxis
esomeprazole,erosive esophagitis,erosive esophagitis,erosive esophagitis
esomeprazole,gerd,gerd,gerd
esomeprazole,helicobacter pylori infection,infection,helicobacter pylori infection
esomeprazole,nsaid-induced gastric ulce,nsaid-induced gastric ulce,nsaid-induced gastric ulce
estradiol,atrophic urethritis,atrophic urethritis,atrophic urethritis
estradiol,atrophic vaginitis,atrophic vaginitis,atrophic vaginitis
estradiol,gender dysphoria,gender dysphoria,gender dysphoria
estradiol,hypoestrogenism,hypoestrogenism,hypoestrogenism
estradiol,oophorectomy,oophorectomy,oophorectomy
estradiol,osteoporosis,osteoporosis,osteoporosis
estradiol,postmenopausal symptoms,postmenopausal symptoms,postmenopausal symptoms
estradiol,primary ovarian failure,primary ovarian failure,primary ovarian failure
eszopiclone,insomnia,insomnia,insomnia
etanercept,ankylosing spondylitis,ankylosing spondylitis,ankylosing spondylitis
etanercept,behcet's disease,behcet's disease,behcet's disease
etanercept,juvenile idiopathic arthritis,arthritis,juvenile idiopathic arthritis
etanercept,juvenile rheumatoid arthritis,arthritis,juvenile rheumatoid arthritis
etanercept,plaque psoriasis,plaque,plaque psoriasis
etanercept,psoriasis,psoriasis,psoriasis
etanercept,psoriatic arthritis,arthritis,psoriatic arthritis
etanercept,rheumatoid arthritis,arthritis,rheumatoid arthritis
etanercept,still's disease,still's disease,still's disease
ethambutol,"mycobacterium avium-intracellulare, treatment","mycobacterium avium-intracellulare, treatment","mycobacterium avium-intracellulare, treatment"
ethosuximide,seizure,seizure,seizure
etodolac,gout,arthritis,gout
etodolac,juvenile rheumatoid arthritis,arthritis,juvenile rheumatoid arthritis
etodolac,osteoarthritis,arthritis,osteoarthritis
etodolac,pain,pain,pain
etodolac,rheumatoid arthritis,arthritis,rheumatoid arthritis
evening primrose oil,chronic fatigue syndrome,chronic fatigue syndrome,chronic fatigue syndrome
evening primrose oil,hot flashes,hot flashes,hot flashes
evening primrose oil,premenstrual dysphoric disorde,premenstrual dysphoric disorde,premenstrual dysphoric disorde
evening primrose oil,sjogren's syndrome,sjogren's syndrome,sjogren's syndrome
everolimus,brain tum,brain tum,brain tum
everolimus,breast cancer,cancer,breast cancer
everolimus,pancreatic cancer,cancer,pancreatic cancer
everolimus,renal cell carcinoma,renal cell carcinoma,renal cell carcinoma
ezetimibe,high cholesterol,high cholesterol,high cholesterol
ezetimibe,"high cholesterol, familial heterozygous","high cholesterol, familial heterozygous","high cholesterol, familial heterozygous"
ezetimibe,hypercholesterolemia,hypercholesterolemia,hypercholesterolemia
famciclovir,cold sores,cold sores,cold sores
famciclovir,"herpes simplex, mucocutaneous/immunocompetent host","herpes simplex, mucocutaneous/immunocompetent host","herpes simplex, mucocutaneous/immunocompetent host"
famciclovir,"herpes simplex, suppression","herpes simplex, suppression","herpes simplex, suppression"
famciclovir,herpes zoste,herpes zoste,herpes zoste
famciclovir,herpes zoster,herpes zoster,herpes zoster
famotidine,allergic urticaria,allergic,allergic urticaria
famotidine,duodenal ulce,duodenal ulce,duodenal ulce
famotidine,gastroesophageal reflux disease,gastroesophageal reflux disease,gastroesophageal reflux disease
famotidine,gerd,gerd,gerd
famotidine,indigestion,indigestion,indigestion
famotidine,urticaria,urticaria,urticaria
febuxostat,gout,arthritis,gout
fenofibrate,hypercholesterolemia,hypercholesterolemia,hypercholesterolemia
fenofibrate,hyperlipoproteinemia,hyperlipoproteinemia,hyperlipoproteinemia
fenofibrate,"hyperlipoproteinemia type iia, elevated ldl","hyperlipoproteinemia type iia, elevated ldl","hyperlipoproteinemia type iia, elevated ldl"
fenofibrate,hypertriglyceridemia,hypertriglyceridemia,hypertriglyceridemia
ferric citrate,hyperphosphatemia of renal failure,hyperphosphatemia of renal failure,hyperphosphatemia of renal failure
ferrous fumarate,iron deficiency anemia,iron deficiency anemia,iron deficiency anemia
ferrous gluconate,iron deficiency anemia,iron deficiency anemia,iron deficiency anemia
ferrous gluconate,vitamin/mineral supplementation during pregnancy/lactation,vitamin/mineral supplementation during pregnancy/lactation,vitamin/mineral supplementation during pregnancy/lactation
ferrous sulfate,iron deficiency anemia,iron deficiency anemia,iron deficiency anemia
ferrous sulfate,vitamin/mineral supplementation during pregnancy/lactation,vitamin/mineral supplementation during pregnancy/lactation,vitamin/mineral supplementation during pregnancy/lactation
filgrastim,neutropenia,neutropenia,neutropenia
filgrastim,neutropenia associated with chemotherapy,neutropenia associated with chemotherapy,neutropenia associated with chemotherapy
flibanserin,hypoactive sexual desire disorde,hypoactive sexual desire disorde,hypoactive sexual desire disorde
fluconazole,candida urinary tract infection,specific urinary,candida urinary tract infection
fluconazole,candidemia,candidemia,candidemia
fluconazole,esophageal candidiasis,esophageal candidiasis,esophageal candidiasis
fluconazole,"onychomycosis, toenail","onychomycosis, toenail","onychomycosis, toenail"
fluconazole,oral candidiasis,oral candidiasis,oral candidiasis
fluconazole,oral thrush,oral thrush,oral thrush
fluconazole,systemic candidiasis,systemic candidiasis,systemic candidiasis
fluconazole,tinea corporis,tinea corporis,tinea corporis
fluconazole,tinea cruris,tinea cruris,tinea cruris
fluconazole,tinea versicol,tinea versicol,tinea versicol
fluconazole,ungal pneumonia,ungal pneumonia,ungal pneumonia
fluconazole,vaginal yeast infection,infection,vaginal yeast infection
fluconazole,vulvovaginal candidiasis,vulvovaginal candidiasis,vulvovaginal candidiasis
fluorouracil,actinic keratosis,actinic keratosis,actinic keratosis
fluorouracil,adenocarcinoma of pancreas,adenocarcinoma of pancreas,adenocarcinoma of pancreas
fluorouracil,basal cell carcinoma,basal cell carcinoma,basal cell carcinoma
fluorouracil,colorectal cancer,cancer,colorectal cancer
fluorouracil,keratosis,keratosis,keratosis
fluorouracil,skin cancer,cancer,skin cancer
fluorouracil,warts,warts,warts
flurazepam,insomnia,insomnia,insomnia
flurbiprofen,back pain,back pain,back pain
flurbiprofen,gout,arthritis,gout
flurbiprofen,period pain,period pain,period pain
flurbiprofen,rheumatoid arthritis,arthritis,rheumatoid arthritis
flurbiprofen,sciatica,sciatica,sciatica
fluvastatin,hypercholesterolemia,hypercholesterolemia,hypercholesterolemia
fluvastatin,prevention of cerebrovascular accident,prevention of cerebrovascular accident,prevention of cerebrovascular accident
folic acid,lic acid deficiency,lic acid deficiency,lic acid deficiency
folic acid,vitamin/mineral supplementation and deficiency,vitamin/mineral supplementation and deficiency,vitamin/mineral supplementation and deficiency
furosemide,edema,edema,edema
furosemide,heart failure,heart failure,heart failure
furosemide,high blood pressure,high blood pressure,high blood pressure
furosemide,hypercalcemia,hypercalcemia,hypercalcemia
furosemide,hypertension,hypertension,hypertension
gabapentin,alcohol withdrawal,alcohol withdrawal,alcohol withdrawal
gabapentin,anxiety,anxiety,anxiety
gabapentin,benign essential trem,benign essential trem,benign essential trem
gabapentin,bipolar disorde,bipolar disorde,bipolar disorde
gabapentin,burning mouth syndrome,burning mouth syndrome,burning mouth syndrome
gabapentin,cough,cough,cough
gabapentin,diabetic peripheral neuropathy,diabetic,diabetic peripheral neuropathy
gabapentin,epilepsy,epilepsy,epilepsy
gabapentin,hot flashes,hot flashes,hot flashes
gabapentin,ibromyalgia,ibromyalgia,ibromyalgia
gabapentin,insomnia,insomnia,insomnia
gabapentin,migraine,migraine,migraine
gabapentin,neuropathic pain,neuropathic pain,neuropathic pain
gabapentin,occipital neuralgia,occipital neuralgia,occipital neuralgia
gabapentin,pain,pain,pain
gabapentin,peripheral neuropathy,peripheral neuropathy,peripheral neuropathy
gabapentin,postherpetic neuralgia,postherpetic neuralgia,postherpetic neuralgia
gabapentin,pruritus,pruritus,pruritus
gabapentin,pudendal neuralgia,pudendal neuralgia,pudendal neuralgia
gabapentin,reflex sympathetic dystrophy syndrome,reflex sympathetic dystrophy syndrome,reflex sympathetic dystrophy syndrome
gabapentin,restless legs syndrome,restless legs syndrome,restless legs syndrome
gabapentin,small fiber neuropathy,small fiber neuropathy,small fiber neuropathy
gabapentin,spondylolisthesis,spondylolisthesis,spondylolisthesis
gabapentin,syringomyelia,syringomyelia,syringomyelia
gabapentin,transverse myelitis,transverse myelitis,transverse myelitis
gabapentin,trigeminal neuralgia,trigeminal neuralgia,trigeminal neuralgia
gabapentin,vulvodynia,vulvodynia,vulvodynia
gefitinib,non-small cell lung cancer,cancer,non-small cell lung cancer
gemcitabine,adenocarcinoma of pancreas,adenocarcinoma of pancreas,adenocarcinoma of pancreas
gemcitabine,"breast cancer, metastatic",cancer,"breast cancer, metastatic"
gemcitabine,pancreatic cancer,cancer,pancreatic cancer
gemfibrozil,high cholesterol,high cholesterol,high cholesterol
gemifloxacin,bronchitis,bronchitis,bronchitis
gemifloxacin,pneumonia,pneumonia,pneumonia
gentian violet,oral thrush,oral thrush,oral thrush
glimepiride,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
glipizide,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
glycerin,constipation,constipation,constipation
golimumab,ankylosing spondylitis,ankylosing spondylitis,ankylosing spondylitis
golimumab,psoriatic arthritis,arthritis,psoriatic arthritis
golimumab,rheumatoid arthritis,arthritis,rheumatoid arthritis
golimumab,ulcerative colitis,ulcer,ulcerative colitis
granisetron,"nausea/vomiting, chemotherapy induced","nausea/vomiting, chemotherapy induced","nausea/vomiting, chemotherapy induced"
granisetron,"nausea/vomiting, postoperative","nausea/vomiting, postoperative","nausea/vomiting, postoperative"
halcinonide,dermatitis,dermatitis,dermatitis
halcinonide,eczema,eczema,eczema
halobetasol propionate,atopic dermatitis,dermatitis,atopic dermatitis
haloperidol,aggressive behavi,aggressive behavi,aggressive behavi
haloperidol,dementia,dementia,dementia
haloperidol,icu agitation,icu agitation,icu agitation
haloperidol,mania,mania,mania
haloperidol,nausea/vomiting,nausea/vomiting,nausea/vomiting
haloperidol,psychosis,psychosis,psychosis
haloperidol,tourette's syndrome,tourette's syndrome,tourette's syndrome
hydrochlorothiazide,edema,edema,edema
hydrochlorothiazide,high blood pressure,high blood pressure,high blood pressure
hydrochlorothiazide,hypertension,hypertension,hypertension
hydrochlorothiazide,nephrocalcinosis,nephrocalcinosis,nephrocalcinosis
hydrocortisone,addison's disease,addison's disease,addison's disease
hydrocortisone,adrenocortical insufficiency,adrenocortical insufficiency,adrenocortical insufficiency
hydrocortisone,atopic dermatitis,dermatitis,atopic dermatitis
hydrocortisone,dermatitis,dermatitis,dermatitis
hydrocortisone,eczema,eczema,eczema
hydrocortisone,hemorrhoids,hemorrhoids,hemorrhoids
hydrocortisone,inflammatory conditions,inflammatory conditions,inflammatory conditions
hydrocortisone,pruritus,pruritus,pruritus
hydrocortisone,psoriasis,psoriasis,psoriasis
hydrocortisone,skin rash,rash,skin rash
hydrocortisone,ulcerative proctitis,ulcer,ulcerative proctitis
hydrocortisone acetate,atopic dermatitis,dermatitis,atopic dermatitis
hydrocortisone acetate,hemorrhoids,hemorrhoids,hemorrhoids
hydrocortisone butyrate,atopic dermatitis,dermatitis,atopic dermatitis
hydroquinone,dermatitis,dermatitis,dermatitis
hydroxocobalamin,vitamin b12 deficiency,vitamin b12 deficiency,vitamin b12 deficiency
hydroxyurea,"anemia, sickle cell","anemia, sickle cell","anemia, sickle cell"
hydroxyurea,polycythemia vera,polycythemia vera,polycythemia vera
hydroxyurea,thrombocythemia,thrombocythemia,thrombocythemia
hylan g-f 20,osteoarthritis,arthritis,osteoarthritis
ibrutinib,chronic lymphocytic leukemia,chronic lymphocytic leukemia,chronic lymphocytic leukemia
ibuprofen,back pain,back pain,back pain
ibuprofen,cystic fibrosis,cystic fibrosis,cystic fibrosis
ibuprofen,eve,eve,eve
ibuprofen,fever,fever,fever
ibuprofen,gout,arthritis,gout
ibuprofen,"gout, acute",arthritis,"gout, acute"
ibuprofen,headache,headache,headache
ibuprofen,muscle pain,muscle pain,muscle pain
ibuprofen,neck pain,neck pain,neck pain
ibuprofen,osteoarthritis,arthritis,osteoarthritis
ibuprofen,pain,pain,pain
ibuprofen,patent ductus arteriosus,patent ductus arteriosus,patent ductus arteriosus
ibuprofen,period pain,period pain,period pain
ibuprofen,rheumatoid arthritis,arthritis,rheumatoid arthritis
ibuprofen,sciatica,sciatica,sciatica
ibuprofen,spondylolisthesis,spondylolisthesis,spondylolisthesis
ibuprofen,temporomandibular joint disorde,temporomandibular joint disorde,temporomandibular joint disorde
ibuprofen,toothache,toothache,toothache
ibuprofen,zen shoulde,zen shoulde,zen shoulde
ifosfamide,testicular cancer,cancer,testicular cancer
iloperidone,bipolar disorde,bipolar disorde,bipolar disorde
iloperidone,psychosis,psychosis,psychosis
iloperidone,schizophrenia,schizophrenia,schizophrenia
imiquimod,basal cell carcinoma,basal cell carcinoma,basal cell carcinoma
imiquimod,condylomata acuminata,condylomata acuminata,condylomata acuminata
imiquimod,human papilloma virus,human papilloma virus,human papilloma virus
imiquimod,keratosis,keratosis,keratosis
indapamide,edema,edema,edema
indapamide,high blood pressure,high blood pressure,high blood pressure
indapamide,hypertension,hypertension,hypertension
infliximab,ankylosing spondylitis,ankylosing spondylitis,ankylosing spondylitis
infliximab,behcet's disease,behcet's disease,behcet's disease
infliximab,crohn's disease,crohn's disease,crohn's disease
infliximab,"crohn's disease, acute",crohn's disease,"crohn's disease, acute"
infliximab,"crohn's disease, maintenance",crohn's disease,"crohn's disease, maintenance"
infliximab,juvenile idiopathic arthritis,arthritis,juvenile idiopathic arthritis
infliximab,psoriasis,psoriasis,psoriasis
infliximab,psoriatic arthritis,arthritis,psoriatic arthritis
infliximab,rheumatoid arthritis,arthritis,rheumatoid arthritis
infliximab,sjogren's syndrome,sjogren's syndrome,sjogren's syndrome
infliximab,ulcerative colitis,ulcer,ulcerative colitis
infliximab,uveitis,uveitis,uveitis
insulin aspart,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus"
insulin aspart,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
insulin degludec,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus"
insulin degludec,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
insulin detemir,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus"
insulin detemir,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
insulin glulisine,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus"
insulin glulisine,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
insulin lispro,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus"
insulin lispro,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
iohexol,body imaging,body imaging,body imaging
irbesartan,diabetic kidney disease,diabetic,diabetic kidney disease
irbesartan,high blood pressure,high blood pressure,high blood pressure
isoniazid,"tuberculosis, active","tuberculosis, active","tuberculosis, active"
isoniazid,"tuberculosis, latent","tuberculosis, latent","tuberculosis, latent"
isoniazid,"tuberculosis, prophylaxis","tuberculosis, prophylaxis","tuberculosis, prophylaxis"
isosorbide mononitrate,angina,angina,angina
isosorbide mononitrate,angina pectoris prophylaxis,angina pectoris prophylaxis,angina pectoris prophylaxis
isosorbide mononitrate,esophageal spasm,esophageal spasm,esophageal spasm
isosorbide mononitrate,heart failure,heart failure,heart failure
isradipine,hypertension,hypertension,hypertension
isradipine,raynaud's syndrome,raynaud's syndrome,raynaud's syndrome
itraconazole,"aspergillosis, aspergilloma","aspergillosis, aspergilloma","aspergillosis, aspergilloma"
itraconazole,candidemia,candidemia,candidemia
itraconazole,dermatophytosis,dermatophytosis,dermatophytosis
itraconazole,histoplasmosis,histoplasmosis,histoplasmosis
itraconazole,"onychomycosis, fingernail","onychomycosis, fingernail","onychomycosis, fingernail"
itraconazole,"onychomycosis, toenail","onychomycosis, toenail","onychomycosis, toenail"
itraconazole,sporotrichosis,sporotrichosis,sporotrichosis
itraconazole,ungal infection prophylaxis,infection,ungal infection prophylaxis
itraconazole,vaginal yeast infection,infection,vaginal yeast infection
ivabradine,heart failure,heart failure,heart failure
ketamine,anesthesia,anesthesia,anesthesia
ketamine,pain,pain,pain
lacosamide,seizure,seizure,seizure
lactase,lactose intolerance,lactose intolerance,lactose intolerance
lactulose,"constipation, acute","constipation, acute","constipation, acute"
lactulose,"constipation, chronic","constipation, chronic","constipation, chronic"
lamotrigine,anxiety,anxiety,anxiety
lamotrigine,bipolar disorde,bipolar disorde,bipolar disorde
lamotrigine,borderline personality disorde,borderline personality disorde,borderline personality disorde
lamotrigine,cyclothymic disorde,cyclothymic disorde,cyclothymic disorde
lamotrigine,depression,depression,depression
lamotrigine,epilepsy,epilepsy,epilepsy
lamotrigine,migraine prevention,migraine,migraine prevention
lamotrigine,post traumatic stress disorde,post traumatic stress disorde,post traumatic stress disorde
lamotrigine,restless legs syndrome,restless legs syndrome,restless legs syndrome
lamotrigine,schizoaffective disorde,schizoaffective disorde,schizoaffective disorde
lamotrigine,seizure prevention,seizure,seizure prevention
lansoprazole,aspiration pneumonia,aspiration pneumonia,aspiration pneumonia
lansoprazole,barrett's esophagus,barrett's esophagus,barrett's esophagus
lansoprazole,erosive esophagitis,erosive esophagitis,erosive esophagitis
lansoprazole,gastritis/duodenitis,gastritis/duodenitis,gastritis/duodenitis
lansoprazole,gastroesophageal reflux disease,gastroesophageal reflux disease,gastroesophageal reflux disease
lansoprazole,gerd,gerd,gerd
lansoprazole,helicobacter pylori infection,infection,helicobacter pylori infection
lansoprazole,stomach ulce,stomach ulce,stomach ulce
lanthanum carbonate,hyperphosphatemia of renal failure,hyperphosphatemia of renal failure,hyperphosphatemia of renal failure
latanoprost,"glaucoma, open angle","glaucoma, open angle","glaucoma, open angle"
latanoprost,intraocular hypertension,intraocular hypertension,intraocular hypertension
leflunomide,psoriatic arthritis,arthritis,psoriatic arthritis
leflunomide,rheumatoid arthritis,arthritis,rheumatoid arthritis
lenalidomide,multiple myeloma,multiple myeloma,multiple myeloma
letrozole,breast cancer,cancer,breast cancer
letrozole,"breast cancer, adjuvant",cancer,"breast cancer, adjuvant"
letrozole,"breast cancer, metastatic",cancer,"breast cancer, metastatic"
letrozole,emale infertility,emale infertility,emale infertility
levetiracetam,bipolar disorde,bipolar disorde,bipolar disorde
levetiracetam,epilepsy,epilepsy,epilepsy
levetiracetam,neuralgia,neuralgia,neuralgia
levetiracetam,new daily persistent headache,new daily persistent headache,new daily persistent headache
levetiracetam,seizure,seizure,seizure
levonorgestrel,abnormal uterine bleeding,abnormal uterine bleeding,abnormal uterine bleeding
levonorgestrel,birth control,birth control,birth control
levonorgestrel,emergency contraception,emergency contraception,emergency contraception
lifitegrast,dry eye disease,dry eye disease,dry eye disease
linagliptin,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
linezolid,bacterial infection,infection,bacterial infection
linezolid,methicillin-resistant staphylococcus aureus infection,infection,methicillin-resistant staphylococcus aureus infection
linezolid,pneumonia,pneumonia,pneumonia
linezolid,skin and structure infection,infection,skin and structure infection
liraglutide,"diabetes, diabetes insipidus",diabetes,"diabetes, diabetes insipidus"
liraglutide,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
liraglutide,obesity,obesity,obesity
liraglutide,weight loss,weight loss,weight loss
lisinopril,coronary artery disease,coronary artery disease,coronary artery disease
lisinopril,diabetic kidney disease,diabetic,diabetic kidney disease
lisinopril,heart attack,heart attack,heart attack
lisinopril,heart failure,heart failure,heart failure
lisinopril,high blood pressure,high blood pressure,high blood pressure
lisinopril,hypertension,hypertension,hypertension
lisinopril,migraine prevention,migraine,migraine prevention
loratadine,allergic,allergic,allergic
loratadine,allergic rhinitis,allergic,allergic rhinitis
loratadine,urticaria,urticaria,urticaria
lorazepam,anxiety,anxiety,anxiety
lorazepam,borderline personality disorde,borderline personality disorde,borderline personality disorde
lorazepam,cervical dystonia,cervical dystonia,cervical dystonia
lorazepam,dysautonomia,dysautonomia,dysautonomia
lorazepam,insomnia,insomnia,insomnia
lorazepam,light anesthesia,light anesthesia,light anesthesia
lorazepam,nausea/vomiting,nausea/vomiting,nausea/vomiting
lorazepam,"nausea/vomiting, chemotherapy induced","nausea/vomiting, chemotherapy induced","nausea/vomiting, chemotherapy induced"
lorazepam,panic disorde,panic disorde,panic disorde
lorazepam,sedation,sedation,sedation
lorazepam,status epilepticus,crohn's disease,status epilepticus
lubiprostone,constipation,constipation,constipation
lubiprostone,"constipation, chronic","constipation, chronic","constipation, chronic"
lubiprostone,"constipation, drug induced","constipation, drug induced","constipation, drug induced"
lubiprostone,irritable bowel syndrome,irritable bowel syndrome,irritable bowel syndrome
lubiprostone,opioid-induced constipation,opioid-induced constipation,opioid-induced constipation
macitentan,pulmonary hypertension,pulmonary hypertension,pulmonary hypertension
magaldrate,gastroesophageal reflux disease,gastroesophageal reflux disease,gastroesophageal reflux disease
magnesium hydroxide,acne,acne,acne
magnesium hydroxide,constipation,constipation,constipation
magnesium hydroxide,gastroesophageal reflux disease,gastroesophageal reflux disease,gastroesophageal reflux disease
magnesium hydroxide,indigestion,indigestion,indigestion
magnesium oxide,constipation,constipation,constipation
magnesium oxide,gastroesophageal reflux disease,gastroesophageal reflux disease,gastroesophageal reflux disease
magnesium oxide,hypomagnesemia,hypomagnesemia,hypomagnesemia
mebendazole,ascariasis,ascariasis,ascariasis
mefenamic acid,gout,arthritis,gout
mefenamic acid,pain,pain,pain
mefenamic acid,period pain,period pain,period pain
mefloquine,malaria,malaria,malaria
mefloquine,malaria prevention,malaria prevention,malaria prevention
melatonin,insomnia,insomnia,insomnia
meloxicam,gout,arthritis,gout
meloxicam,ibromyalgia,ibromyalgia,ibromyalgia
meloxicam,inflammatory conditions,inflammatory conditions,inflammatory conditions
meloxicam,juvenile rheumatoid arthritis,arthritis,juvenile rheumatoid arthritis
meloxicam,osteoarthritis,arthritis,osteoarthritis
meloxicam,rheumatoid arthritis,arthritis,rheumatoid arthritis
meloxicam,tendonitis,tendonitis,tendonitis
mercaptopurine,autoimmune hepatitis,autoimmune hepatitis,autoimmune hepatitis
mercaptopurine,"crohn's disease, acute",crohn's disease,"crohn's disease, acute"
mercaptopurine,"crohn's disease, maintenance",crohn's disease,"crohn's disease, maintenance"
mercaptopurine,"ulcerative colitis, maintenance",ulcer,"ulcerative colitis, maintenance"
methimazole,hyperthyroidism,hyperthyroidism,hyperthyroidism
methocarbamol,muscle spasm,muscle spasm,muscle spasm
methocarbamol,opiate withdrawal,opiate withdrawal,opiate withdrawal
methotrexate,cogan's syndrome,cogan's syndrome,cogan's syndrome
methotrexate,ectopic pregnancy,ectopic pregnancy,ectopic pregnancy
methotrexate,eczema,eczema,eczema
methotrexate,gastric cancer,cancer,gastric cancer
methotrexate,lymphoma,lymphoma,lymphoma
methotrexate,neoplastic diseases,neoplastic diseases,neoplastic diseases
methotrexate,psoriasis,psoriasis,psoriasis
methotrexate,psoriatic arthritis,arthritis,psoriatic arthritis
methotrexate,rheumatoid arthritis,arthritis,rheumatoid arthritis
methotrexate,scleroderma,scleroderma,scleroderma
methotrexate,systemic sclerosis,systemic sclerosis,systemic sclerosis
methyldopa,high blood pressure,high blood pressure,high blood pressure
methyldopa,hypertension,hypertension,hypertension
methyldopa,hypertensive emergency,hypertensive emergency,hypertensive emergency
methylprednisolone,allergic rhinitis,allergic,allergic rhinitis
methylprednisolone,asthma,asthma,asthma
methylprednisolone,"asthma, acute","asthma, acute","asthma, acute"
methylprednisolone,"asthma, maintenance","asthma, maintenance","asthma, maintenance"
methylprednisolone,atopic dermatitis,dermatitis,atopic dermatitis
methylprednisolone,dermatologic lesion,dermatologic lesion,dermatologic lesion
methylprednisolone,"gout, acute",arthritis,"gout, acute"
methylprednisolone,immunosuppression,immunosuppression,immunosuppression
methylprednisolone,inflammatory conditions,inflammatory conditions,inflammatory conditions
methylprednisolone,neuralgia,neuralgia,neuralgia
methylprednisolone,osteoarthritis,arthritis,osteoarthritis
methylprednisolone,rheumatoid arthritis,arthritis,rheumatoid arthritis
methylprednisolone acetate,atopic dermatitis,dermatitis,atopic dermatitis
metolazone,edema,edema,edema
metolazone,hypertension,hypertension,hypertension
metoprolol tartrate,heart attack,heart attack,heart attack
metoprolol tartrate,high blood pressure,high blood pressure,high blood pressure
metoprolol tartrate,hypertension,hypertension,hypertension
metronidazole,amebiasis,amebiasis,amebiasis
metronidazole,bacterial infection,infection,bacterial infection
metronidazole,bacterial vaginitis,bacterial vaginitis,bacterial vaginitis
metronidazole,bone infection,infection,bone infection
metronidazole,clostridial infection,infection,clostridial infection
metronidazole,"crohn's disease, acute",crohn's disease,"crohn's disease, acute"
metronidazole,"crohn's disease, maintenance",crohn's disease,"crohn's disease, maintenance"
metronidazole,deep neck infection,infection,deep neck infection
metronidazole,dental abscess,dental abscess,dental abscess
metronidazole,diverticulitis,diverticulitis,diverticulitis
metronidazole,diverticulitis of gastrointestinal tract,diverticulitis of gastrointestinal tract,diverticulitis of gastrointestinal tract
metronidazole,giardiasis,giardiasis,giardiasis
metronidazole,helicobacter pylori infection,infection,helicobacter pylori infection
metronidazole,intraabdominal infection,infection,intraabdominal infection
metronidazole,pelvic inflammatory disease,pelvic inflammatory disease,pelvic inflammatory disease
metronidazole,perioral dermatitis,dermatitis,perioral dermatitis
metronidazole,pseudomembranous colitis,pseudomembranous colitis,pseudomembranous colitis
metronidazole,rosacea,rosacea,rosacea
metronidazole,skin or soft tissue infection,infection,skin or soft tissue infection
metronidazole,std prophylaxis,std prophylaxis,std prophylaxis
metronidazole,surgical prophylaxis,surgical prophylaxis,surgical prophylaxis
metronidazole,trichomoniasis,trichomoniasis,trichomoniasis
midazolam,icu agitation,icu agitation,icu agitation
midazolam,light anesthesia,light anesthesia,light anesthesia
midazolam,light sedation,light sedation,light sedation
mifepristone,abortion,abortion,abortion
minoxidil,alopecia,alopecia,alopecia
minoxidil,high blood pressure,high blood pressure,high blood pressure
minoxidil,hypertension,hypertension,hypertension
minoxidil,women (minoxidil),women (minoxidil),women (minoxidil)
mirabegron,overactive bladde,overactive bladde,overactive bladde
mirabegron,urinary incontinence,specific urinary,urinary incontinence
mirtazapine,anxiety,anxiety,anxiety
mirtazapine,depression,depression,depression
