group,indication,Score,drug_class
disease_disorder,manic,0.6920125,anti-manic drugs
medication,drugs,0.98265475,anti-manic drugs
therapeutic_procedure,osmotic diuretics,0.9340529,osmotic diuretics
diagnostic_procedure,electrolytes preparations,0.98270977,electrolytes preparations
therapeutic_procedure,laxative preparations,0.9878686,other laxative preparations
medication,anti - alzheimer drugs,0.9719462,anti-alzheimer drugs
medication,methoxsalen preparation,0.88435674,methoxsalen preparation
diagnostic_procedure,aminosalicylates,0.99975646,aminosalicylates
medication,leishmaniacides,0.89967424,leishmaniacides
medication,leukotriene receptor antagonist,0.899064,leukotriene receptor antagonists
detailed_description,multi,0.99918693,multi-vitamin & multi-mineral combined preparations
detailed_description,vitamin,0.8092595,multi-vitamin & multi-mineral combined preparations
detailed_description,multi - mineral,0.87136954,multi-vitamin & multi-mineral combined preparations
diagnostic_procedure,combined preparations,0.76874316,multi-vitamin & multi-mineral combined preparations
medication,meglitinide analogue,0.8464842,meglitinide analogues
medication,steroid,0.7299391,ophthalmic non-steroid combined preparations
diagnostic_procedure,combined preparations,0.67304814,ophthalmic non-steroid combined preparations
diagnostic_procedure,hormone,0.9999474,hormone in bone formation by stimulation
biological_structure,bone,0.936129,hormone in bone formation by stimulation
diagnostic_procedure,formation,0.98514855,hormone in bone formation by stimulation
detailed_description,stimulation,0.7999119,hormone in bone formation by stimulation
diagnostic_procedure,potassium - channel activator,0.9190741,potassium-channel activator
diagnostic_procedure,anti - cholinesterases,0.91124815,anti-cholinesterases
detailed_description,combined,0.4415794,anti-infective & anesthetic combined preparations
therapeutic_procedure,preparations,0.5331882,anti-infective & anesthetic combined preparations
administration,topical,0.5096783,ophthalmic and topical antibacterial products
diagnostic_procedure,antibacterial products,0.7134811,ophthalmic and topical antibacterial products
diagnostic_procedure,x receptor agonists,0.87471265,farnesoid x receptor agonists
lab_value,alpha,0.94112724,alpha and beta-adrenergic agonist
medication,h2 receptor antagonist,0.91264427,h2 receptor antagonist
detailed_description,systemic,0.99996865,systemic urinary anti- infective
detailed_description,anti - infective,0.929858,systemic urinary anti- infective
sign_symptom,diarrhoeal,0.89178836,anti-diarrhoeal antiprotozoal
administration,oral,0.99928814,oral electrolytes preparations
diagnostic_procedure,electro,0.93627924,oral electrolytes preparations
diagnostic_procedure,preparations,0.84132797,oral electrolytes preparations
sign_symptom,anti - allergies,0.9997946,antihistamines anti-allergies & hypo-sensitisation
medication,growth hormone antagonist,0.9984569,growth hormone antagonist
diagnostic_procedure,anti neo,0.5368074,anti neoplastic preparations
medication,ocular perioperative drugs,0.9963996,ocular perioperative drugs
medication,appetite suppressant drugs,0.9202675,appetite suppressant drugs/anti-obesity drugs
medication,anti - obesity drugs,0.92140293,appetite suppressant drugs/anti-obesity drugs
detailed_description,perito,0.8558838,peritoneal dialysis solution
therapeutic_procedure,dialysis solution,0.99598056,peritoneal dialysis solution
medication,drug,0.49545962,hematopoietic drug
diagnostic_procedure,mecillinams,0.72484225,mecillinams
diagnostic_procedure,group,0.49359217,thiazolidinedione group
medication,drugs affecting the,0.7872779,drugs affecting the immune response
diagnostic_procedure,immune response,0.90225905,drugs affecting the immune response
medication,drugs,0.8157731,drugs affecting exocrine secretions
sign_symptom,affecting,0.35857248,drugs affecting exocrine secretions
diagnostic_procedure,exocrine secretions,0.89238584,drugs affecting exocrine secretions
diagnostic_procedure,vitamin - k preparations,0.9516184,vitamin-k preparations
diagnostic_procedure,iodine compounds,0.8952396,iodine compounds (anti-septic preparations)
detailed_description,repeated,0.639057,prevention of repeated kidney stone formation
biological_structure,kidney,0.5602155,prevention of repeated kidney stone formation
sign_symptom,stone formation,0.65422153,prevention of repeated kidney stone formation
medication,drugs,0.97528857,drugs used in myasthenia gravis
disease_disorder,myasthenia,0.8927575,drugs used in myasthenia gravis
therapeutic_procedure,deco,0.53199387,decongestant
medication,drugs for,0.89739245,drugs for age-related macular degeneration (amd)
disease_disorder,related,0.45532796,drugs for age-related macular degeneration (amd)
disease_disorder,macular degeneration,0.993065,drugs for age-related macular degeneration (amd)
administration,oral,0.9994436,oral anti-coagulants
medication,anti - coagulants,0.99802655,oral anti-coagulants
disease_disorder,neuromuscular disorder,0.89626044,neurodegenerative disease drugs / neuromuscular disorder drugs
medication,drugs,0.74405473,neurodegenerative disease drugs / neuromuscular disorder drugs
therapeutic_procedure,tube,0.3719814,combined anti- tubercular preparations
medication,tube,0.99964345,anti-tubercular antibiotics
diagnostic_procedure,combined preparations,0.4374612,combined preparations
administration,topical,0.9983625,topical salicylic preparation
therapeutic_procedure,salicylic preparation,0.8111311,topical salicylic preparation
detailed_description,serum,0.9982665,drugs for reduction of serum phosphorus in patients with esrd
diagnostic_procedure,phosphorus,0.99957365,drugs for reduction of serum phosphorus in patients with esrd
diagnostic_procedure,prostacyclin receptor agonist,0.87347066,non-prostanoid ip prostacyclin receptor agonist
diagnostic_procedure,hormone,0.9999727,hormone in bone formation by inhibiting bone resorption
diagnostic_procedure,bone formation,0.97983146,hormone in bone formation by inhibiting bone resorption
diagnostic_procedure,bone resorption,0.9970822,hormone in bone formation by inhibiting bone resorption
therapeutic_procedure,mast,0.46575794,mast cell stabiliser
detailed_description,cell stabilis,0.60222584,mast cell stabiliser
sign_symptom,dyspe,0.46915698,anti-dyspeptic/carminatives
medication,drugs,0.96469694,drugs for lens opacification
therapeutic_procedure,lens opacification,0.9762895,drugs for lens opacification
medication,vasodilator antihypertensive drugs,0.9858931,vasodilator antihypertensive drugs
detailed_description,antica,0.55137336,anticavity mouthwash
medication,sulphonamides,0.84143865,sulphonamides & trimethoprim
medication,trimethoprim,0.6862977,sulphonamides & trimethoprim
medication,drugs,0.95806473,drugs for irritable bowel syndrome
disease_disorder,irritable bowel syndrome,0.9901519,drugs for irritable bowel syndrome
diagnostic_procedure,chelating complex,0.98410565,chelating complex
disease_disorder,drugs,0.42847332,drugs for growth failure
disease_disorder,growth failure,0.89019716,drugs for growth failure
medication,muscle relaxants,0.98014927,depolarizing muscle relaxants
diagnostic_procedure,male sex hormones (,0.9707075,male sex hormones (androgens)
coreference,glycopeptide,0.88891447,glycopeptide
detailed_description,selective,0.9952493,selective vasopressin v2-receptor antagonist
medication,central depolarizing muscle relaxants,0.81815803,central depolarizing muscle relaxants
diagnostic_procedure,anti - gallstones,0.9056946,anti-gallstones drugs: bile acids
diagnostic_procedure,bile acids,0.999671,anti-gallstones drugs: bile acids
administration,topical,0.9543747,topical urea preparations
detailed_description,urea,0.40385836,topical urea preparations
diagnostic_procedure,preparations,0.5053187,topical urea preparations
medication,vitamin,0.46500874,vitamin-a preparations
diagnostic_procedure,soluble guanylate cyclase,0.9987062,stimulator of soluble guanylate cyclase
history,substance dependence,0.93587947,drugs used in substance dependence
diagnostic_procedure,vitamin - c preparations,0.7223358,vitamin-c preparations
detailed_description,diaper,0.8457431,drugs used in diaper rash
sign_symptom,rash,0.5923541,drugs used in diaper rash
