generic_name,contraindications_description,contraindication_result
dexamethasone + tobramycin,"epithelial herpes simplex keratitis (dendritic keratitis), vaccinia, varicella and other viral disease of the cornea and conjunctiva. mycobacterial infections of the eye caused by, but not limited to, acid-fast bacilli such as mycobacterium tuberculosis, mycobacterium leprae, or mycobacterium avium. fungal diseases of ocular structures. untreated purulent infection of the eye. hypersensitivity to any component of the medication.",hypersensitivity to any component of the medication
dexamethasone + neomycin sulphate + polymyxin b sulphate,"epithelial herpes simplex keratitis (dentritic keratitis), vaccinia, varicella, and many other viral diseases of the cornea and conjunctiva. hypersensitivity to a component of the medication (hypersensitivity to the antibiotic component occurs at a higher rate than other component). the use of these combinations is always contraindicated after uncomplicated removal of a corneal foreign body.",after uncomplicated removal of a corneal foreign body
dexamethasone + chloramphenicol,"the combination is contraindicated in epithelial herpes simplex cornealis, fungal, viral, tuberculous and other infections of the eye and in glaucoma. myelosuppression during previous exposure to chloramphenicol. hypersensitivity to chloramphenicol &amp; dexamethasone phosphate or to any other ingredients of the preparations.",infections of the eye and in glaucoma
dexamethasone (ophthalmic),"epithelial herpes simplex keratitis (dendritic keratitis), acute infections stages of vaccinia, varicella, and many other viral diseases of the cornea and conjunctiva, mycobacterial infection of the eye, fungal diseases of ocular or auricular structures, perforation of a drum membrane. hypersensitivity to any ingredient of this product.",hypersensitivity
dexamethasone,"gastric and duodenal ulcers. systemic and ophthalmic fungal infections. viral infections, e.g. varicella and herpes genitalis infections. viral infections of the eye. glaucoma. hypersensitivity to corticosteroids",hypersensitivity to corticosteroids
desvenlafaxine,"concurrent use or within 14 days of discontinuing maois (e.g. linezolid, iv methylene blue). initiation of maoi at least 7 days after discontinuing desvenlafaxine.",concurrent use or within 14 days of discontinuing maois
desoximetasone,topical corticosteroids are contraindicated in those patients with a history of hypersensitivity to any of the components of the preparation.,history of hypersensitivity to any of the components of the preparation
desonide,desonide gel is contraindicated in those patients with a history of hypersensitivity to any of the components of the preparation.,history of hypersensitivity to any of the components of the preparation
desogestrel,"known or suspected pregnancy, active venous thromboembolic disorder, presence or history of severe hepatic disease with current abnormal liver function tests, progestogen dependent tumors, undiagnosed vaginal bleeding, hypersensitivity to ingredients.",hypersensitivity to ingredients
desmopressin acetate,"desmopressin acetate melt is contraindicated in cases of cardiac insufficiency and other conditions requiring treatment with diuretic agents. before prescribing desmopressin acetate melt, the diagnoses of psychogenic polydipsia and alcohol abuse should be excluded.",cardiac insufficiency and other conditions requiring treatment with diuretic agents
difluprednate,"difluprednate is contraindicated in most active viral diseases of the cornea and conjunctiva including epithelial herpes simplex keratitis (dendritic keratitis), vaccinia, and varicella, and also in mycobacterial infection of the eye and fungal diseases of ocular structures.",difluprednate
diflorasone diacetate,diflorasone diacetate is contraindicated in those patients with a history of hypersensitivity to the preparation.,history of hypersensitivity to the preparation
diethylcarbamazine citrate,"pregnancy, hypersensitivity; lactation; infants, elderly or debilitated patients; impaired renal function; cardiac disease.","pregnancy, hypersensitivity; lactation"
dienogest + estradiol valerate,a high risk of arterial or venous thrombotic diseases undiagnosed abnormal uterine bleeding breast cancer or other estrogens- or progestin-sensitive cancer,a high risk of arterial or venous thrombotic diseases
dienogest,"hypersensitivity to dienogest or to any of the excipients of dienogest. dienogest should not be used in the presence of any of theconditions such as, active venous thromboembolic disorder; arterial and cardiovascular disease, (e.g, myocardial infarction, cerebrovascular accident, ischemic heart disease); diabetes mellitus with vascular involvement; presence or history of severe hepatic disease as long as liver function values have not returned to normal; presence or history of liver tumors (benign or malignant); known or suspected sex hormone-dependent malignancies and undiagnosed vaginal bleeding.",active venous thromboembolic disorder
dicycloverine hydrochloride,no data available,no data available
diclofenac sodium + misoprostol,"this is contraindicated in patients with hypersensitivity to diclofenac, misoprostol or to other prostaglandins. this should not be given to patients who have experienced asthma, urticaria or other allergic-type reactions after taking aspirin or other nsaids.",prostaglandins
diclofenac sodium + methyl salicylate + linseed oil + menthol,known hypersensitivity to any part of the preparation.,known hypersensitivity to any part of the preparation
diclofenac sodium + lidocaine hydrochloride,"it is contraindicated for those patients who are hypersensitive to diclofenac. in patients with active or suspected peptic ulcer or gastrointestinal bleeding or for those patients in whom attacks of asthma, urticaria or acute rhinitis are precipitated by aspirin or other nsaids possessing prostaglandin synthetase inhibiting activity diclofenac is also contraindicated. because of the presence of lidocaine, thisinjection is also contraindicated for those patients who are hypersensitive to local anaesthetics of the amide type, although the incidence is very rare. in patients with adams-stokes syndrome or with severe degrees of sa, av, or intraventricular heart block in the absence of an artificial pacemaker, and for those patients who are hypersensitive to any of the excipients used in the formulation (sodium metabisulphite, disodium edetate, benzyl alcohol, sodium hydroxide, propylene glycol), this injection is also contraindicated.",those patients who are hypersensitive to diclofenac
diclofenac sodium (ophthalmic),"hypersensitivity to any of the components like other non steroidal anti-inflammatory agents, diclofenac sodium eye drops is contraindicated in patients in whom attacks of asthma, urticaria or acute rhinitis have been observed following application of acetyl salicylic acid or other cyclo-oxygenase inhibitors",diclofenac sodium eye drops
diclofenac sodium,"contraindicated to the patients hypersensitive to any ingredient of the products. peptic ulcer, hypersensitivity to diclofenac like other non-steroid anti-inflammatory agents, diclofenac is also contra-indicated in asthmatic patient in whom attack with asthma, urticaria or acute rhinitis are precipitated by acetylsalicylic acid or by other drugs with prostaglandin synthetase inhibitor. this gel should not be used under occlusive airtight dressings.",hypersensitive to any ingredient of the products
diclofenac potassium,"diclofenac potassium tablets are contraindicated in patients with known hypersensitivity to diclofenac. diclofenac should not be given to patients who have experienced asthma, urticaria, or allergic type reactions after taking aspirin or other nsaids. severe, rarely fatal, anaphylactic-like reactions to nsaids have been reported in such patients. diclofenac is contraindicated for the treatment of perioperative pain in the setting of coronary artery bypass graft (cabg) surgery.",patients with known hypersensitivity to diclofenac
diclofenac diethylamine + mephenesin + menthol + methyl salicylate + turpentine oil,"it is contraindicated in patients who have hypersensitivity to this gel. in addition, this gel should not be used if one has the following conditions: children less than 12 years old cuts infected skin",children less than 12 years old cuts infected skin
diazoxide,"in the treatment of hypoglycaemia, diazoxide is contraindicated in all cases which are amenable to surgery or other specific therapy. hypersensitivity to any component of the preparation or other thiazides",all cases which are amenable to surgery or other specific therapy
diazepam,"diazepam is contraindicated in myasthenia gravis, pulmonary insufficiency, respiratory depression and hypersensitivity to bezodiazepine.","myasthenia gravis, pulmonary insufficiency"
diabasic sodium phosphate + monobasic sodium phosphate,"do not use in patients with, congestive heart failure, impairment of renal function, gastrointestinal obstruction, megacolon, paralytic ileus, perforation, active inflammatory bowel disease, imperforate anus, dehydration, children under 2 years of age, hypersensitivity to active ingredients or to any of the excipients of the product.",do not use in patients
dextrose & hartmann's solution,solutions containing dextrose may be contraindicated in patients with known allergy to corn or corn products.,known allergy to corn or corn products
dextrose,"do not take this medicine and tell your doctor if: you should not use this medication if you are allergic to dextrose. before using dextrose 5% in water, tell your doctor if you have diabetes, breathing problems, an electrolyte imbalance, kidney or liver disease, a food or drug allergy, or if you receive regular blood transfusions.",if you receive regular blood transfusions
dextromethorphan hydrobromide + guaifenesin,"this tablet is contraindicated in patients with known hypersensitivity to dextromethorphan and guaifenesin. moreover, the patients who are taking monoamine oxidase inhibitor (maoi) certain drugs or for 2 weeks after stopping the maoi drug cannot take this preparation.",dextromethorphan and guaifenesin
dextromethorphan hydrobromide,hypersensitivity to dextromethorphan or any other component.,hypersensitivity to dextromethorphan or any other component
donepezil hydrochloride,donepezil is contraindicated in patients with known hypersensitivity to donepezil hydrochloride or to piperidine derivatives.,donepezil hydrochloride or to piperidine derivatives
domperidone maleate,"domperidone is contraindicated to patients having known hypersensitivity to this drug and in the case of neonates. domperidone should not be used whenever gastrointestinal stimulation might be dangerous i.e., gastrointestinal hemorrhage, mechanical obstruction or perforation. also contraindicated in patients with prolactin releasing pituitary tumor (prolactinoma).","gastrointestinal hemorrhage, mechanical obstruction or perforation"
docusate sodium (oral),docusate sodium softgel capsule is contra-indicated in patients with hypersensitivity to docusate sodium.,hypersensitivity to docusate sodium
docusate sodium (ear drop),docusate sodium is contraindicated in patients with perforation of the eardrum or inflammation of the ear.,perforation of the eardrum or inflammation of the ear
docetaxel trihydrate,"docetaxel is contraindicated in patients with: neutrophil counts of &lt;1500 cells/mm 3 a history of severe hypersensitivity reactions to docetaxel or to other drugs formulated with polysorbate 80. severe reactions, including anaphylaxis, have occurred",neutrophil counts of &lt;1500 cells/mm 3
dobutamine,dobutamine hydrochloride is contraindicated in patients who have shown previous manifestations of hypersensitivity to dobutamine hydrochloride.,hypersensitivity to dobutamine hydrochloride
dithranol + boric acid + salicylic acid,"hypersensitivity to this ointment is a contraindication. in addition, this ointment should not be used if you have the following conditions: acute or actively inflamed psoriatic eruptions after shaving or bathing avoid use on dentures breastfeeding children do not apply bandage or heating pad facial psoriasis genital warts hypersensitivity hypersensitivity to this drug",hypersensitivity to this ointment
disopyramide phosphate,"disopyramide is contraindicated in the pre-existing a-v heart block, shock, glaucoma, urinary retention and known hypersensitivity to the drug.",pre-existing a-v heart block
dipyridamole,hypersensitivity. peptic ulcer.,hypersensitivity. peptic ulcer.
"diphtheria, tetanus, pertussis, poliomyelitis vaccine","hypersensitivity: to any of the active substances of this vaccine, to any of the excipients listed in section 6.1, to glutaraldehyde, neomycin, streptomycin, or polymyxin b (used during the manufacturing process and which may be present as traces) to a pertussis vaccine (acellular or whole cell). life-threatening reaction after previous administration of the same vaccine or a vaccine containing the same substances. vaccination must be postponed in case of febrile or acute disease. evolving encephalopathy. encephalopathy within 7 days of administration of a previous dose of any vaccine containing pertussis antigens (whole cell or acellular pertussis vaccines).",vaccination must be postponed in case of febrile or acute disease
"diphtheria, tetanus, pertussis, hepatitis b, poliomyelitis, influenzae vaccine","history of an anaphylactic reaction after a previous administration of this vaccine encephalopathy within 7 days of administration of a previous dose of any vaccine containing pertussis antigens (whole cell or acellular pertussis vaccines). uncontrolled neurologic disorder, uncontrolled epilepsy.",uncontrolled epilepsy
diphtheria + pertussis + tetanus [dpt],"severe allergic reaction (eg, anaphylaxis) to any component of diphtheria, pertussis &amp; tetanus vaccine or any other diphtheria toxoid, tetanus toxoid and pertussis antigencontaining vaccine. encephalopathy (eg, coma, decreased level of consciousness, prolonged seizures) within 7 days of administration of a previous pertussis antigen-containing vaccine.",severe allergic reaction
diphenhydramine hydrochloride + zinc acetate,"use of cream is contraindicated in individuals with a known allergy to its components, other pyrethroids or pyrethrins.",other pyrethroids or pyrethrins
diphenhydramine hydrochloride,"known hypersensitivity to diphenhydramine hydrochloride, ammonium chloride is contra-indicated in presence of impaired hepatic or renal function.",impaired hepatic or renal function
diphenhydramine + levomenthol,"this preparation is contraindicated in individuals with known hypersensitivity to the product or any of its constituents and in individuals with chronic or persistent cough, such as occurs with asthma, or where cough is accompanied by excessive secretions, unless directed by the physician. it should not be administered to patients currently receiving monoamine oxidase inhibitors (maois) or those patients who have received treatment with maois within the last two weeks.",individuals with known hypersensitivity to the product or any of its constituents
diphenhydramine + dextromethorphan + levomenthol,"this syrup is contraindicated in individuals with known hypersensitivity to the product or any of its components. this medicine is contraindicated in individuals who are taking, or have taken, monoamine oxidase inhibitor within the preceding two weeks. dextromethorphan, in common with other centrally acting antitussive agents, should not be given to subjects in, or at risk of developing respiratory failure.",individuals with known hypersensitivity to the product or any of its components
diltiazem hydrochloride (sr tablet),"diltiazem hydrochloride sustained release tablet is contraindicated in patients with known hypersensitivity to the drug, sick sinus syndrome, second or third degree av block, severe hypertension or acute myocardial infarction and rediographically documented pulmonary congestion.",known hypersensitivity to the drug
diltiazem hydrochloride (fc tablet),"diltiazem is contraindicated to the patients of severe bradycardia, sick sinus syndrome, pregnancy, second or third degree av block.","severe bradycardia, sick sinus syndrome, pregnancy"
diloxanide furoate,hypersensitivity.,hypersensitivity
digoxin,ventricular fibrillation. hypersensitivity to digoxin or other digitalis preparation.,hypersensitivity to digoxin or other digitalis preparation
eflornithine hydrochloride,eflornithine is contraindicated in patients with a history of sensitivity to any components of the preparation.,sensitivity to any components of the preparation
efavirenz,"hypersensitivity. severe hepatic impairment. lactation. concomitant admin with terfenadine, astemizole, cisapride, midazolam, triazolam, pimozide, bepridil, ergot alkaloids, st johns wort.",hypersensitivity. severe hepatic impairment. lactation
econazole nitrate + triamcinolone acetonide,"this cream is contraindicated- in individuals who have shown hypersensitivity to any of its ingredients. like any other dermatological preparation containing corticosteroids, this cream is contraindicated in specific skin conditions such as tuberculous, varicella, herpes simplex or other viral infections of the skin, or fresh vaccination sites. decubitus ulcers: viral, bacterial or fungal skin infections (e.g. tuberculosis of the skin, syphilis of the skin, herpes simplex, herpes zoster, chickenpox). rosacea and rosacea-like dermatitis.",in individuals who have shown hypersensitivity to any of its ingredients
econazole nitrate,econazole is contraindicated in individuals who have shown hypersensitivity to any of its ingredients.,hypersensitivity to any of its ingredients
ebastine,patients with a known hypersensitivity to ebastine or any of its ingredients.,hypersensitivity to ebastine or any of its ingredients
dydrogesterone,known hypersensitivity to the active substance or to any of the excipients. known or suspected progestogen dependent neoplasms (e.g. meningioma).,known hypersensitivity
dutasteride,"dutasteride is contra-indicated for use in women and children and for patients with known hypersensitivity to dutasteride, and other 5 a-reductase inhibitors. warnings: exposure of women-risk to male fetus: dutasteride is absorbed through the skin. therefore, women who are pregnant or may be pregnant should not handle dutasteride capsules because of the possibility of absorption of dutasteride and the potential risk of a fetal anomaly to a male fetus. if contact is made with leaking capsules, the contact area should be washed immediately with soap and water.",hypersensitivity to dutasteride
duloxetine hydrochloride,"duloxetine is contraindicated in patients with a known hypersensitivity to this drug or any of the inactive ingredients. duloxetine is not approved for use in treating bipolar depression. duloxetine should not be prescribed to patients with substantial alcohol use or evidence of chronic liver disease. in clinical trials, duloxetine was associated with an increased risk of mydriasis; therefore, it should be used cautiously in patients with controlled narrow-angle glaucoma.",known hypersensitivity to this drug or any of the inactive ingredients
dulaglutide,dulaglutide is contraindicated in patients with a personal or family history of medullary thyroid carcinoma or in patients with multiple endocrine neoplasia syndrome type 2. dulaglutide is contraindicated in patients with a prior serious hypersensitivity reaction to dulaglutide or any of the product components.,patients with a prior serious hypersensitivity reaction
drotaverine,drotaverine is contraindicated in patients with known hypersensitivity to the products and its constituents.,hypersensitivity to the products and its constituents
drospirenone,"renal impairment adrenal insufficiency presence or history of progestin sensitive cancers liver tumors, benign or malignant, or hepatic impairment undiagnosed abnormal uterine bleeding",undiagnosed abnormal uterine bleeding
doxylamine succinate,severe liver disease; avoid alcohol; premature infants or full-term neonates.,avoid alcohol
doxycycline hydrochloride,doxycycline is contraindicated to the patients who have shown hypersensitivity to any of the tetracyclines. doxycycline is contraindicated to the children under 8 years of age. it is also contraindicated to pregnant women and to the lactating mothers.,pregnant women and to the lactating mothers
doxorubicin hydrochloride,"cardiac disease, neonates, pregnancy and lactation, prior irradiation to mediastinum. im/sc admin. severe myelosuppression due to previous treatment with antitumour agents or radiotherapy.",antitumour agents or radiotherapy
doxophylline,"doxophylline is contraindicated in acute myocardial infarction. it is also contraindicated in patients with hypotension, in lactating women &amp; patients who have shown hypersensitivity to its components.","patients with hypotension, in lactating women &amp"
doxepin (topical),patients with untreated narrow-angle glaucoma or a tendency to urinary retention because doxepin has an anticholinergic effect. individuals who have shown previous sensitivity to any of its components,individuals who have shown previous sensitivity to any of its components
doxepin (oral),"hypersensitivity : doxepin is contraindicated in individuals who have shown hypersensitivity to doxepin hcl, any of its inactive ingredients, or other dibenoxepines. co-administration with monoamine oxidase inhibitors (maois) : serious side effects and even death have been reported following the concomitant use of certain drugs with mao inhibitors. do not administer doxepin if patient is currently on maois or has used maois within the past two weeks. the exact length of time may vary depending on the particular maoi dosage and duration of treatment. glaucoma and urinary retention : doxepin is contraindicated in individuals with untreated narrow-angle glaucoma or severe urinary retention.",glaucoma and urinary retention
dorzolamide + timolol,contraindicated in patients who are hypersensitive to any of the components of this preparation.,patients who are hypersensitive
doripenem,"hypersensitivity to doripenem, other carbapenem antibacterial agents; history of anaphylactic reaction to -lactams (e.g. penicillins, cephalosporins).",hypersensitivity to doripenem
dopamine hydrochloride,"dopamine hydrochloride is contraindicated in patients with known hypersensitivity to dopamine or any of its ingredients. it should not be used in patients with phaeochromocytoma, uncorrected tachyarrhythmias, or ventricular fibrillation. dextrose solution without electrolytes should not be administered simultaneously with blood through the same infusion set because of the possibility of pseudoagglutination of red cells.",known hypersensitivity to dopamine or any of its ingredients
eptifibatide,"contraindicated in patients with: a history of bleeding diathesis, or evidence of active abnormal bleeding within the previous 30 days. severe hypertension (systolic blood pressure &gt; 200 mm hg or diastolic blood pressure &gt; 110 mm hg) not adequately controlled on antihypertensive therapy.","a history of bleeding diathesis, or evidence of active abnormal bleeding"
epoetin beta,"epoetin beta is contraindicated in patients with: known hypersensitivity to the active substance or any of the excipients. poorly controlled hypertension. in the indication ""increasing the yield of autologous blood"", recormon must not be used in patients who, in the month preceding treatment, have suffered a myocardial infarction or stroke, patients with unstable angina pectoris, or patients who are at increased risk of deep venous thrombosis such as those with a history of venous thromboembolic disease.",poorly controlled hypertension
eplerenone,"eplerenone is contraindicated in- hyperkalaemia severe renal impairment (creatinine clearance less than 30 ml/min) severe hepatic impairment concomitant use with potent cyp3a4 inhibitors like ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, and nelfinavir or other potassium-sparing diuretics are also contraindicated",severe renal impairment
epirubicin hydrochloride,"cardiac impairment, severe or recent ml; previous full cumulative doses of anthracyclines. hypersensitivity; severe hepatic dysfunction. not for intravesical use where invasive tumours have penetrated the bladder wall; urinary infections, bladder inflammation or catheterisation problems. pregnancy, lactation.","urinary infections, bladder inflammation or catheterisation problems"
epinastine hydrochloride,contraindicated in patients who are hypersensitive to epinastine or to any of the components of this preparation.,hypersensitive to epinastine or to any of the components
ephedrine hydrochloride,"the use of ephedrine is contraindicated in the presence of coronary thrombosis. it should be used with caution in patients with organic heart disease, cardiac decompensation, hyperthyroidism, hypertension, and angina pectoris, and in patients receiving digitalis.",coronary thrombosis
eperisone hydrochloride,eperisone is contraindicated in patients with a history of hypersensitivity to eperisone hydrochloride.,hypersensitivity to eperisone hydrochloride
epalrestat,"if you have previously experienced any allergic reactions (itch, rash, etc.) to any medicines. if you are pregnant or breastfeeding. if you are taking any other medicinal products. (some medicines may interact to enhance or diminish medicinal effects. beware of over-the-counter medicines and dietary supplements as well as other prescription medicines.)",if you are pregnant or breastfeeding
entecavir,entecavir is contraindicated in patients with previously demonstrated hypersensitivity to entecavir or any component of the product.,hypersensitivity to entecavir or any component of the product
entacapone,"phaeochromocytoma, history of neuroleptic malignant syndrome and/or non-traumatic rhabdomyolysis. hepatic impairment. concomitant use w/ non-selective maois.",non-selective maois
enoxaparin sodium,"patients with known hypersensitivity to enoxaparin sodium, heparin or other low molecular weight heparins. patients with active major bleeding and conditions with a high risk of uncontrolled hemorrhage including recent hemorrhagic stroke.",patients with active major bleeding
encephalitis vaccine,"hypersensitivity to the active substance or to any of the excipients or to the residues protamine sulphate, formaldehyde, bovine serum albumin, host cell dna, sodium metabisulphite, host cell protein. individuals who show hypersensitivity reactions after receiving the first dose of the vaccine should not be given the second dose. administration must be postponed in persons with acute severe febrile conditions.",individuals who show hypersensitivity reactions
enalapril maleate,aortic stenosis or outflow tract obstruction. renovascular disease. severe resistant htn. peripheral vascular disease or generalized atherosclerosis.,peripheral vascular disease or generalized atherosclerosis
empagliflozin + metformin hydrochloride,"hypersensitivity to empagliflozin and metformin any type of acute metabolic acidosis (such as lactic acidosis, diabetic ketoacidosis) diabetic pre-coma severe renal failure (gfr &lt;30 ml/min) acute conditions with the potential to alter renal function such as: dehydration, severe infection, shock disease which may cause tissue hypoxia (especially acute disease, or worsening of chronic disease) such as: decompensated heart failure, respiratory failure, recent myocardial infarction, shock hepatic impairment, acute alcohol intoxication, alcoholism",hypersensitivity to empagliflozin and metformin
empagliflozin + linagliptin,no data available,no data available
empagliflozin,"empagliflozin is contraindicated in patients with history of serious hypersensitivity reaction to empagliflozin or any of its ingredients, severe renal impairment, end-stage renal disease, or dialysis.","severe renal impairment, end-stage renal disease, or dialysis"
emollient [cepalin+allantoin],patients with a history of hypersensitivity to any of the components of the preparation. acne or greasy skin.,acne or greasy skin
eluxadoline,"known or suspected biliary duct obstruction, sphincter of oddi disease or dysfunction &amp; pancreatitis.",known or suspected biliary duct obstruction
eltrombopag olamine,there are no contraindications for eltrombopag,no
elagolix,"elagolix is contraindicated in women: who are pregnant exposure to orilissa early in pregnancy may increase the risk of early pregnancy loss. with known osteoporosis because of the risk of further bone loss with severe hepatic impairment because of the risk of bone loss with concomitant use of strong organic anion transporting polypeptide (oatp) 1b1 inhibitors (e.g., cyclosporine and gemfibrozil)",exposure to orilissa early in pregnancy
estriol (oral),"contraindicated in pregnancy, known or suspected estrogen-dependent tumours, undiagnosed vaginal bleeding, untreated endometrial hyperplasia, known or suspected breast cancer.","in pregnancy, known or suspected estrogen-dependent tumours"
estradiol valerate,"substances increasing the clearance of sex hormones (diminished efficacy by enzyme-induction), e.g.: the metabolism of oestrogens may be increased by concomitant use of substances known to induce drug- metabolising enzymes, specifically cytochrome p450 enzymes, such as anticonvulsants (e.g. barbiturates, phenytoin, primidone, carbamazepine) and anti-infectives (e.g. rifampicin, rifabutin, nevirapine, efavirenz) and possibly also felbamate, griseofulvin, oxcarbazepine, topiramate and products containing the herbal remedy st. john's wort (hypericum perforatum). clinically, an increased metabolism of oestrogens and progestogens may lead to decreased effect and changes in the uterine bleeding profile. enzyme induction can already be observed after a few days of treatment. maximal enzyme induction is generally seen within a few weeks. after cessation of drug therapy enzyme induction may be sustained for about 4 weeks. substances decreasing the clearance of sex hormones (enzyme inhibitors): strong and moderate cyp3a4 inhibitors such as azole antifungals (e.g. fluconazole, itraconazole, ketoconazole, voriconazole), verapamil, macrolides (e.g. clarithromycin, erythromycin), diltiazem and grapefruit juice can increase plasma concentrations of the oestrogen.",diminished efficacy by enzyme-induction
estradiol,"hrt should not be started in the presence of any of the conditions listed below. should any of the following conditions appear during hrt use, the product should be stopped immediately. pregnancy and lactation, undiagnosed vaginal bleeding, known or suspected cancer of the breast, known or suspected premalignant conditions or malignancies, if sex steroid-influenced, presence or history of liver tumours (benign or malignant), severe hepatic disease, acute arterial thromboembolism (e.g. myocardial infarction, stroke), active deep vein thrombosis, thromboembolic disorders, or a documented history of these conditions, a high risk of venous or arterial thrombosis, severe hypertriglyceridemia, idiopathic cholestatic jaundice of pregnancy or jaundice with prior combined oral contraceptive use or combined hrt use, otosclerosis with deterioration during pregnancy, severe diabetes with vascular changes known hypersensitivity to any of the components of estradiol.","pregnancy and lactation, undiagnosed vaginal bleeding"
esomeprazole + amoxicillin + clarithromycin,this is contraindicated in patients with known hypersensitivity to any of its component.,hypersensitivity to any of its component
esomeprazole (mups tablet),esomeprazole is contraindicated in patient with known hypersensitivity to any of the formulation.,hypersensitivity to any of the formulation
esmolol hydrochloride,severe sinus bradycardia heart block greater than first degree sick sinus syndrome decompensated heart failure cardiogenic shock coadministration of iv cardiodepressant calcium-channel antagonists (e.g. verapamil) in close proximity to esmolol hydrochloride pulmonary hypertension known hypersensitivity to esmolol,iv cardiodepressant calcium-channel antagonists
esomeprazole,esomeprazole is contraindicated in-patient with known hypersensitivity to any of the formulation.,hypersensitivity to any of the formulation
eslicarbazepine acetate,"hypersensitivity to the active substance, to other carboxamide derivatives (e.g. carbamazepine, oxcarbazepine) or to any of the excipients.",hypersensitivity
escitalopram oxalate,escitalopram is contraindicated in patients with known hypersensitivity to escitalopram or citalopram or any of the inactive ingredients of the drug product. concomitant use of escitalopram in patients taking monoamine oxidase/pimozide is contraindicated.,monoamine oxidase/pimozide
erythropoietin alfa,uncontrolled hypertension. serious allergic reactions to erythropoietin alfa. patients who develop pure red cell aplasia (prca) following treatment with any erythropoietin should not receive erythropoietin alfa or any other erythropoietin.,patients who develop pure red cell aplasia
erythropoietin,erythropoietin is contraindicated in patients with: uncontrolled hypertension known hypersensitivity to mammalian cell-derived products a history of hypersensitivity to erythropoietin or any component of the preparation.,uncontrolled hypertension
erythromycin (lotion),hypersensitivity to erythromycin or to any of the other ingredients of the lotion.,hypersensitivity
erythromycin (oral),known hypersensitivity to erythromycin.,known hypersensitivity to erythromycin
ertugliflozin,"hypersensitivity to ertugliflozin or any excipient in ertugliflozin, reactions such as angioedema have occurred. patients on dialysis.",angioedema have occurred. patients on dialysis
ertapenem,"known hypersensitivity to product components or anaphylactic reactions to -lactams. due to the use of lidocaine hcl as a diluent, ertapenem administered intramuscularly is contraindicated in patients with a known hypersensitivity to local anesthetics of the amide-type.",known hypersensitivity to local anesthetics
erlotinib,no data available,no data available
eribulin mesylate,no data available,no data available
ergotamine tartrate + caffeine,"not to be used with potent inhibitors of cyp3a4 and protease inhibitors. hyperthyroidism, renal or hepatic impairment. pre existing vascular disease including coronary disease, obliterative vascular disease, angina, claudication, peripheral ischaemia, raynaud's syndrome and hypertension. not to be used when there is sepsis. pregnancy and lactation.",not to be used when there is sepsis
ergometrine maleate,"pregnancy, 1st and 2nd stage of labour, patients with preeclampsia, eclampsia or threatened spontaneous abortion; porphyria.","preeclampsia, eclampsia or threatened spontaneous abortion"
erdosteine,"it is contraindicated to patients who have hypersensitivity to erdosteine. it should not be used in patients with creatinine clearance &lt;25 ml/min, or with severe liver failure.",patients who have hypersensitivity to erdosteine
ethyl butylacetylaminopropionate,no data available,no data available
etodolac,"etodolac is contraindicated in patients with known hypersensitivity to etodolac. etodolac should not be given to patients who have experienced asthma, urticaria or other allergic type reactions after taking aspirin or other nsaids.",nsaids
ethyl alcohol + hydrogen peroxide + glycerol,no data available,no data available
ethosuximide,hypersensitivity. pregnancy and lactation.,pregnancy and lactation
ethinyl estradiol + lynestrenol (0.05 mg),", - , ; ; - - , -",", - , ; ; - - , -"
ethinyl estradiol + lynestrenol (0.0375 mg),"- ,",-
ethinyl estradiol + levonorgestrel + ferrous fumarate,contraindicated in case of known hypersensitivity to any of the components of this product.,in case of known hypersensitivity
ethinyl estradiol + gestodene,no data available,no data available
ethinyl estradiol + drospirenone + levomefolate,renal impairment adrenal insufficiency a high risk of arterial or venous thrombotic diseases undiagnosed abnormal uterine bleeding breast cancer or other estrogen- or progestin-sensitive cancer liver tumors or liver disease pregnancy,liver tumors or liver disease pregnancy
ethinyl estradiol + drospirenone (hrt),"hormone replacement therapy (hrt) should not be started in the presence of any of the conditions listed below. the product should be stopped immediately, if any of the conditions appear during hrt use. undiagnosed abnormal genital bleeding known or suspected cancer of the breast known or suspected premalignant conditions or malignancies, if sex steroid-influenced the excess risk disappears within a few years after stopping hrt. hrt increases the density of mammographic images which may adversely affect the radiological detection of breast cancer in some cases. endometrial cancer: prolonged exposure to unopposed estrogens increases the risk of development of endometrial hyperplasia or carcinoma. the addition of drsp opposes the development of endometrial hyperplasia caused by estrogens. liver tumors: in rare cases benign, and even more rarely, malignant liver tumors have been observed after the use of hormonal substances such as those contained in hrt products. in isolated cases, these tumors led to life-threatening intra-abdominal hemorrhage.",should not be started in the presence of any of the conditions listed below
ethinyl estradiol + drospirenone (24 tablet),"this tablet should not be used: known or suspected pregnancy if you have heart disease, clotting of blood in the vein if you suffer from liver disease or jaundice if you suffer from high blood pressure, migraine, feel something hard in your breast, diabetes with vascular involvement, experience excessive bleeding for which no reason has yet been ascertained the presence or a history of venous or arterial thromboembolic events (e.g. deep venous thrombosis, pulmonary embolism, myocardial infarction or of a cerebrovascular accident) history of migraine with focal neurological symptoms pancreatitis or a history thereof if associated with severe hypertriglyceridaemia severe renal insufficiency or acute renal failure presence or history of liver tumours (benign or malignant) undiagnosed vagina! bleeding hypersensitivity to any of the components of this preparation.",known or suspected pregnancy
